H3A_P_2_6,PhosphorusTreatment
1.894610047,0.0
1.643030047,22.5
1.643560052,22.5
1.493530035,0.0
1.699390054,0.0
1.616289973,0.0
1.778669953,28.2
1.598889947,0.0
1.799499989,0.0
1.675629973,16.9
1.951599956,0.0
1.781769991,0.0
1.623620033,0.0
1.806280017,0.0
1.735730052,16.9
1.915609956,0.0
1.605790019,0.0
1.501719952,0.0
1.486220002,0.0
1.489629984,0.0
1.482769966,28.2
1.794469953,0.0
1.498360038,0.0
1.973659992,0.0
1.498749971,0.0
1.559180021,0.0
1.61026001,0.0
1.617460012,0.0
1.911679983,0.0
1.666030049,22.5
1.597419977,0.0
1.572329998,0.0
1.486150026,0.0
1.481719971,0.0
1.488280058,0.0
1.925989985,0.0
1.62409997,0.0
1.975769997,0.0
1.602990031,22.5
1.487339973,0.0
1.625560045,28.2
1.489249945,0.0
1.910719991,0.0
1.77452004,28.2
1.636399984,0.0
1.83949995,16.9
1.687019944,22.5
1.486430049,0.0
1.567890048,0.0
1.502419949,22.5
1.624140024,22.5
1.648270011,0.0
1.485120058,22.5
1.506569982,0.0
1.485440016,0.0
1.484910011,0.0
1.634600043,22.5
1.830039978,0.0
1.791599989,28.2
1.495069981,22.5
1.568359971,0.0
1.604329944,0.0
1.634670019,0.0
1.520110011,28.2
1.627419949,28.2
1.734850049,28.2
1.649459958,0.0
1.505849957,28.2
1.508929968,0.0
1.48743999,16.9
1.480880022,0.0
1.477910042,16.9
1.449219942,0.0
1.503010035,0.0
1.735890031,0.0
1.764520049,28.2
1.60413003,0.0
1.494600058,16.9
1.486860037,22.5
1.487069964,0.0
1.688570023,0.0
1.571259975,0.0
1.855000019,16.9
1.722470045,0.0
1.659719944,0.0
1.742310047,28.2
1.485139966,28.2
1.628299952,0.0
1.624670029,0.0
1.628290057,22.5
1.693410039,16.9
1.631790042,0.0
1.730489969,0.0
1.601390004,22.5
1.628180027,28.2
1.763669968,28.2
1.502629995,0.0
1.607040048,0.0
1.694959998,0.0
1.618829966,28.2
1.70141995,0.0
1.486029983,22.5
1.566040039,0.0
1.714169979,0.0
1.735929966,0.0
1.749330044,16.9
1.584190011,0.0
1.622640014,0.0
1.58968997,0.0
1.512320042,0.0
1.606870055,0.0
1.595909953,0.0
1.814409971,0.0
1.493720055,0.0
1.705979943,0.0
1.537199974,0.0
1.641710043,22.5
1.610610008,0.0
1.662799954,0.0
1.747769952,0.0
2.054239988,0.0
1.918220043,0.0
1.609830022,0.0
1.608770013,0.0
1.684239984,16.9
1.487820029,22.5
1.498209953,0.0
1.515059948,0.0
1.719140053,0.0
1.624670029,28.2
1.642670035,22.5
1.510050058,0.0
1.476670027,0.0
1.652340055,22.5
1.481340051,28.2
1.878020048,0.0
1.511229992,16.9
1.482220054,16.9
1.604789972,0.0
1.726909995,0.0
1.447170019,0.0
1.613440037,0.0
1.578629971,0.0
1.604820013,0.0
1.614410043,0.0
1.620689988,0.0
1.867329955,16.9
1.700369954,0.0
1.476830006,28.2
1.624140024,0.0
1.719660044,0.0
1.48052001,0.0
1.648489952,22.5
1.49296999,0.0
1.619809985,28.2
1.477910042,0.0
1.920230031,0.0
1.766330004,28.2
1.621090055,0.0
1.665470004,0.0
1.846680045,16.9
1.772570014,28.2
1.818089962,28.2
1.489359975,22.5
1.686310053,0.0
1.649839997,0.0
1.485689998,0.0
1.628540039,28.2
1.484879971,0.0
1.48258996,28.2
1.638249993,22.5
2.006989956,0.0
1.457030058,16.9
1.507580042,22.5
1.569190025,0.0
1.804380059,0.0
1.759330034,28.2
1.488919973,0.0
1.648030043,0.0
1.902999997,0.0
1.621359944,0.0
1.818950057,0.0
1.649950027,16.9
1.629410028,0.0
1.62650001,28.2
1.646039963,22.5
1.864009976,0.0
1.477020025,28.2
1.686370015,0.0
1.485980034,22.5
1.876230001,28.2
1.842880011,16.9
1.698130012,0.0
1.608049989,0.0
1.61864996,0.0
1.504690051,0.0
1.723289967,28.2
1.633239985,22.5
1.473160028,16.9
1.815080047,16.9
1.755380034,16.9
1.827119946,16.9
1.48318994,0.0
1.999959946,0.0
1.619889975,22.5
1.492349982,0.0
1.625049949,0.0
1.799000025,0.0
1.718719959,16.9
1.898489952,0.0
1.625309944,0.0
1.723369956,0.0
1.785680056,28.2
1.500929952,22.5
1.626940012,22.5
1.554819942,0.0
1.596289992,22.5
1.826969981,0.0
1.667899966,16.9
1.49616003,16.9
1.486209989,22.5
1.507769942,22.5
1.460950017,16.9
1.572289944,0.0
1.50928998,0.0
1.772909999,22.5
1.494040012,16.9
1.634979963,0.0
1.777559996,0.0
1.667449951,0.0
1.702839971,0.0
1.840759993,0.0
1.980810046,0.0
1.485589981,28.2
1.502879977,0.0
1.482839942,0.0
1.491760015,22.5
1.492679954,0.0
1.791700006,28.2
1.724419951,0.0
1.480080009,0.0
1.492840052,16.9
1.62887001,22.5
1.598049998,0.0
1.491129994,22.5
1.48142004,0.0
1.48608005,28.2
1.82931006,0.0
1.842669964,16.9
1.572829962,0.0
1.670910001,0.0
1.727880001,28.2
1.492980003,0.0
1.907070041,0.0
1.874310017,0.0
1.799129963,0.0
1.638479948,22.5
1.489680052,22.5
1.674360037,16.9
1.660279989,0.0
1.640540004,22.5
1.635519981,22.5
1.486989975,22.5
1.618520021,0.0
1.481840014,0.0
1.503579974,0.0
1.988790035,0.0
1.717919946,0.0
1.492949963,22.5
1.764449954,28.2
1.489830017,16.9
1.649500012,0.0
1.669759989,22.5
1.494160056,0.0
1.476289988,28.2
1.765879989,0.0
1.620609999,22.5
1.609459996,0.0
1.925279975,0.0
1.626199961,28.2
1.736109972,0.0
1.647629976,0.0
1.70686996,16.9
1.602480054,0.0
1.615210056,0.0
1.84138,16.9
1.616709948,0.0
1.622009993,0.0
1.498929977,16.9
1.941969991,0.0
1.816609979,0.0
1.570610046,0.0
1.486780047,0.0
1.715630054,0.0
1.653259993,0.0
1.486580014,0.0
1.625589967,0.0
1.602599978,0.0
1.713510036,16.9
1.498360038,0.0
1.971300006,0.0
1.477339983,28.2
1.605499983,0.0
1.74593997,16.9
1.59721005,0.0
1.489779949,16.9
1.731179953,16.9
1.572149992,22.5
1.484330058,28.2
1.734820008,0.0
1.490139961,0.0
1.485849977,28.2
1.657760024,16.9
1.698119998,0.0
1.499539971,0.0
1.670680046,16.9
1.489660025,0.0
1.616320014,0.0
1.591429949,0.0
1.486909986,0.0
1.663310051,22.5
1.980360031,0.0
1.912999988,0.0
1.62372005,0.0
1.781720042,28.2
1.676980019,22.5
1.622099996,28.2
1.507580042,0.0
1.610460043,0.0
1.619400024,0.0
1.594769955,0.0
1.700309992,0.0
1.802340031,0.0
1.616260052,22.5
1.783830047,0.0
1.497779965,16.9
