M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,PhosphorusTreatment
174.9089966,4206.339844,32.3185997,399.6600037,135.8580017,14.99989986,0.0
81.51270294,4213.819824,31.60300064,398.9169922,125.7099991,14.34529972,22.5
178.822998,4111.910156,32.15660095,403.480011,134.0859985,14.67700005,22.5
165.1900024,3991.77002,29.93510056,397.9849854,136.8220062,12.9744997,0.0
119.9800034,4291.990234,30.95619965,393.1180115,127.689003,13.1935997,0.0
70.00209808,4007.280029,29.63610077,409.8439941,135.8339996,14.27089977,0.0
176.2079926,4195.040039,32.83010101,395.6520081,130.9689941,15.57240009,28.2
82.04579926,4009.320068,30.14419937,405.9849854,134.2189941,14.37460041,0.0
77.43000031,4343.910156,31.39089966,398.7229919,127.9380035,14.78829956,0.0
145.1130066,4146.259766,32.29729843,406.3760071,130.595993,15.2560997,16.9
170.2359924,4242.100098,32.26279831,399.7430115,136.1239929,15.10379982,0.0
144.9109955,4270.720215,32.20470047,396.9230042,129.8970032,14.72299957,0.0
67.35579681,4160.600098,30.9564991,397.79599,126.2939987,14.38409996,0.0
88.80280304,4252.580078,31.29140091,395.7340088,124.473999,14.31400013,0.0
90.36699677,4248.629883,30.21360016,389.7640076,124.788002,15.20330048,16.9
97.0585022,4320.109863,30.99629974,411.7780151,133.4340057,16.57489967,0.0
61.78789902,4012.189941,29.66220093,406.0769958,134.5820007,14.4197998,0.0
148.7330017,4213.009766,30.74349976,390.2399902,122.0510025,13.07320023,0.0
154.529007,4165.759766,30.84690094,391.3789978,122.0739975,13.6942997,0.0
192.5970001,4104.180176,30.51950073,401.243988,131.9060059,13.46370029,0.0
179.128006,4107.410156,30.60960007,399.6090088,127.9410019,13.48320007,28.2
176.9949951,4185.439941,32.38230133,397.3009949,134.3450012,14.78929996,0.0
155.2200012,4167.279785,30.68320084,389.0209961,120.848999,13.78509998,0.0
132.8110046,4300.689941,31.99449921,399.5079956,133.3350067,14.93389988,0.0
124.1839981,4081.689941,30.59410095,399.2090149,130.5670013,14.00319958,0.0
166.4570007,4056.080078,31.43869972,403.730011,140.0189972,14.54080009,0.0
69.10340118,4050.179932,30.06369972,405.980011,133.0059967,14.42210007,0.0
71.40720367,4171.879883,31.4598999,401.9249878,127.1780014,14.72229958,0.0
173.2230072,4221.290039,32.32170105,399.6719971,135.7100067,15.02869987,0.0
79.13240051,4226.77002,31.19680023,402.9299927,124.7939987,14.53429985,22.5
180.5110016,4130.410156,33.17810059,407.1270142,128.9850006,15.04940033,0.0
155.5559998,4207.560059,31.08329964,393.0390015,128.2039948,13.17529964,0.0
201.7350006,4008.840088,30.32550049,397.7120056,137.0950012,12.96179962,0.0
174.5249939,4115.0,31.19729996,389.3710022,128.871994,13.74310017,0.0
193.6490021,3986.780029,30.28269958,398.1300049,141.9499969,12.92840004,0.0
172.0749969,4230.100098,32.31140137,399.6889954,135.6549988,15.0557003,0.0
175.6369934,4083.060059,31.9654007,403.5280151,135.4869995,14.64789963,0.0
146.3840027,4287.22998,32.10480118,399.6059875,134.2850037,15.01939964,0.0
175.0099945,4097.310059,32.26979828,403.4460144,133.7689972,14.61349964,22.5
202.298996,4031.469971,30.36969948,397.5440063,135.1399994,12.99250031,0.0
69.53540039,4110.47998,30.79599953,401.3059998,129.6499939,14.61540031,28.2
162.875,4148.220215,30.66620064,391.4020081,122.0749969,13.66119957,0.0
85.19200134,4337.580078,31.13759995,411.3699951,131.1860046,16.42480087,0.0
176.4909973,4191.100098,32.82659912,395.6759949,131.5570068,15.5678997,28.2
129.5119934,4277.77002,31.09889984,392.9859924,126.3649979,13.21039963,0.0
82.69259644,4303.919922,31.18770027,401.6279907,125.7829971,15.75119972,16.9
108.7870026,4197.0,31.67029953,396.026001,127.4950027,14.91959953,22.5
141.0610046,4188.609863,31.67020035,388.9649963,125.2549973,13.89760017,0.0
160.5740051,4053.070068,31.57220078,403.6820068,138.0099945,14.55010033,0.0
146.5099945,4195.990234,30.47330093,388.7590027,120.5309982,13.85700035,22.5
146.3690033,4072.129883,31.63249969,403.7009888,134.0240021,14.62290001,22.5
116.1230011,4299.180176,31.13050079,384.8909912,125.2030029,13.27280045,0.0
162.4909973,4163.450195,31.08539963,389.1640015,125.6949997,13.77159977,22.5
134.3390045,4039.070068,30.02470016,402.20401,131.3240051,13.56949997,0.0
203.2850037,3994.620117,30.38710022,398.0339966,141.6609955,12.92539978,0.0
165.4499969,4140.109863,30.7758007,391.4379883,123.7099991,13.65719986,0.0
76.94300079,4222.830078,31.92650032,398.9559937,123.8929977,14.42889977,22.5
102.5449982,4242.580078,31.28280067,395.3989868,123.5770035,14.24740028,0.0
167.128006,4221.72998,32.86989975,395.2980042,124.9980011,15.58850002,28.2
155.1470032,4179.919922,30.69820023,388.9299927,122.3270035,13.80860043,22.5
163.8240051,4168.299805,30.99990082,393.0969849,129.0619965,13.15799999,0.0
67.31020355,4011.699951,29.83239937,406.0429993,134.326004,14.40950012,0.0
122.4670029,4036.850098,30.95050049,403.9429932,135.496994,14.61900043,0.0
124.276001,4128.339844,30.48929977,398.0010071,128.8699951,13.86130047,28.2
87.36060333,4062.610107,29.9090004,399.2030029,130.1130066,14.14220047,28.2
149.6970062,4232.859863,33.07080078,395.2470093,128.8849945,15.62250042,28.2
128.0149994,4278.660156,31.04389954,393.0159912,126.6019974,13.20460033,0.0
131.0599976,4126.759766,31.22039986,397.3460083,128.1230011,14.33699989,28.2
127.7770004,4034.51001,29.9769001,402.3269958,131.5070038,13.58769989,0.0
195.2480011,4050.47998,30.40299988,401.4419861,133.6380005,13.42230034,16.9
186.1009979,4071.379883,30.59440041,399.75,130.2429962,13.46080017,0.0
182.3329926,4015.939941,30.08300018,397.7330017,135.1990051,12.92930031,16.9
103.3420029,4030.959961,31.46769905,404.6919861,132.9290009,14.37230015,0.0
139.496994,4236.259766,30.85880089,390.3980103,122.8769989,13.02140045,0.0
85.98770142,4323.970215,31.40999985,398.6270142,127.4769974,14.79740047,0.0
161.4450073,4225.080078,32.97980118,395.3349915,127.5009995,15.60289955,28.2
46.06579971,4048.709961,29.34860039,406.2319946,133.5449982,14.44690037,0.0
151.5440063,4022.149902,29.87170029,397.8970032,134.3789978,12.99380016,16.9
140.6349945,4208.790039,31.5007,388.9299927,124.0849991,13.87779999,22.5
201.7339935,4023.070068,30.34880066,397.5950012,135.6069946,12.98260021,0.0
182.3300018,4158.129883,32.24959946,407.3829956,133.5480042,15.1899004,0.0
148.4779968,4230.439941,31.16340065,392.9450073,126.6780014,13.20129967,0.0
96.79239655,4280.740234,30.93110085,401.6870117,127.4199982,15.86810017,16.9
80.28530121,4267.600098,30.71850014,402.9159851,125.4029999,14.83390045,0.0
167.2700043,4190.589844,33.49570084,397.2059937,118.7149963,15.22749996,0.0
152.8200073,4231.0,33.0481987,395.2820129,128.7920074,15.61810017,28.2
148.6009979,4108.97998,30.57060051,400.1470032,127.8320007,13.55690002,28.2
130.2460022,4040.870117,31.13310051,403.8720093,135.348999,14.61680031,0.0
104.9919968,4025.919922,30.02700043,405.5580139,134.723999,13.92759991,0.0
76.73049927,4224.509766,32.23619843,398.9129944,122.927002,14.48110008,22.5
180.6860046,4157.27002,32.66260147,405.8299866,131.2460022,15.21710014,16.9
126.8379974,4039.810059,31.05509949,403.9039917,135.3899994,14.61880016,0.0
178.4210052,4163.459961,32.91279984,397.9259949,131.1759949,15.41399956,0.0
124.0759964,4241.950195,31.55699921,391.5119934,127.0419998,13.68830013,22.5
83.28859711,4068.659912,29.93199921,399.2720032,130.0619965,14.16079998,28.2
177.8220062,4170.75,32.76549911,395.7980042,134.0,15.55879974,28.2
96.62779999,4029.709961,30.72920036,403.2579956,132.6040039,14.30020046,0.0
56.90539932,4008.780029,29.44519997,406.1159973,135.1470032,14.42500019,0.0
149.8040009,4213.490234,33.12110138,397.723999,129.2409973,15.46609974,0.0
55.59700012,4106.77002,30.42429924,401.6270142,129.6900024,14.66860008,28.2
163.7409973,4201.040039,33.20849991,397.6459961,126.6009979,15.40460014,0.0
131.4219971,4224.700195,31.88879967,388.8800049,124.7139969,13.94040012,22.5
142.1750031,4251.049805,31.49830055,392.9259949,126.4639969,13.22480011,0.0
90.90779877,4313.120117,31.40530014,398.552002,127.4179993,14.79529953,0.0
178.8410034,4152.459961,32.81639862,398.0209961,133.1329956,15.4289999,0.0
84.0042038,4269.910156,30.53700066,390.1270142,125.0500031,15.18270016,16.9
180.9149933,4128.439941,33.46099854,407.0589905,128.0209961,15.03750038,0.0
75.23899841,4174.549805,31.47900009,401.8729858,127.5,14.70569992,0.0
153.4279938,4049.560059,31.60549927,403.678009,136.1029968,14.57929993,0.0
148.3370056,4212.589844,30.42329979,389.7630005,118.6709976,13.13479996,0.0
66.59069824,4166.25,31.43050003,402.0209961,127.0139999,14.73820019,0.0
87.17220306,4007.080078,30.22019958,405.9760132,134.3269958,14.36100006,0.0
175.1820068,4205.759766,32.41350174,397.2730103,133.5850067,14.82450008,0.0
205.598999,3988.639893,30.56030083,398.3850098,146.3549957,12.91409969,0.0
176.6849976,4180.109863,33.25460052,397.6140137,125.2170029,15.34280014,0.0
