Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6
0.378996015,41.19609833,0.753636003,206.5059967,27.49119949,3.871030092
0.415381998,33.36610031,0.761839986,214.7929993,22.66699982,4.283689976
0.290695995,35.27809906,0.759392977,200.0690002,23.75029945,3.802510023
0.232167006,31.72859955,0.71655798,200.3910065,19.50169945,3.881580114
0.544044018,37.18999863,1.004860044,208.3769989,23.88750076,4.086699963
0.30794999,26.67490005,0.799561977,207.4550018,18.04150009,4.299930096
0.380181015,42.0401001,0.772536993,204.677002,26.57900047,3.80230999
0.312741011,28.35880089,0.738454998,207.151001,19.0821991,4.329360008
0.525883973,33.90409851,0.856950998,215.4409943,24.01779938,4.410349846
0.344976991,38.05799866,0.761906028,208.625,24.32139969,3.868309975
0.413702011,43.35589981,0.757165015,206.6470032,27.8397007,3.877150059
0.434103996,40.66230011,0.767268002,205.8130035,26.43370056,3.896420002
0.397320002,32.92679977,0.727747023,213.6009979,21.66200066,4.318659782
0.453298002,35.93809891,0.757035017,215.0330048,24.03440094,4.329669952
0.518730998,34.86230087,0.887692988,217.3609924,23.9878006,4.494939804
0.475385994,35.81309891,0.762776971,212.326004,25.07379913,4.360000134
0.316888005,26.81780052,0.793742001,207.5659943,18.42709923,4.384880066
0.616801023,40.06620026,1.229269981,207.0789948,23.82780075,4.044950008
0.349595994,39.92350006,0.759917974,206.1430054,23.47780037,3.967950106
0.340039998,36.21590042,0.831241012,205.0870056,21.93090057,3.911180019
0.331472009,37.98400116,0.788801014,208.6869965,22.33370018,3.885060072
0.364396989,40.74720001,0.755111992,205.2740021,26.91410065,3.83156991
0.33504799,40.5882988,0.724116981,206.1049957,23.64290047,4.021140099
0.427841991,39.73339844,0.756461978,207.3560028,26.44249916,3.99454999
0.356018007,33.16189957,0.809252024,207.1340027,20.87779999,4.080890179
0.220653996,29.18199921,0.643773973,199.1820068,21.39920044,3.899559975
0.340999991,28.50670052,0.765600026,207.651001,19.49880028,4.369229794
0.407169014,32.13809967,0.78856802,215.4290009,21.67749977,4.311069965
0.390442997,41.98490143,0.756752014,206.5630035,27.62919998,3.870100021
0.419678986,33.35570145,0.731567979,215.4949951,22.44709969,4.39218998
0.335592002,36.44210052,0.943599999,204.3730011,23.8185997,3.708930016
0.565087974,38.28250122,1.106160045,207.6970062,23.125,3.982969999
0.224513993,33.84400177,0.693596005,200.5599976,20.89069939,3.810909986
0.423464,37.54380035,0.927959979,205.4589996,22.27599907,3.908560038
0.182189003,31.27669907,0.631550014,200.0639954,19.77219963,3.780050039
0.39991501,42.59540176,0.757951021,206.602005,27.70170021,3.870569944
0.270862997,33.61500168,0.736530006,199.8899994,22.80789948,3.823980093
0.429838002,41.69609833,0.75869,207.1130066,27.07480049,3.947030067
0.281944007,34.24810028,0.760809004,199.9149933,23.09589958,3.77786994
0.284705997,34.70510101,0.785732985,200.8540039,21.5625,3.856300116
0.389138997,30.57729912,0.826182008,212.6080017,20.72710037,4.276800156
0.341374993,40.34159851,0.753847003,206.1179962,23.39430046,3.96784997
0.489014,34.88100052,0.758280993,212.6860046,24.74860001,4.388840199
0.375066996,41.63890076,0.771313012,204.6419983,26.51199913,3.805190086
0.610410988,38.39220047,1.150509953,208.2460022,23.90040016,4.062689781
0.501869977,34.72439957,0.756636024,213.0939941,24.16930008,4.386189938
0.422596991,35.38010025,0.793096006,211.2389984,23.57579994,4.063519955
0.443203002,37.11059952,0.87183702,205.8099976,23.04439926,3.987159967
0.239085004,30.08359909,0.680993021,199.3560028,21.21249962,3.86868
0.501960993,40.9552002,0.924085021,206.375,24.01460075,4.081039906
0.297782987,32.57260132,0.788838029,199.826004,21.42980003,3.859689951
0.563208997,37.14099884,0.998435974,210.2570038,23.7656002,4.068799973
0.473347008,38.95669937,0.984476984,205.7799988,23.11009979,3.954790115
0.343816012,34.22610092,0.802488983,205.4429932,20.89229965,4.043819904
0.183217004,31.97380066,0.62855202,200.1159973,20.23730087,3.760309935
0.372296989,39.70539856,0.815461993,205.9680023,23.17830086,3.939529896
0.442108989,33.61619949,0.746626019,214.8849945,22.65620041,4.329679966
0.438906997,38.00830078,0.756774008,214.9409943,24.69960022,4.27959013
0.425507993,44.37720108,0.767601013,204.9689941,26.62759972,3.810930014
0.487861991,40.36130142,0.967546999,206.1450043,23.6760006,4.024879932
0.512758017,37.86040115,1.034819961,207.5330048,22.71920013,3.961460114
0.317173004,27.36529922,0.776745021,207.4779968,18.62310028,4.369540215
0.300413013,30.33650017,0.799494982,199.628006,19.78030014,3.940490007
0.380917996,34.23770142,0.828742981,208.1430054,21.73800087,4.12018013
0.333005011,31.52449989,0.731064975,207.871994,20.79369926,4.204880238
0.417973012,39.99599838,0.774776995,204.9120026,25.68720055,3.882149935
0.588356018,38.15449905,1.105440021,208.2579956,23.89690018,4.065710068
0.375467986,36.23469925,0.806293011,210.0950012,22.54459953,4.081039906
0.355295002,33.83399963,0.816073,205.5059967,20.73789978,4.067480087
0.248813003,35.33169937,0.703625023,204.7230072,21.25079918,3.851330042
0.287927985,36.95199966,0.739169002,208.4490051,21.76530075,3.849319935
0.191590995,33.63700104,0.62439698,200.1970062,20.62260056,3.768110037
0.30419001,29.1182003,0.799597979,206.0910034,19.62949944,4.07930994
0.574391007,39.3946991,1.102900028,206.9700012,23.93429947,4.026669979
0.548790991,34.16880035,0.969235003,215.2510071,23.76869965,4.383110046
0.41523701,42.26599884,0.777572989,204.9160004,26.24720001,3.831899881
0.375232995,25.99629974,0.844262004,207.7720032,18.68729973,4.429069996
0.271519005,32.37060165,0.761669993,200.5570068,19.86289978,3.917759895
0.484335989,38.19449997,0.941249013,205.947998,23.45479965,3.998859882
0.261783987,34.5007019,0.750505984,200.7669983,21.32480049,3.841379881
0.316136003,37.02899933,0.762642026,204.2079926,24.45569992,3.842550039
0.619958997,38.90850067,1.203410029,207.8959961,23.46610069,4.009789944
0.491019994,35.91730118,0.763060987,212.6860046,24.6644001,4.344749928
0.463366985,34.19229889,0.742735982,215.4779968,23.4409008,4.51169014
0.325865,44.18650055,0.763203025,205.4029999,25.84910011,3.695930004
0.41615501,40.49069977,0.77639401,204.904007,25.83279991,3.869240046
0.331171006,37.46440125,0.766120017,209.3350067,22.59399986,3.942899942
0.294202,30.75,0.789807022,199.6620026,20.10720062,3.91899991
0.296384007,30.90570068,0.711775005,206.1309967,19.89419937,4.131750107
0.445547998,33.7132988,0.739461005,214.8930054,22.63299942,4.348750114
0.333629012,38.76319885,0.782456994,207.8070068,24.88780022,3.780420065
0.297531992,30.60759926,0.794454992,199.651001,19.98430061,3.928270102
0.354815006,40.32099915,0.775162995,204.7400055,25.73839951,3.776659966
0.466697007,36.56669998,0.88391602,209.348999,23.33309937,4.0490098
0.340213001,31.3010006,0.738183022,207.9949951,20.72960091,4.225019932
0.356227994,40.03749847,0.756129026,204.5,26.33950043,3.827939987
0.326981992,29.23450089,0.832233012,207.3549957,19.47780037,4.21736002
0.311250001,26.06410027,0.812156022,207.598999,18.1439991,4.398389816
0.369893014,39.08380127,0.759392023,205.0570068,25.07180023,3.842639923
0.391568989,30.75429916,0.795522988,212.8990021,20.52370071,4.357230186
0.366246998,40.86040115,0.787384987,205.0650024,25.50620079,3.776109934
0.493941009,36.979599,0.920044005,205.9429932,23.3057003,4.013380051
0.700582027,39.0367012,1.372509956,208.052002,23.60160065,4.023940086
0.563153982,34.35509872,1.031569958,215.1840057,23.6291008,4.369569778
0.348746985,39.62310028,0.758988023,204.6569977,25.68400002,3.797310114
0.510897994,34.43280029,0.842799008,217.3220062,23.89990044,4.487150192
0.370189011,36.53150177,1.074470043,204.5820007,23.74060059,3.679889917
0.407463998,31.86330032,0.80783999,215.3919983,21.71769905,4.293970108
0.262272,30.9484005,0.73624301,199.5899963,20.95789909,3.86097002
0.638978004,40.37549973,1.339789987,207.4779968,24.01910019,4.098340034
0.400334001,32.59560013,0.760321975,215.5050049,21.59959984,4.323949814
0.309401989,28.59600067,0.726332009,207.0130005,19.20960045,4.315380096
0.382259995,41.95709991,0.761824012,205.3650055,27.13069916,3.825619936
0.171972007,30.7147007,0.611364007,199.9559937,19.89679909,3.752759933
0.350764006,42.03239822,0.795143008,205.0350037,25.8477993,3.725820065
0.279989004,30.18840027,0.715919971,204.2980042,18.94529915,4.119339943
0.423321992,33.3614006,0.758297026,214.8209991,22.62330055,4.299640179
0.346280009,28.31019974,0.776870012,207.772995,19.43320084,4.383460045
0.34038201,35.22829819,0.791703999,204.522995,22.66620064,3.93234992
0.543451011,34.10810089,0.942435026,215.2870026,23.84259987,4.388979912
0.437195003,44.58660126,0.750147998,206.6829987,27.96920013,3.918400049
0.394847006,42.27659988,0.757489979,206.5820007,27.66379929,3.870049953
0.301970989,25.11919975,0.834869981,207.6159973,17.90139961,4.413869858
0.334609002,28.98110008,0.743009984,207.4100037,19.74889946,4.341939926
0.332529992,38.80369949,0.794283986,207.8289948,24.8621006,3.767019987
0.489255995,38.62870026,0.954469979,205.9940033,23.55069923,4.003230095
0.266254991,30.8253994,0.775847971,200.4170074,19.03310013,3.942830086
0.643025994,40.34260178,1.367130041,207.5829926,24.07799911,4.110030174
