Ols_P_2_6,PhosphorusTreatment
3.871030092,0.0
4.283689976,22.5
3.802510023,22.5
3.881580114,0.0
4.086699963,0.0
4.299930096,0.0
3.80230999,28.2
4.329360008,0.0
4.410349846,0.0
3.868309975,16.9
3.877150059,0.0
3.896420002,0.0
4.318659782,0.0
4.329669952,0.0
4.494939804,16.9
4.360000134,0.0
4.384880066,0.0
4.044950008,0.0
3.967950106,0.0
3.911180019,0.0
3.885060072,28.2
3.83156991,0.0
4.021140099,0.0
3.99454999,0.0
4.080890179,0.0
3.899559975,0.0
4.369229794,0.0
4.311069965,0.0
3.870100021,0.0
4.39218998,22.5
3.708930016,0.0
3.982969999,0.0
3.810909986,0.0
3.908560038,0.0
3.780050039,0.0
3.870569944,0.0
3.823980093,0.0
3.947030067,0.0
3.77786994,22.5
3.856300116,0.0
4.276800156,28.2
3.96784997,0.0
4.388840199,0.0
3.805190086,28.2
4.062689781,0.0
4.386189938,16.9
4.063519955,22.5
3.987159967,0.0
3.86868,0.0
4.081039906,22.5
3.859689951,22.5
4.068799973,0.0
3.954790115,22.5
4.043819904,0.0
3.760309935,0.0
3.939529896,0.0
4.329679966,22.5
4.27959013,0.0
3.810930014,28.2
4.024879932,22.5
3.961460114,0.0
4.369540215,0.0
3.940490007,0.0
4.12018013,28.2
4.204880238,28.2
3.882149935,28.2
4.065710068,0.0
4.081039906,28.2
4.067480087,0.0
3.851330042,16.9
3.849319935,0.0
3.768110037,16.9
4.07930994,0.0
4.026669979,0.0
4.383110046,0.0
3.831899881,28.2
4.429069996,0.0
3.917759895,16.9
3.998859882,22.5
3.841379881,0.0
3.842550039,0.0
4.009789944,0.0
4.344749928,16.9
4.51169014,0.0
3.695930004,0.0
3.869240046,28.2
3.942899942,28.2
3.91899991,0.0
4.131750107,0.0
4.348750114,22.5
3.780420065,16.9
3.928270102,0.0
3.776659966,0.0
4.0490098,22.5
4.225019932,28.2
3.827939987,28.2
4.21736002,0.0
4.398389816,0.0
3.842639923,0.0
4.357230186,28.2
3.776109934,0.0
4.013380051,22.5
4.023940086,0.0
4.369569778,0.0
3.797310114,0.0
4.487150192,16.9
3.679889917,0.0
4.293970108,0.0
3.86097002,0.0
4.098340034,0.0
4.323949814,0.0
4.315380096,0.0
3.825619936,0.0
3.752759933,0.0
3.725820065,0.0
4.119339943,0.0
4.299640179,22.5
4.383460045,0.0
3.93234992,0.0
4.388979912,0.0
3.918400049,0.0
3.870049953,0.0
4.413869858,0.0
4.341939926,0.0
3.767019987,16.9
