H3A_P_0_2,PhosphorusTreatment
3.530879974,16.9
2.3613801,0.0
2.357209921,0.0
2.21333003,0.0
2.247489929,0.0
2.600739956,22.5
3.636159897,16.9
5.246729851,0.0
2.289750099,0.0
2.29531002,0.0
5.072219849,0.0
2.1489501,0.0
2.048409939,22.5
1.529320002,0.0
5.295889854,0.0
2.869689941,16.9
2.664930105,22.5
2.741839886,0.0
2.139659882,28.2
2.151730061,0.0
3.268719912,0.0
2.176009893,0.0
4.544640064,16.9
4.522049904,16.9
2.90692997,0.0
5.963659763,0.0
3.690819979,16.9
2.069319963,0.0
2.771800041,16.9
2.279040098,16.9
1.845090032,28.2
1.982249975,0.0
1.762989998,16.9
3.021029949,22.5
3.560899973,16.9
1.74477005,0.0
1.807999969,16.9
1.798930049,16.9
3.923779964,28.2
1.94343996,0.0
1.954429984,28.2
1.93524003,0.0
5.256519794,0.0
2.191169977,0.0
4.620299816,28.2
4.451300144,0.0
2.725579977,0.0
3.369339943,0.0
3.718590021,0.0
2.500720024,22.5
1.841789961,0.0
3.553839922,0.0
3.395800114,28.2
1.750229955,0.0
3.18633008,0.0
2.902620077,22.5
1.91505003,28.2
1.947939992,0.0
1.919970036,0.0
2.519659996,22.5
1.910750031,22.5
2.071650028,0.0
2.062380075,0.0
2.2822299,28.2
4.998169899,0.0
2.044090033,0.0
4.013040066,28.2
1.66012001,16.9
1.943120003,0.0
2.337389946,0.0
7.020579815,0.0
2.292939901,28.2
2.629580021,0.0
2.471849918,0.0
1.834400058,0.0
2.1161201,0.0
4.242849827,0.0
1.87748003,0.0
2.057879925,0.0
2.456720114,22.5
2.909970045,0.0
6.106850147,0.0
2.463759899,0.0
2.42098999,22.5
1.970999956,28.2
4.11634016,0.0
2.184170008,0.0
2.867320061,16.9
1.901430011,0.0
2.734740019,22.5
4.615670204,16.9
1.971379995,0.0
2.364120007,0.0
3.587709904,28.2
1.819710016,0.0
4.389319897,0.0
1.788669944,0.0
2.831010103,0.0
2.102309942,22.5
1.969589949,0.0
3.259180069,0.0
3.20559001,16.9
2.155070066,16.9
3.601830006,28.2
4.669050217,0.0
2.545860052,0.0
2.634910107,22.5
3.836499929,16.9
2.77376008,22.5
2.059700012,28.2
2.43482995,0.0
2.252330065,28.2
2.3332901,22.5
3.96578002,0.0
2.579240084,22.5
2.958499908,0.0
1.944139957,22.5
2.582499981,0.0
4.194059849,28.2
4.858109951,28.2
2.300329924,28.2
3.118730068,0.0
2.572360039,0.0
3.993979931,16.9
2.077610016,0.0
4.245989799,0.0
2.75880003,0.0
2.683530092,22.5
1.988839984,0.0
2.892649889,0.0
3.123359919,16.9
1.792029977,0.0
2.321749926,0.0
1.986780047,28.2
2.039959908,0.0
1.92998004,16.9
4.019690037,0.0
2.901010036,0.0
2.733639956,16.9
4.681029797,0.0
2.268620014,22.5
6.593369961,0.0
5.243529797,0.0
1.926830053,28.2
2.245280027,0.0
1.92979002,0.0
3.916229963,0.0
2.368040085,22.5
2.170350075,22.5
2.275010109,0.0
3.553800106,0.0
2.086760044,0.0
4.681670189,0.0
1.994199991,28.2
1.726240039,28.2
1.747220039,0.0
2.54282999,22.5
2.170510054,28.2
4.350319862,0.0
2.596400023,22.5
4.015699863,0.0
3.093869925,0.0
3.661859989,0.0
2.581540108,0.0
2.399169922,22.5
3.062129974,0.0
2.490590096,0.0
2.039200068,28.2
1.812430024,0.0
2.162810087,0.0
3.003520012,16.9
5.775939941,0.0
2.717240095,22.5
2.418979883,0.0
2.720499992,22.5
2.029020071,0.0
2.134639978,22.5
3.23032999,0.0
2.733350039,22.5
2.084510088,0.0
2.578690052,22.5
2.256659985,28.2
4.679679871,0.0
2.10277009,0.0
1.90971005,0.0
3.674770117,16.9
2.879400015,0.0
3.080869913,0.0
4.258049965,28.2
2.203490019,16.9
2.116100073,28.2
5.399879932,0.0
1.870569944,16.9
2.149389982,0.0
5.108819962,0.0
1.940610051,0.0
4.377230167,0.0
3.334549904,0.0
5.050469875,0.0
2.331480026,0.0
1.734670043,0.0
2.498159885,0.0
3.523430109,22.5
3.555330038,16.9
3.420710087,0.0
1.756710052,0.0
2.011509895,28.2
5.354179859,0.0
2.287460089,22.5
5.333240032,0.0
3.709520102,16.9
2.355629921,22.5
2.583129883,0.0
5.16369009,0.0
3.827280045,0.0
2.58100009,28.2
5.49574995,0.0
1.856400013,0.0
1.791149974,0.0
5.131229877,0.0
2.965980053,0.0
2.469039917,22.5
2.365859985,0.0
4.237520218,0.0
6.039509773,0.0
2.845410109,0.0
5.219540119,0.0
2.638600111,22.5
3.243880033,16.9
2.333839893,28.2
2.368669987,0.0
2.893520117,0.0
2.577150106,0.0
2.158479929,0.0
2.245769978,0.0
2.595299959,0.0
2.697180033,22.5
3.21901989,0.0
2.079149961,0.0
2.84491992,16.9
1.849179983,16.9
2.1754601,0.0
4.478000164,0.0
2.826699972,0.0
2.156100035,0.0
2.702300072,22.5
2.333980083,22.5
1.825000048,0.0
1.90241003,16.9
1.862570047,22.5
3.449810028,16.9
1.956730008,0.0
2.179660082,28.2
4.66697979,28.2
1.96965003,28.2
2.980560064,0.0
1.840219975,0.0
1.719830036,0.0
1.936679959,0.0
3.958739996,28.2
2.565099955,22.5
1.996610045,0.0
2.213829994,0.0
2.422790051,0.0
2.072989941,0.0
1.749789953,0.0
2.167860031,28.2
2.906349897,0.0
6.235549927,0.0
2.11164999,28.2
2.302229881,28.2
1.906559944,0.0
