M3_P_0_2,PhosphorusTreatment
15.19169998,16.9
14.24349976,0.0
13.01280022,0.0
12.97109985,0.0
12.98239994,0.0
14.37419987,22.5
15.24610043,16.9
14.8427,0.0
12.99440002,0.0
13.16590023,0.0
15.60439968,0.0
13.71539974,0.0
14.62279987,22.5
13.34980011,0.0
14.79360008,0.0
15.2663002,16.9
14.23840046,22.5
14.40769958,0.0
14.21090031,28.2
13.70090008,0.0
15.46529961,0.0
13.78320026,0.0
15.51490021,16.9
16.21439934,16.9
14.3586998,0.0
14.98859978,0.0
15.8203001,16.9
13.64850044,0.0
15.25039959,16.9
15.61859989,16.9
13.60540009,28.2
14.61750031,0.0
13.44299984,16.9
14.7159996,22.5
15.7652998,16.9
12.91940022,0.0
13.47290039,16.9
13.42700005,16.9
15.62440014,28.2
14.29559994,0.0
13.61950016,28.2
14.21109962,0.0
15.49880028,0.0
12.96350002,0.0
15.56890011,28.2
14.73880005,0.0
14.8366003,0.0
15.49020004,0.0
14.79539967,0.0
13.86320019,22.5
14.41639996,0.0
15.40470028,0.0
15.60330009,28.2
12.93400002,0.0
14.04240036,0.0
14.70619965,22.5
13.63650036,28.2
14.06719971,0.0
14.60849953,0.0
13.13220024,22.5
14.57919979,22.5
14.34980011,0.0
15.06659985,0.0
14.3835001,28.2
16.2451992,0.0
14.2468996,0.0
15.57789993,28.2
13.35099983,16.9
14.08259964,0.0
13.21389961,0.0
15.24040031,0.0
14.11190033,28.2
14.67630005,0.0
15.32380009,0.0
13.64970016,0.0
12.97710037,0.0
14.69279957,0.0
14.59899998,0.0
13.64830017,0.0
13.8380003,22.5
14.7031002,0.0
15.04310036,0.0
14.67099953,0.0
14.65159988,22.5
13.48639965,28.2
15.42409992,0.0
13.80210018,0.0
15.67409992,16.9
14.39280033,0.0
14.50109959,22.5
15.51780033,16.9
14.35420036,0.0
14.64400005,0.0
15.5692997,28.2
12.97179985,0.0
15.43249989,0.0
14.28299999,0.0
14.37950039,0.0
13.76239967,22.5
15.25300026,0.0
15.39120007,0.0
15.13710022,16.9
15.10620022,16.9
15.60750008,28.2
14.83810043,0.0
14.6473999,0.0
14.51539993,22.5
15.25689983,16.9
13.94390011,22.5
13.59560013,28.2
13.90450001,0.0
14.5880003,28.2
13.8913002,22.5
14.79780006,0.0
14.63500023,22.5
13.70429993,0.0
14.5951004,22.5
13.06840038,0.0
15.36120033,28.2
15.56089973,28.2
14.5632,28.2
14.82330036,0.0
15.22089958,0.0
15.26519966,16.9
14.38980007,0.0
15.42710018,0.0
15.14890003,0.0
14.49419975,22.5
14.28100014,0.0
14.8416996,0.0
14.52210045,16.9
13.45339966,0.0
15.16390038,0.0
13.4932003,28.2
14.58819962,0.0
13.57050037,16.9
15.42380047,0.0
14.2656002,0.0
15.17689991,16.9
14.99699974,0.0
14.85319996,22.5
15.16689968,0.0
14.8100996,0.0
13.61159992,28.2
15.32509995,0.0
13.47929955,0.0
14.79740047,0.0
13.85359955,22.5
13.77159977,22.5
13.00979996,0.0
15.21560001,0.0
15.04170036,0.0
16.29439926,0.0
13.53789997,28.2
13.42329979,28.2
14.29189968,0.0
14.46189976,22.5
14.61540031,28.2
15.08360004,0.0
14.67459965,22.5
15.4236002,0.0
14.81980038,0.0
15.22220039,0.0
15.19970036,0.0
13.84879971,22.5
14.83189964,0.0
15.20359993,0.0
13.57489967,28.2
14.27089977,0.0
13.73349953,0.0
15.20429993,16.9
15.03190041,0.0
