Ols_P_0_2,PhosphorusTreatment
6.742070198,16.9
6.354360104,0.0
5.642950058,0.0
5.594059944,0.0
5.606989861,0.0
6.557209969,22.5
6.429419994,16.9
6.432690144,0.0
5.62045002,0.0
5.655930042,0.0
6.885059834,0.0
5.874390125,0.0
6.096250057,22.5
5.47315979,0.0
6.374350071,0.0
6.523990154,16.9
6.33878994,22.5
6.550610065,0.0
6.45483017,28.2
5.855400085,0.0
6.607059956,0.0
5.98085022,0.0
6.836679935,16.9
7.167459965,16.9
6.477069855,0.0
6.476970196,0.0
6.99846983,16.9
5.75838995,0.0
6.487259865,16.9
6.747799873,16.9
5.703380108,28.2
6.125349998,0.0
5.627850056,16.9
6.185919762,22.5
6.949019909,16.9
5.317550182,0.0
5.679460049,16.9
5.590000153,16.9
6.68005991,28.2
6.274159908,0.0
5.70855999,28.2
6.289249897,0.0
6.766980171,0.0
5.586939812,0.0
6.582980156,28.2
6.335000038,0.0
6.726520061,0.0
6.664169788,0.0
6.612579823,0.0
5.961649895,22.5
6.491519928,0.0
6.466700077,0.0
6.610020161,28.2
5.353250027,0.0
6.194769859,0.0
6.170680046,22.5
5.748429775,28.2
6.18046999,0.0
6.095540047,0.0
5.790679932,22.5
6.004199982,22.5
6.572879791,0.0
6.177750111,0.0
6.739150047,28.2
7.090879917,0.0
6.354879856,0.0
6.577690125,28.2
5.494349957,16.9
6.148709774,0.0
5.762469769,0.0
6.816659927,0.0
6.151629925,28.2
6.138639927,0.0
6.328340054,0.0
5.924640179,0.0
5.566820145,0.0
6.288370132,0.0
6.075379848,0.0
5.756309986,0.0
5.923630238,22.5
6.175250053,0.0
6.546279907,0.0
6.592579842,0.0
6.092830181,22.5
5.689360142,28.2
6.508840084,0.0
6.011640072,0.0
6.834449768,16.9
6.451570034,0.0
6.385920048,22.5
6.806970119,16.9
6.385570049,0.0
6.096920013,0.0
6.554959774,28.2
5.428319931,0.0
6.527160168,0.0
6.416369915,0.0
6.510519981,0.0
5.795979977,22.5
6.219749928,0.0
6.440040112,0.0
6.703040123,16.9
6.217130184,16.9
6.627379894,28.2
6.44148016,0.0
6.54046011,0.0
6.623899937,22.5
6.448709965,16.9
6.137450218,22.5
5.89989996,28.2
6.240530014,0.0
6.465350151,28.2
5.986730099,22.5
6.634029865,0.0
6.801799774,22.5
6.02628994,0.0
6.036640167,22.5
5.706449986,0.0
6.711359978,28.2
6.580470085,28.2
6.400640011,28.2
6.715950012,0.0
6.472139835,0.0
6.462920189,16.9
6.446660042,0.0
6.516719818,0.0
6.297289848,0.0
6.59197998,22.5
6.41590023,0.0
6.743569851,0.0
6.45938015,16.9
5.655640125,0.0
6.356080055,0.0
5.698949814,28.2
6.470049858,0.0
5.858290195,16.9
6.759729862,0.0
6.310349941,0.0
6.311429977,16.9
6.624519825,0.0
6.374899864,22.5
6.713089943,0.0
6.392950058,0.0
5.699450016,28.2
6.336470127,0.0
5.671299934,0.0
6.628059864,0.0
5.938970089,22.5
5.81388998,22.5
5.620359898,0.0
6.402160168,0.0
6.124810219,0.0
7.131249905,0.0
5.79460001,28.2
5.598750114,28.2
6.430640221,0.0
6.692550182,22.5
6.534420013,28.2
6.741049767,0.0
6.124579906,22.5
6.504429817,0.0
6.708990097,0.0
6.412899971,0.0
6.560080051,0.0
5.93460989,22.5
6.730899811,0.0
6.436049938,0.0
5.86093998,28.2
6.394959927,0.0
5.901820183,0.0
6.355060101,16.9
6.562940121,0.0
6.564320087,22.5
5.765600204,0.0
6.545119762,22.5
5.897220135,0.0
5.80381012,22.5
6.583889961,0.0
5.99887991,22.5
6.294229984,0.0
6.663209915,22.5
6.145629883,28.2
6.761539936,0.0
6.260680199,0.0
5.756159782,0.0
7.035860062,16.9
5.745359898,0.0
6.545080185,0.0
6.577539921,28.2
6.166649818,16.9
6.500070095,28.2
6.430510044,0.0
5.759880066,16.9
5.812069893,0.0
7.384910107,0.0
5.794919968,0.0
6.73251009,0.0
6.637050152,0.0
7.231450081,0.0
6.709609985,0.0
5.570199966,0.0
6.563899994,0.0
6.589000225,22.5
6.739520073,16.9
6.597350121,0.0
5.256309986,0.0
6.024310112,28.2
6.370470047,0.0
5.849579811,22.5
6.361830235,0.0
7.05302,16.9
6.032939911,22.5
6.139490128,0.0
6.926139832,0.0
6.491950035,0.0
6.488570213,28.2
6.484630108,0.0
5.6364398,0.0
5.406949997,0.0
6.49105978,0.0
6.740640163,0.0
5.945219994,22.5
6.275100231,0.0
6.636270046,0.0
6.61274004,0.0
6.276370049,0.0
6.409399986,0.0
6.511750221,22.5
6.386410236,16.9
6.373819828,28.2
6.313839912,0.0
6.399390221,0.0
6.429009914,0.0
5.845349789,0.0
6.739779949,0.0
5.709109783,0.0
6.500989914,22.5
6.625500202,0.0
5.55328989,0.0
6.657710075,16.9
5.62293005,16.9
5.579229832,0.0
6.53166008,0.0
6.25398016,0.0
5.843150139,0.0
6.403210163,22.5
5.965360165,22.5
6.003439903,0.0
5.477739811,16.9
5.944340229,22.5
6.728950024,16.9
6.545119762,0.0
6.338560104,28.2
6.577340126,28.2
5.788179874,28.2
6.44175005,0.0
6.011740208,0.0
6.43171978,0.0
6.432579994,0.0
6.717269897,28.2
6.70909977,22.5
5.893020153,0.0
5.973720074,0.0
6.625649929,0.0
6.320869923,0.0
5.446819782,0.0
6.269619942,28.2
6.467899799,0.0
6.57531023,0.0
5.975190163,28.2
6.440219879,28.2
6.313930035,0.0
5.747769833,0.0
5.644589901,28.2
6.404099941,16.9
6.423240185,0.0
5.417220116,0.0
6.495960236,28.2
5.75206995,0.0
6.158199787,0.0
6.432109833,28.2
6.628819942,0.0
6.01736021,0.0
6.615779877,0.0
5.750170231,0.0
6.496280193,16.9
6.741280079,16.9
6.6989398,28.2
6.035059929,0.0
7.016630173,16.9
6.478099823,0.0
6.062109947,22.5
5.536469936,0.0
6.505740166,0.0
6.394939899,0.0
7.294290066,0.0
6.26252985,16.9
6.637360096,0.0
6.409230232,0.0
5.778389931,0.0
6.394370079,0.0
6.113759995,28.2
5.957960129,0.0
6.909580231,16.9
6.344669819,0.0
5.662580013,22.5
5.713600159,0.0
6.613460064,22.5
6.020050049,22.5
6.471809864,22.5
6.592669964,0.0
5.657249928,0.0
6.072199821,0.0
7.243519783,0.0
5.755320072,0.0
5.839970112,22.5
6.584440231,0.0
6.031869888,0.0
6.53553009,0.0
6.343289852,0.0
5.92798996,0.0
5.608379841,16.9
5.763869762,0.0
6.494009972,0.0
6.694980145,0.0
6.354909897,0.0
5.745689869,0.0
5.755440235,0.0
6.462729931,0.0
6.124700069,0.0
6.454120159,16.9
6.586140156,16.9
7.067850113,16.9
5.546380043,16.9
6.635799885,28.2
5.559529781,0.0
5.571469784,16.9
6.305109978,0.0
6.605090141,0.0
6.302420139,0.0
5.443890095,0.0
6.209670067,16.9
6.377860069,0.0
6.259009838,0.0
6.516550064,0.0
6.012110233,22.5
6.582300186,28.2
6.578730106,0.0
6.196879864,28.2
5.791689873,16.9
6.229459763,22.5
5.602230072,22.5
6.200980186,0.0
5.683569908,0.0
5.381370068,0.0
5.497089863,0.0
5.828070164,28.2
6.423699856,0.0
6.344389915,16.9
6.505809784,0.0
5.616799831,0.0
6.403739929,0.0
5.540279865,0.0
6.331069946,0.0
5.756750107,0.0
5.583899975,16.9
6.448040009,0.0
6.507599831,0.0
5.694009781,28.2
6.236959934,22.5
6.929080009,0.0
6.497940063,0.0
6.302599907,28.2
6.011879921,0.0
6.450079918,0.0
6.433509827,0.0
5.802020073,0.0
6.12748003,0.0
6.627820015,0.0
7.341969967,0.0
5.587920189,0.0
6.435249805,22.5
6.390230179,0.0
6.604269981,0.0
5.64222002,0.0
6.386360168,0.0
6.375770092,28.2
6.215189934,22.5
5.716589928,16.9
5.473659992,0.0
5.370739937,16.9
6.651309967,28.2
5.673089981,0.0
6.579299927,28.2
5.665160179,0.0
6.740049839,16.9
6.581989765,28.2
5.744959831,0.0
6.729239941,28.2
6.146299839,22.5
5.748950005,0.0
5.517730236,0.0
6.795209885,0.0
6.184249878,0.0
6.578539848,28.2
6.31096983,0.0
6.528960228,0.0
6.7365098,16.9
6.413269997,0.0
6.259709835,0.0
6.478779793,16.9
5.861159801,0.0
6.053750038,28.2
6.631969929,0.0
6.678050041,0.0
6.481599808,0.0
6.602119923,22.5
6.043469906,0.0
6.26695013,22.5
6.554140091,0.0
6.733880043,16.9
7.429279804,0.0
6.463039875,0.0
5.732269764,0.0
6.495079994,0.0
6.138199806,0.0
6.139229774,22.5
6.536059856,0.0
6.241909981,0.0
5.83134985,0.0
5.885950089,16.9
