Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2
0.453727007,42.27059937,0.877511024,273.3340149,27.77269936,6.742070198
0.348309994,39.62469864,0.873445988,264.5249939,26.26670074,6.354360104
0.365772009,47.16820145,0.683924973,283.4030151,28.26519966,5.642950058
0.359126002,46.09469986,0.686793029,277.2059937,28.10429955,5.594059944
0.359964013,46.49169922,0.685666025,279.3309937,28.14900017,5.606989861
0.390323997,41.71910095,0.988013983,275.8280029,27.79150009,6.557209969
0.317820013,49.76879883,0.867908001,261.6080017,31.78100014,6.429419994
0.393191993,55.57210159,0.892225027,279.0390015,33.81869888,6.432690144
0.360543013,46.85710144,0.684450984,280.9440002,28.20779991,5.62045002
0.339659005,47.58089828,0.686608016,281.6719971,28.01440048,5.655930042
0.468549997,48.35850143,0.952710986,283.4859924,31.11680031,6.885059834
0.266270995,47.52909851,0.66693902,273.1839905,28.35569954,5.874390125
0.290903002,41.5155983,0.959596992,243.5529938,28.43479919,6.096250057
0.223735005,46.22740173,0.663815022,232.0410004,26.78759956,5.47315979
0.36944899,53.7159996,0.880873978,275.8120117,33.21250153,6.374350071
0.303777993,48.12979889,0.857424974,275.0020142,30.94669914,6.523990154
0.438089997,44.34780121,1.062160015,266.4609985,28.46279907,6.33878994
0.436421007,41.20470047,0.887767971,266.8179932,28.1189003,6.550610065
0.354119003,36.83869934,0.916662991,263.9599915,25.52969933,6.45483017
0.268572986,48.49969864,0.664528012,274.3410034,28.57349968,5.855400085
0.30803901,49.80139923,0.859866977,271.4509888,31.60199928,6.607059956
0.25357601,45.47200012,0.674611986,275.321991,28.16270065,5.98085022
0.459511995,47.52320099,1.006070018,279.5440063,30.6760006,6.836679935
0.459520996,46.61740112,0.935570002,278.1470032,30.32859993,7.167459965
0.426403999,42.52090073,0.912986994,269.3590088,27.94860077,6.477069855
0.382809997,54.00450134,0.888530016,279.0400085,33.36980057,6.476970196
0.456880987,44.3227005,0.912874997,272.006012,29.05060005,6.99846983
0.279251009,47.72499847,0.663995981,269.8359985,28.09059906,5.75838995
0.306492001,48.68590164,0.860987008,271.8420105,31.03779984,6.487259865
0.440248996,40.98590088,0.876168013,262.7730103,28.07649994,6.747799873
0.212779,48.52270126,0.648478985,264.0880127,27.9029007,5.703380108
0.310056001,37.62409973,0.992021978,241.5549927,27.33919907,6.125349998
0.225581005,42.88679886,0.693759978,244.423996,26.75510025,5.627850056
0.291350007,46.36790085,0.930895984,251.7929993,30.47240067,6.185919762
0.460011989,43.24959946,0.902876019,270.8619995,28.76140022,6.949019909
0.174823999,42.47269821,0.733386993,234.2740021,27.16379929,5.317550182
0.238554999,42.77180099,0.701016009,249.4929962,26.78840065,5.679460049
0.226657003,44.80500031,0.68325597,248.0619965,27.37619972,5.590000153
0.376821995,51.42179871,0.878059983,271.0750122,32.13539886,6.68005991
0.272289008,35.43050003,0.842812002,249.0950012,26.12070084,6.274159908
0.254723996,47.30830002,0.659373999,262.4649963,27.92499924,5.70855999
0.321613014,34.34080124,0.920916021,249.1580048,25.14089966,6.289249897
0.428492993,50.03419876,0.901587009,284.9140015,32.24209976,6.766980171
0.361025006,45.73249817,0.688296974,275.8989868,28.07060051,5.586939812
0.366970986,53.73300171,0.886372983,272.2420044,33.06900024,6.582980156
0.40802601,52.27420044,0.877264023,275.4289856,32.62689972,6.335000038
0.432480991,41.25120163,0.86473,267.82901,28.15859985,6.726520061
0.292160004,48.42160034,0.85045898,274.4200134,31.30820084,6.664169788
0.455336988,42.93489838,0.878293991,281.973999,27.36070061,6.612579823
0.370817006,50.10720062,0.67939198,278.3569946,29.7038002,5.961649895
0.348964989,30.94140053,0.953988016,250.2779999,24.2635994,6.491519928
0.349103987,53.01699829,0.883145988,264.4620056,32.47159958,6.466700077
0.411805004,55.03469849,0.901877999,267.4909973,32.96170044,6.610020161
0.190053999,43.0019989,0.736983001,236.470993,27.11129951,5.353250027
0.395247996,45.27479935,0.725620985,283.1879883,28.39839935,6.194769859
0.287795007,46.36349869,0.928753972,250.9539948,30.41500092,6.170680046
0.229876995,47.85359955,0.65537101,263.4100037,28.02249908,5.748429775
0.310939014,36.29439926,0.949119985,248.9499969,26.60040092,6.18046999
0.28757,38.50370026,0.966826975,240.0950012,27.69039917,6.095540047
0.434210002,50.78170013,0.682322025,269.2369995,30.65579987,5.790679932
0.239264995,42.91040039,0.908200979,239.470993,28.60720062,6.004199982
0.254209012,41.18310165,0.859030008,304.3630066,28.25099945,6.572879791
0.261079997,48.7336998,0.870061994,253.3139954,30.42020035,6.177750111
0.346967012,39.08800125,0.918426991,299.7730103,25.82259941,6.739150047
0.54607302,42.53310013,0.909796,272.4339905,28.83040047,7.090879917
0.333712012,34.91680145,0.924679995,254.871994,25.26679993,6.354879856
0.392917007,55.38650131,0.899874985,270.375,33.32040024,6.577690125
0.198706999,42.06779861,0.678701997,226.5599976,26.13170052,5.494349957
0.294180006,36.81520081,0.942282021,248.1799927,26.81100082,6.148709774
0.415616989,47.0868988,0.70419699,306.8469849,27.74769974,5.762469769
0.440328002,57.97249985,0.912002027,300.0780029,35.85219955,6.816659927
0.325585991,39.77280045,0.819208026,259.4670105,26.58989906,6.151629925
0.271104008,43.72990036,0.923505008,246.2649994,29.74340057,6.138639927
0.386985004,54.87490082,0.916680992,258.7780151,32.2928009,6.328340054
0.273865014,36.68009949,0.841331005,248.3549957,25.52799988,5.924640179
0.322005987,47.54759979,0.675396025,279.0480042,28.00200081,5.566820145
0.404765993,50.66329956,0.868873,273.2539978,32.07089996,6.288370132
0.272597998,38.64870071,0.951825976,238.6860046,27.77449989,6.075379848
0.279062003,47.40909958,0.664817989,269.7569885,28.01619911,5.756309986
0.359627992,50.02809906,0.677071989,279.57901,29.4673996,5.923630238
0.283491999,44.50630188,0.930221975,249.2519989,30.04920006,6.175250053
