M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,PhosphorusTreatment
483.8999939,3415.399902,56.2580986,414.9419861,269.2449951,10.20709991,0.0
398.3190002,3727.379883,65.25939941,417.7390137,237.5399933,12.30819988,0.0
462.8299866,3452.090088,57.47679901,415.6549988,256.6610107,10.6310997,9.0
362.7229919,3561.189941,56.10630035,396.5889893,211.5809937,9.054389954,27.0
388.4689941,3514.439941,57.42810059,398.7770081,232.1459961,9.241820335,9.0
354.3779907,3787.610107,63.67670059,414.9330139,221.151001,10.34799957,0.0
380.5490112,3559.120117,59.01779938,399.7539978,234.4080048,9.168530464,9.0
324.7399902,3780.26001,60.05519867,405.1359863,201.6230011,9.02270031,0.0
327.5950012,3725.419922,59.70930099,402.5820007,202.8899994,8.868390083,0.0
326.4339905,3732.540039,59.80360031,402.9020081,201.0119934,8.891460419,0.0
343.6159973,3799.590088,63.45859909,410.6659851,229.8930054,9.176589966,0.0
381.269989,3503.580078,51.07049942,392.3259888,199.9210052,9.900650024,27.0
407.6830139,3707.090088,62.46889877,416.1459961,237.6000061,11.93640041,0.0
386.7680054,3463.469971,50.45009995,389.0859985,217.5910034,9.747890472,0.0
362.2049866,3779.120117,65.61009979,413.8389893,233.5189972,10.18710041,0.0
348.4760132,3653.639893,59.28649902,400.8070068,221.3560028,8.802619934,0.0
368.3510132,3556.840088,51.36520004,391.230011,205.4960022,9.536100388,27.0
356.7600098,3609.98999,58.75709915,399.256012,224.2749939,8.81608963,0.0
391.6730042,3735.149902,64.85289764,415.8940125,237.7480011,11.54319954,9.0
431.0109863,3334.23999,54.23759842,394.2170105,246.4230042,9.857660294,0.0
381.2680054,3623.98999,60.42250061,404.3590088,236.6139984,9.231080055,18.0
366.0119934,3771.419922,66.45549774,411.6809998,235.7910004,9.832070351,0.0
420.9370117,3445.439941,52.30789948,397.723999,219.8289948,10.05780029,9.0
491.3399963,3361.290039,58.11629868,415.3930054,267.5119934,10.26970005,27.0
