H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,PhosphorusTreatment
78.1384964,1916.910034,5.168419838,62.38650131,62.67670059,4.397079945,27.0
47.8504982,2085.719971,4.186749935,61.31330109,60.40029907,2.430069923,0.0
69.49259949,1955.23999,4.791930199,62.2765007,60.51369858,3.917069912,9.0
84.85549927,1888.73999,5.571100235,64.2378006,64.1088028,5.362140179,18.0
53.74599838,2028.25,4.093200207,61.05960083,57.21239853,2.982130051,0.0
48.22999954,2077.810059,4.258069992,61.29299927,60.38529968,2.59713006,0.0
56.2439003,2028.410034,5.210249901,63.10010147,65.89530182,3.586899996,0.0
44.56570053,2083.899902,3.990890026,61.13470078,58.66400146,1.84987998,0.0
73.584198,1934.550049,5.218560219,64.32939911,63.83190155,4.654079914,0.0
44.61729813,2068.919922,3.832870007,60.99480057,56.3504982,2.236850023,0.0
46.71340179,2089.51001,4.063220024,61.26620102,59.73699951,2.119610071,0.0
72.18470001,1943.969971,4.996940136,62.51380157,61.57360077,4.251430035,9.0
45.91650009,2088.949951,4.281429768,61.44049835,62.67340088,2.11571002,9.0
42.20740128,2081.419922,3.807189941,60.88660049,55.90399933,1.497069955,0.0
43.88019943,2070.530029,3.74319005,60.66790009,53.73180008,1.720289946,0.0
64.36830139,1982.819946,4.617099762,61.84429932,59.95069885,3.651269913,0.0
68.07019806,1967.26001,5.138360023,63.87110138,63.52519989,4.07363987,27.0
64.34619904,1981.180054,5.169549942,63.31370163,64.08969879,4.130300045,9.0
45.09550095,2072.610107,3.898580074,61.04069901,57.08570099,2.191139936,0.0
83.57409668,1889.040039,5.448800087,64.17620087,63.66070175,5.120649815,27.0
86.39070129,1878.689941,5.546050072,64.37850189,64.25430298,5.601570129,18.0
46.83150101,2054.840088,3.832740068,60.90650177,55.53540039,2.389219999,0.0
85.24909973,1879.459961,5.503789902,64.3219986,64.1072998,5.423110008,0.0
55.23469925,2009.339966,4.431129932,61.36349869,57.54499817,3.218369961,27.0
45.18880081,2061.389893,3.784039974,60.86259842,55.13370132,2.198230028,0.0
47.58349991,2085.830078,4.428890228,61.57490158,64.29029846,2.392139912,9.0
75.33540344,1931.099976,5.052519798,61.78089905,62.90739822,4.405940056,27.0
61.09980011,2004.910034,5.195439816,63.06740189,65.00710297,3.829859972,9.0
49.12269974,2085.810059,4.405389786,61.57049942,63.83860016,2.50744009,0.0
55.06930161,2035.469971,4.874909878,61.53820038,63.2826004,3.376420021,0.0
57.46770096,2017.969971,4.408480167,61.25749969,59.65060043,3.353140116,9.0
45.14289856,2086.439941,4.052639961,61.2140007,59.60599899,1.92790997,0.0
47.22900009,2088.100098,4.351809978,61.51330185,63.46549988,2.292490005,9.0
81.98760223,1907.890015,5.383110046,64.47679901,64.04550171,5.269350052,27.0
53.77909851,2025.069946,4.001289845,60.98210144,56.26449966,2.939059973,27.0
70.18779755,1956.219971,4.905900002,61.71689987,61.77109909,4.101220131,18.0
62.86859894,1982.660034,4.689080238,62.65879822,59.5931015,3.558990002,9.0
83.02950287,1907.650024,5.370399952,64.56349945,64.00289917,5.495969772,0.0
52.34260178,2031.280029,3.970360041,60.96920013,56.13840103,2.832779884,27.0
41.73730087,2080.360107,3.740669966,60.80759811,54.96640015,1.410030007,0.0
71.7826004,1947.25,5.158410072,64.42359924,63.18889999,4.627099991,0.0
48.91989899,2075.27002,4.64564991,61.73049927,66.1414032,2.763390064,0.0
61.56309891,1990.380005,4.757619858,61.93059921,59.86520004,3.755660057,27.0
50.53120041,2061.110107,4.847159863,61.68320084,65.10440063,3.104880095,9.0
47.24110031,2092.850098,4.085070133,61.30810165,60.01879883,2.182579994,0.0
83.0848999,1859.339966,5.381710052,64.30200195,63.7120018,5.154870033,0.0
85.43540192,1884.930054,5.564139843,64.26740265,64.15049744,5.421949863,18.0
84.79550171,1884.119995,5.509329796,64.23870087,63.96770096,5.30257988,0.0
77.95600128,1925.670044,5.264500141,64.5121994,63.58760071,5.088339806,0.0
66.68270111,1972.140015,4.961780071,63.24000168,62.60329819,4.145120144,27.0
65.42559814,1977.579956,4.660039902,61.88610077,60.13339996,3.752049923,0.0
80.51740265,1902.290039,5.322710037,64.15969849,63.31280136,4.867469788,18.0
45.73329926,2088.580078,4.120619774,61.29330063,60.58100128,2.011100054,27.0
75.85540009,1931.880005,5.292439938,64.26869965,64.07810211,4.688920021,0.0
67.46279907,1968.949951,4.848659992,63.20999908,61.93510056,4.1426301,18.0
83.94409943,1894.130005,5.577000141,64.20240021,64.04170227,5.278429985,18.0
80.46749878,1902.199951,5.298810005,64.06199646,62.67670059,4.789879799,18.0
54.60850143,2035.689941,5.080550194,61.73120117,65.73429871,3.48439002,0.0
52.10810089,2050.639893,5.002639771,61.63740158,64.65390015,3.214629889,9.0
83.97489929,1900.709961,5.42223978,64.52490234,64.14659882,5.5082798,0.0
71.78019714,1942.0,5.282390118,64.6697998,63.77510071,4.645339966,18.0
81.41519928,1900.23999,5.376820087,64.08159637,63.05390167,4.883170128,27.0
45.4353981,2072.110107,3.922990084,61.05310059,57.24890137,2.257839918,0.0
67.82109833,1967.410034,4.688960075,61.81259918,60.45240021,3.810760021,9.0
73.18470001,1943.430054,5.052430153,62.96500015,62.98049927,4.26500988,27.0
53.11660004,2046.829956,4.847509861,61.53760147,63.33980179,3.235440016,0.0
83.03469849,1868.180054,5.38891983,64.2881012,63.8246994,5.136320114,0.0
82.87850189,1885.880005,5.389259815,64.21569824,63.72140121,5.067649841,0.0
84.09480286,1899.079956,5.441460133,64.50499725,64.18599701,5.504030228,0.0
48.6867981,2087.689941,4.373109818,61.54510117,63.57619858,2.441629887,0.0
68.92510223,1970.719971,5.184820175,64.27970123,63.45449829,4.386789799,9.0
48.29679871,2052.439941,3.953880072,61.00690079,56.68270111,2.559099913,0.0
83.59059906,1903.319946,5.401989937,64.53739929,64.09519958,5.494729996,0.0
67.4496994,1969.910034,5.089159966,64.38999939,62.85150146,4.365170002,9.0
78.36229706,1911.890015,5.079850197,62.41859818,62.22790146,4.436170101,18.0
85.71099854,1895.469971,5.442709923,64.56929779,64.22969818,5.696280003,18.0
67.46530151,1969.319946,5.087850094,64.40789795,62.72389984,4.383570194,9.0
45.5705986,2077.860107,3.942810059,61.10680008,57.90800095,2.038919926,9.0
49.99539948,2044.839966,3.999229908,61.02209854,56.8321991,2.694969893,0.0
55.29240036,2014.209961,4.362269878,59.69400024,56.66540146,2.984730005,27.0
55.60810089,2024.130005,5.046309948,63.89870071,60.23339844,3.755800009,27.0
79.79340363,1904.040039,5.097509861,62.44749832,62.38180161,4.521009922,18.0
62.93989944,1990.390015,4.665679932,62.86899948,61.12469864,3.694900036,9.0
51.68560028,2037.48999,4.045509815,61.04109955,57.0284996,2.827579975,0.0
43.47850037,2084.72998,3.961299896,61.08909988,58.27709961,1.706500053,0.0
86.52999878,1886.930054,5.48514986,64.54969788,64.28579712,5.735310078,18.0
54.96979904,2030.969971,4.358339787,61.24060059,59.49399948,3.175770044,9.0
80.58260345,1902.400024,5.305530071,64.09400177,62.86840057,4.818349838,18.0
49.67509842,2078.540039,4.523940086,61.6114006,64.26339722,2.718709946,0.0
71.83460236,1945.72998,4.931220055,63.78710175,61.88439941,4.453289986,9.0
44.03820038,2081.620117,3.935830116,61.05770111,57.77679825,1.776900053,9.0
82.85070038,1906.51001,5.429500103,64.43080139,64.2039032,5.221350193,27.0
43.54399872,2080.100098,3.886620045,60.98450089,56.95709991,1.703209996,9.0
45.64870071,2064.360107,3.873049974,60.98860168,56.45899963,2.336270094,0.0
86.11969757,1891.560059,5.464109898,64.55750275,64.26490021,5.71198988,18.0
80.41940308,1905.719971,5.339429855,64.42489624,63.9034996,5.061570168,0.0
71.41120148,1944.859985,5.231490135,64.62879944,63.54759979,4.576690197,9.0
