M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,PhosphorusTreatment
363.5050049,3339.129883,42.56489944,434.4060059,244.2649994,15.76830006,27.0
286.2600098,3795.649902,49.12369919,448.8070068,228.6849976,14.72830009,0.0
332.3900146,3390.929932,41.85549927,427.401001,228.4490051,15.16730022,9.0
427.9360046,3388.429932,43.68000031,456.1319885,262.3779907,17.09539986,18.0
297.098999,3691.120117,43.57120132,433.7229919,218.5559998,13.71920013,0.0
285.8930054,3791.169922,47.36349869,446.3580017,228.8040009,14.66079998,0.0
307.2200012,3727.610107,43.38349915,452.0190125,248.9819946,16.85370064,0.0
279.9729919,3779.879883,49.57569885,450.1229858,220.9470062,14.77019978,0.0
382.0109863,3318.889893,41.54520035,436.8859863,245.1600037,17.19249916,0.0
278.7000122,3827.800049,45.56370163,439.0209961,214.3070068,13.42080021,0.0
285.4660034,3786.959961,50.48860168,451.4979858,225.7070007,14.89159966,0.0
341.4819946,3337.25,41.88570023,427.9819946,231.4450073,15.92669964,9.0
285.4289856,3769.320068,51.90969849,459.6950073,236.3670044,15.83450031,9.0
270.5409851,3768.98999,48.17810059,442.8320007,208.6109924,14.10039997,0.0
273.2879944,3749.860107,46.02489853,433.17099,202.3350067,13.30290031,0.0
326.8059998,3472.310059,42.07260132,429.5509949,226.003006,14.92990017,0.0
338.8670044,3530.080078,42.97819901,445.9590149,244.345993,16.13349915,27.0
323.2669983,3593.050049,42.70289993,445.9670105,244.8630066,16.56299973,9.0
280.1289978,3823.629883,46.12419891,442.4200134,217.3410034,13.83769989,0.0
403.4949951,3305.0,43.17449951,446.2049866,254.4779968,16.81159973,27.0
451.5840149,3411.929932,44.56439972,461.0910034,265.8609924,17.54770088,18.0
282.3630066,3780.850098,44.61600113,434.1860046,211.4320068,13.25329971,0.0
436.0050049,3366.820068,44.28430176,455.5650024,262.3399963,17.29730034,0.0
299.1459961,3622.110107,42.08119965,430.946991,216.4649963,14.27779961,27.0
278.9410095,3794.100098,45.08620071,434.7799988,209.4850006,13.23869991,0.0
290.5159912,3757.600098,52.83869934,461.5379944,242.6000061,16.20770073,9.0
356.5960083,3385.73999,42.87049866,438.3139954,243.7879944,16.15480042,27.0
317.8200073,3644.320068,42.70130157,447.0610046,246.0509949,16.62779999,9.0
293.8959961,3751.01001,54.25699997,457.7980042,240.0500031,15.8774004,0.0
301.8049927,3740.459961,42.79270172,447.1270142,239.5789948,15.61489964,0.0
305.6849976,3648.429932,43.50030136,437.45401,227.4689941,14.48550034,9.0
281.9599915,3779.280029,50.27310181,452.3980103,224.625,15.00020027,0.0
289.2210083,3762.25,52.6495018,460.1229858,239.397995,15.97599983,9.0
444.9819946,3440.399902,44.42200089,455.4200134,260.4349976,17.53070068,27.0
297.3070068,3681.040039,43.56480026,431.1340027,214.9029999,13.46210003,27.0
334.3599854,3446.889893,42.45399857,433.8129883,235.8179932,15.84910011,18.0
316.3469849,3532.790039,42.33950043,433.0190125,225.1779938,14.92609978,9.0
464.572998,3475.409912,44.06629944,460.9620056,263.1929932,17.88369942,0.0
294.0639954,3702.939941,43.70080185,431.7369995,214.3139954,13.41740036,27.0
268.0190125,3764.090088,47.7942009,439.973999,204.3359985,13.84609985,0.0
394.0759888,3421.070068,41.59809875,440.4030151,244.4450073,17.25889969,0.0
294.1730042,3746.350098,52.48849869,463.223999,249.6369934,16.76510048,0.0
319.5400085,3476.550049,40.62590027,423.7799988,220.5859985,15.41149998,27.0
294.0849915,3784.860107,46.6867981,455.2420044,245.128006,16.33300018,9.0
286.3500061,3788.179932,50.85889816,451.7049866,226.7489929,14.91670036,0.0
411.9429932,3246.580078,43.52230072,446.4119873,255.628006,17.06060028,0.0
433.2399902,3386.209961,43.87360001,457.0830078,263.2349854,17.19000053,18.0
421.5910034,3344.889893,43.67430115,452.3569946,259.7200012,17.05039978,0.0
434.3179932,3455.790039,43.14960098,451.5820007,254.6860046,17.58600044,0.0
328.5310059,3525.129883,42.68700027,441.4830017,238.9320068,16.04540062,27.0
330.7479858,3451.179932,41.90449905,429.0010071,226.6560059,15.07380009,0.0
381.3900146,3252.169922,42.52349854,437.1619873,246.2969971,16.68959999,18.0
283.9299927,3776.76001,50.99470139,454.5629883,228.3739929,15.23779964,27.0
376.0329895,3265.159912,42.36629868,434.9790039,244.5720062,17.06040001,0.0
330.9979858,3493.699951,42.81610107,439.6340027,236.3220062,15.8046999,18.0
420.8890076,3393.51001,43.44480133,454.8070068,261.0910034,16.97780037,18.0
370.8869934,3262.159912,42.28099823,434.8160095,242.7259979,16.36190033,18.0
303.131012,3752.290039,43.73789978,454.3340149,249.1170044,16.49069977,0.0
296.4190063,3802.409912,42.51670074,452.3819885,244.0529938,16.04150009,9.0
461.8829956,3466.449951,44.60760117,460.9700012,264.151001,17.80050087,0.0
367.9460144,3528.800049,43.43310165,458.1059875,250.7519989,17.38209915,18.0
380.8269958,3290.429932,42.51900101,439.2980042,247.2140045,16.46380043,27.0
280.3129883,3825.340088,45.70119858,441.9440002,218.1640015,13.78730011,0.0
