Ols_P_0_2,PhosphorusTreatment
3.446549892,27.0
5.926469803,0.0
4.364459991,9.0
2.925149918,18.0
4.560850143,0.0
5.710169792,0.0
4.991479874,0.0
6.072730064,0.0
6.01940012,0.0
5.120259762,0.0
6.165160179,0.0
4.52478981,9.0
6.730899811,9.0
5.716440201,0.0
5.104740143,0.0
4.67648983,0.0
4.017049789,27.0
4.256609917,9.0
5.335979939,0.0
3.424540043,27.0
2.615880013,18.0
4.854839802,0.0
2.859549999,0.0
4.809360027,27.0
4.965819836,0.0
7.031909943,9.0
3.673719883,27.0
4.577569962,9.0
6.932449818,0.0
4.284220219,0.0
4.47247982,9.0
6.22713995,0.0
6.886300087,9.0
3.300390005,27.0
4.508450031,27.0
4.052080154,18.0
4.439960003,9.0
3.359529972,0.0
4.573269844,27.0
5.604549885,0.0
4.959050179,0.0
7.451630116,0.0
5.214710236,27.0
6.000329971,9.0
6.190259933,0.0
3.605180025,0.0
2.887949944,18.0
3.109240055,0.0
3.953119993,0.0
4.105490208,27.0
4.71405983,0.0
4.400670052,18.0
6.389920235,27.0
6.415380001,0.0
4.145609856,18.0
2.960969925,18.0
3.634829998,18.0
4.95950985,0.0
4.274829865,9.0
3.029759884,0.0
3.771229982,18.0
3.470069885,27.0
5.25992012,0.0
4.389259815,9.0
3.904230118,27.0
4.461359978,0.0
3.848609924,0.0
4.008160114,0.0
2.834369898,0.0
6.900149822,0.0
6.860630035,9.0
4.838829994,0.0
3.176350117,0.0
5.55257988,9.0
3.464179993,18.0
3.031840086,18.0
5.312739849,9.0
5.789130211,9.0
4.745079994,0.0
4.653210163,27.0
5.751639843,27.0
3.494319916,18.0
4.52989006,9.0
4.66242981,0.0
6.049449921,0.0
2.735929966,18.0
4.654220104,9.0
3.890219927,18.0
6.831130028,0.0
4.939050198,9.0
5.930620193,9.0
2.993360043,27.0
5.806019783,9.0
5.02410984,0.0
2.891449928,18.0
3.812330008,0.0
3.75838995,9.0
4.016709805,0.0
5.228700161,0.0
5.181640148,9.0
5.682600021,27.0
3.668479919,18.0
3.812449932,9.0
6.257540226,27.0
5.838689804,0.0
3.610519886,27.0
5.951109886,9.0
4.07363987,0.0
5.415140152,0.0
6.152500153,0.0
4.088590145,9.0
5.322720051,0.0
3.930749893,0.0
3.373559952,27.0
6.154900074,0.0
4.791900158,18.0
2.680459976,0.0
7.644430161,0.0
4.718939781,0.0
6.319009781,27.0
6.629459858,0.0
2.43840003,0.0
3.910449982,9.0
7.253290176,0.0
4.404369831,0.0
5.006879807,0.0
4.995850086,9.0
4.556930065,9.0
6.493430138,0.0
5.015749931,27.0
4.389140129,9.0
6.723470211,0.0
5.628439903,0.0
3.620340109,9.0
6.374159813,27.0
5.003910065,0.0
4.3646698,27.0
6.158420086,0.0
5.417719841,0.0
5.428090096,0.0
4.466760159,0.0
2.499850035,18.0
4.710149765,9.0
4.535560131,27.0
4.926970005,0.0
4.404399872,18.0
3.597870111,18.0
5.760039806,27.0
4.935989857,27.0
3.665810108,0.0
3.659070015,18.0
4.867060184,18.0
3.153049946,27.0
5.833010197,0.0
3.492919922,0.0
6.084660053,0.0
5.915810108,9.0
7.156179905,0.0
3.462369919,27.0
3.762209892,27.0
4.630839825,9.0
5.452700138,27.0
5.697380066,9.0
7.666880131,0.0
3.664340019,27.0
4.603380203,18.0
4.81716013,27.0
6.526239872,27.0
3.929029942,18.0
5.800529957,9.0
5.930429935,0.0
7.826499939,0.0
5.210249901,0.0
5.523640156,0.0
5.562320232,0.0
4.592609882,0.0
3.667429924,27.0
6.131289959,27.0
5.190509796,0.0
2.897969961,27.0
3.432660103,27.0
4.835740089,0.0
3.481899977,0.0
5.128499985,9.0
5.803999901,27.0
3.302570105,27.0
4.6665802,0.0
5.71281004,0.0
5.407859802,27.0
4.407919884,0.0
5.611539841,9.0
4.900269985,27.0
5.771039963,9.0
3.28354001,0.0
2.730099916,18.0
3.974309921,0.0
5.591159821,0.0
4.382070065,18.0
4.511799812,0.0
4.535809994,18.0
5.124690056,9.0
4.924109936,0.0
4.35529995,0.0
2.978490114,18.0
4.595489979,18.0
5.53275013,27.0
5.456130028,0.0
6.609000206,0.0
3.135669947,27.0
5.861259937,9.0
5.034289837,0.0
2.067130089,0.0
3.631330013,27.0
3.44907999,27.0
5.534490108,0.0
4.506450176,9.0
6.506919861,27.0
5.505099773,0.0
3.151789904,18.0
4.41490984,27.0
4.308819771,18.0
5.208519936,0.0
2.988339901,27.0
5.628379822,27.0
2.825000048,18.0
5.12322998,0.0
5.703169823,0.0
8.096870422,0.0
6.15692997,0.0
4.40226984,9.0
3.697099924,27.0
5.663119793,27.0
2.439059973,18.0
6.632070065,9.0
5.917739868,0.0
2.54102993,18.0
3.051800013,0.0
3.524329901,18.0
5.371150017,9.0
7.542550087,0.0
3.873239994,0.0
6.864970207,0.0
4.780250072,0.0
5.031199932,0.0
6.209700108,0.0
3.124010086,0.0
5.484660149,0.0
6.186059952,0.0
3.981539965,0.0
5.172420025,27.0
7.001609802,0.0
4.514550209,27.0
3.739550114,0.0
4.773769855,0.0
5.97096014,0.0
2.110440016,0.0
4.400969982,9.0
4.360579967,27.0
5.156370163,0.0
4.338029861,18.0
5.656599998,0.0
5.990980148,27.0
6.55670023,0.0
7.259170055,9.0
4.998779774,0.0
4.627309799,18.0
5.233769894,9.0
5.013090134,18.0
4.982850075,9.0
5.204050064,9.0
5.708839893,9.0
3.393749952,27.0
4.345709801,9.0
7.318900108,9.0
4.436639786,27.0
4.811299801,27.0
5.147699833,0.0
5.330490112,0.0
3.260970116,18.0
6.971849918,0.0
4.719759941,0.0
