Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,PhosphorusTreatment
0.659712017,65.99099731,0.983147025,152.397995,42.37269974,3.912930012,18.0
0.260760009,45.49639893,0.36165601,105.0350037,32.09949875,2.384350061,18.0
1.19927001,86.48239899,1.311419964,206.5350037,43.6006012,5.010260105,0.0
1.092910051,89.26529694,1.157680035,213.6289978,48.26409912,5.89921999,0.0
0.802212,75.23760223,0.824995995,185.0850067,50.43920135,4.473450184,9.0
0.627870023,74.05190277,0.663025022,192.0570068,57.22999954,5.285419941,27.0
0.406762004,66.95999908,0.523989975,171.1289978,54.82559967,4.668059826,18.0
0.318749994,61.35150146,0.498683989,153.0720062,49.17380142,4.011219978,0.0
0.756084025,71.97650146,0.743219972,177.9609985,49.75439835,4.445849895,9.0
0.480670005,69.86199951,0.590448022,194.8200073,59.85169983,5.655109882,27.0
0.419577003,63.16540146,0.537132978,158.276001,49.88560104,4.050250053,18.0
0.423364997,74.82170105,0.535394013,199.0249939,64.58529663,5.901889801,0.0
0.412589997,68.39530182,0.580430984,185.4109955,57.16139984,5.359650135,27.0
0.918379009,75.21260071,1.440440059,174.2610016,42.80089951,5.258699894,0.0
1.017879963,81.35630035,1.126399994,190.2070007,45.15579987,4.874340057,9.0
0.541872978,71.54489899,0.575272977,182.8890076,56.42860031,4.989449978,9.0
0.252691001,44.79570007,0.356936008,104.6699982,31.15800095,2.469749928,18.0
1.168519974,84.14600372,1.249639988,203.4869995,44.48609924,4.828239918,0.0
0.429311007,68.77500153,0.585511982,187.5440063,57.75139999,5.444129944,27.0
1.073699951,92.39350128,1.373340011,220.5919952,51.33140182,7.180439949,9.0
0.392170995,61.74129868,0.531086981,153.246994,48.58250046,3.906019926,0.0
1.097329974,90.06189728,1.102740049,218.8000031,48.54359818,6.066420078,0.0
0.519764006,72.97470093,0.564216018,189.3329926,59.10350037,5.315499783,9.0
1.09908998,92.17089844,1.354500055,219.7709961,50.23360062,7.008090019,9.0
1.063930035,86.48739624,1.191490054,202.2550049,47.32590103,5.567550182,0.0
0.679408014,71.27310181,0.832355976,167.6159973,47.14120102,4.028920174,27.0
0.400402993,69.15509796,0.519802988,178.1869965,57.59659958,4.990869999,18.0
0.274069011,47.59889984,0.391887993,110.3079987,34.30289841,2.483690023,18.0
0.289364994,56.93009949,0.45707199,139.8280029,44.52220154,3.526060104,27.0
0.46172601,69.30059814,0.590593994,191.6909943,58.85589981,5.586209774,27.0
1.069180012,90.90529633,1.18362999,218.6529999,50.0719986,6.42595005,27.0
0.842907012,78.09739685,0.916996002,186.8110046,48.99760056,4.538799763,9.0
1.212239981,87.63200378,1.399350047,204.5189972,42.95470047,5.234260082,0.0
0.427522987,70.90049744,0.536665976,185.8619995,59.63840103,5.311439991,0.0
0.388911992,73.00289917,0.550051987,192.0140076,62.62250137,5.713069916,0.0
0.380723,72.58920288,0.522184014,187.5460052,61.74089813,5.392029762,18.0
0.302608997,51.04109955,0.461807013,120.2089996,37.68790054,2.771330118,18.0
0.423195004,69.31169891,0.581269026,189.772995,59.05210114,5.628139973,0.0
0.713680983,71.20279694,1.051869988,166.6399994,45.18170166,4.21736002,9.0
1.22815001,89.01809692,1.395110011,208.1920013,44.19540024,5.556479931,0.0
1.153429985,84.57109833,1.232579947,203.9530029,45.02220154,4.899000168,0.0
0.973706007,79.89579773,1.421720028,185.7230072,45.05870056,5.746829987,9.0
0.73298502,71.43219757,0.998625994,167.3639984,45.2118988,4.134990215,27.0
0.409469992,67.45970154,0.552033007,181.6060028,56.56679916,5.262080193,0.0
0.509926021,62.30289841,0.557211995,149.5180054,45.78960037,3.467689991,18.0
