H3A_P_0_2,PhosphorusTreatment
3.756939888,18.0
2.701519966,0.0
3.191920042,27.0
2.672770023,9.0
5.062439919,18.0
3.806469917,9.0
5.659800053,18.0
3.697969913,0.0
4.638730049,0.0
4.681419849,0.0
2.217959881,9.0
1.823930025,0.0
5.6167202,18.0
2.480230093,0.0
4.593850136,0.0
5.735040188,18.0
4.427080154,9.0
5.253610134,27.0
3.178529978,27.0
5.311950207,0.0
5.035590172,0.0
3.185379982,0.0
5.028399944,18.0
3.574609995,18.0
4.001299858,0.0
2.881510019,9.0
2.004479885,0.0
2.372920036,27.0
4.954410076,9.0
3.068710089,0.0
2.151720047,0.0
2.492810011,0.0
2.083420038,27.0
1.39064002,0.0
5.067180157,0.0
5.466100216,18.0
4.835659981,18.0
2.132689953,0.0
4.206560135,0.0
1.743669987,0.0
2.439480066,0.0
5.267149925,27.0
5.334280014,18.0
2.079819918,9.0
3.828239918,27.0
2.373029947,0.0
4.669909954,0.0
5.205369949,27.0
4.185619831,0.0
3.505670071,0.0
5.249120235,27.0
5.359020233,0.0
5.43596983,0.0
5.401209831,18.0
2.958889961,0.0
4.849830151,18.0
4.888130188,18.0
4.423570156,9.0
4.598519802,0.0
2.212860107,9.0
3.569169998,0.0
2.793420076,27.0
4.236499786,27.0
4.094600201,18.0
3.428760052,18.0
3.805190086,27.0
2.704030037,27.0
4.856770039,18.0
1.562170029,0.0
5.469180107,0.0
1.927600026,0.0
4.282509804,27.0
4.467319965,27.0
5.474040031,0.0
4.151259899,27.0
1.356629968,0.0
3.683449984,27.0
3.712349892,9.0
4.923150063,0.0
3.878930092,27.0
3.519119978,0.0
5.67524004,18.0
3.849349976,27.0
1.793540001,0.0
3.568030119,9.0
4.074580193,0.0
3.459990025,0.0
3.703560114,0.0
4.418670177,0.0
3.603919983,9.0
2.215150118,0.0
1.994619966,0.0
1.735530019,0.0
1.69551003,9.0
4.049990177,9.0
4.214660168,27.0
3.788919926,9.0
3.1442101,27.0
1.655940056,0.0
4.87387991,18.0
1.917539954,0.0
2.271440029,0.0
5.692699909,18.0
4.915259838,18.0
1.479380012,0.0
2.149470091,27.0
3.662029982,27.0
3.565649986,9.0
3.356899977,0.0
4.075250149,18.0
5.14357996,0.0
4.804969788,18.0
2.964900017,0.0
4.623770237,0.0
4.922279835,18.0
5.132719994,0.0
5.480120182,0.0
4.675179958,0.0
2.412460089,0.0
2.393759966,9.0
2.775599957,9.0
1.755049944,9.0
5.234899998,27.0
5.397960186,0.0
2.668410063,0.0
5.090970039,27.0
2.817709923,0.0
3.097009897,0.0
2.294709921,27.0
3.218280077,0.0
1.875440001,27.0
4.685269833,0.0
3.617160082,9.0
1.802960038,0.0
4.073190212,0.0
4.646920204,0.0
5.652190208,18.0
1.929180026,0.0
1.544860005,0.0
3.676150084,9.0
2.856620073,0.0
1.677569985,0.0
4.176750183,0.0
3.021709919,27.0
1.72634995,0.0
4.621459961,0.0
5.256840229,0.0
5.427710056,0.0
2.561369896,9.0
4.834290028,18.0
1.444319963,0.0
2.74574995,0.0
1.862200022,0.0
3.915999889,9.0
2.067850113,0.0
2.904320002,27.0
4.538879871,18.0
3.53470993,9.0
5.265779972,27.0
4.509009838,18.0
3.677059889,0.0
4.151800156,0.0
4.85255003,18.0
3.348510027,0.0
1.944970012,0.0
5.107299805,0.0
4.831319809,27.0
5.434500217,0.0
5.190100193,0.0
2.831059933,9.0
5.079619884,0.0
4.367990017,9.0
5.052050114,0.0
5.792550087,18.0
3.899820089,27.0
5.662109852,18.0
4.93377018,18.0
2.982389927,9.0
4.197130203,9.0
3.221950054,0.0
3.398560047,27.0
2.570060015,0.0
3.12842989,9.0
4.862939835,27.0
1.859150052,0.0
3.343699932,0.0
4.37485981,27.0
2.013700008,9.0
3.751100063,27.0
5.428060055,0.0
1.951370001,9.0
3.975460052,9.0
4.847139835,18.0
3.81223011,27.0
4.245570183,9.0
4.459410191,9.0
2.373500109,0.0
4.096250057,0.0
2.914089918,27.0
2.695970058,0.0
2.146219969,9.0
4.107699871,0.0
2.777250051,0.0
5.475419998,0.0
4.145870209,27.0
5.145709991,27.0
1.474370003,0.0
2.863699913,0.0
4.294239998,9.0
2.352740049,9.0
3.731019974,9.0
3.847229958,0.0
4.032120228,9.0
4.858890057,18.0
5.18915987,27.0
3.392240047,0.0
2.071579933,0.0
1.615910053,0.0
4.671500206,9.0
5.7428298,18.0
1.61097002,0.0
5.475940228,0.0
3.190759897,9.0
4.08479023,9.0
2.01789999,0.0
1.631590009,9.0
5.021409988,0.0
2.445169926,27.0
1.571140051,9.0
1.502210021,0.0
2.702980042,27.0
2.577470064,0.0
5.197569847,27.0
2.896800041,0.0
4.849229813,9.0
4.175350189,18.0
1.999860048,0.0
4.32144022,27.0
3.859709978,27.0
4.336150169,9.0
3.144370079,0.0
4.413529873,9.0
2.57220006,0.0
3.058109999,9.0
3.778620005,0.0
3.485960007,27.0
3.593859911,27.0
4.343029976,9.0
3.327970028,27.0
5.044020176,0.0
4.634300232,18.0
1.593819976,0.0
3.308370113,27.0
5.522520065,18.0
5.264770031,27.0
2.111020088,0.0
2.220479965,27.0
2.44024992,9.0
2.229949951,0.0
2.48506999,9.0
1.419839978,0.0
5.045949936,0.0
4.328770161,9.0
4.381780148,9.0
4.838190079,18.0
4.345920086,18.0
1.941179991,27.0
4.477230072,18.0
5.278570175,27.0
4.414040089,9.0
4.440700054,9.0
2.238159895,0.0
5.471010208,0.0
4.979169846,0.0
4.146220207,0.0
1.719499946,0.0
5.249239922,27.0
5.675799847,18.0
4.236050129,18.0
2.179150105,0.0
2.157269955,0.0
4.370019913,27.0
2.075489998,0.0
4.71325016,27.0
3.422319889,9.0
4.771100044,27.0
2.305530071,9.0
3.757060051,27.0
3.278130054,27.0
2.288899899,9.0
4.10999012,9.0
4.624760151,0.0
1.804990053,27.0
4.172170162,0.0
4.231470108,18.0
3.399369955,9.0
4.641039848,0.0
2.60574007,27.0
2.578969955,0.0
3.783930063,27.0
