H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,PhosphorusTreatment
62.41559982,2031.170044,5.18859005,49.84550095,63.17150116,2.014800072,18.0
50.4856987,2083.290039,4.294730186,50.04290009,57.76789856,1.54084003,0.0
55.8030014,2052.080078,3.951309919,50.01369858,57.51480103,1.835729957,27.0
50.30849838,2082.76001,5.791359901,50.24020004,61.79560089,1.646780014,9.0
80.41760254,1934.73999,6.597499847,51.31710052,65.21230316,2.998780012,18.0
66.30909729,2014.290039,4.858990192,49.8606987,61.54029846,2.178539991,9.0
84.03369904,1928.930054,7.077740192,51.28710175,63.80479813,3.225500107,18.0
57.05830002,2034.430054,6.147109985,49.97290039,64.30509949,1.997650027,0.0
73.04979706,1989.709961,5.769040108,51.02190018,66.00499725,2.524569988,0.0
73.57700348,1975.400024,5.722350121,50.99940109,66.41249847,2.6089499,0.0
50.28559875,2085.870117,4.65087986,50.12620163,55.98089981,1.393429995,9.0
47.49959946,2089.850098,3.966769934,50.01910019,51.91690063,1.311570048,0.0
87.58920288,1910.040039,7.081739902,51.27939987,65.98789978,3.408550024,18.0
50.23820114,2094.530029,4.900209904,50.13219833,59.84859848,1.406599998,0.0
72.85169983,1989.670044,5.773980141,51.07490158,63.01340103,2.591880083,0.0
86.55410004,1914.329956,7.14083004,51.37120056,65.70549774,3.402839899,18.0
69.32109833,1996.349976,5.309669971,50.96080017,63.79100037,2.42869997,9.0
87.88169861,1909.920044,6.612750053,51.16289902,66.86599731,3.340899944,27.0
52.68019867,2079.070068,5.246779919,50.12310028,63.62950134,1.684110045,27.0
86.77359772,1918.050049,6.668580055,51.16849899,66.74629974,3.220489979,0.0
82.8934021,1931.449951,6.451930046,51.16019821,64.29769897,3.133569956,0.0
51.94100189,2072.02002,5.528429985,50.16410065,63.66149902,1.696239948,0.0
82.35279846,1933.27002,6.663670063,51.10279846,66.11039734,2.958379984,18.0
59.68640137,2044.839966,5.142920017,49.85469818,62.99580002,1.910969973,18.0
60.30680084,2032.609985,5.062739849,50.81600189,58.49879837,2.137130022,0.0
49.99259949,2082.219971,5.822110176,50.24539948,62.81819916,1.743229985,9.0
46.5060997,2089.070068,3.869019985,50.0094986,51.6230011,1.385849953,0.0
51.36000061,2085.159912,5.269959927,50.21099854,59.67649841,1.451290011,27.0
79.28070068,1941.76001,6.355040073,51.27539825,65.05580139,2.913290024,9.0
50.68849945,2081.48999,5.538169861,50.17150116,63.70569992,1.650930047,0.0
48.36930084,2088.840088,4.315569878,50.05690002,53.62689972,1.388890028,0.0
50.77669907,2085.620117,5.51843977,50.21900177,60.80950165,1.513679981,0.0
51.1216011,2084.699951,5.291090012,50.18439865,57.34260178,1.433650017,27.0
46.92990112,2095.639893,4.38477993,50.07889938,52.68880081,1.288419962,0.0
86.32089996,1915.410034,6.485280037,51.16289902,66.15019989,3.34623003,0.0
87.15809631,1916.01001,6.908329964,51.21549988,66.66860199,3.274650097,18.0
77.82879639,1960.27002,6.130189896,51.12799835,63.33190155,2.87368989,18.0
51.57210159,2083.129883,5.019770145,50.17649841,56.75469971,1.409719944,0.0
62.2018013,2023.790039,5.249070168,51.04470062,58.38819885,2.303550005,0.0
47.75230026,2090.419922,4.019539833,50.02669907,52.06800079,1.291650057,0.0
46.92979813,2081.669922,3.770309925,50.00640106,53.21780014,1.541030049,0.0
81.02600098,1940.52002,6.644330025,51.21760178,62.86119843,3.079639912,27.0
85.65239716,1924.569946,6.76184988,51.18050003,66.72989655,3.155119896,18.0
50.69319916,2085.889893,4.690509796,50.11240005,54.85720062,1.375659943,9.0
56.46260071,2044.790039,4.912089825,50.81420135,56.94110107,2.08404994,27.0
50.13629913,2081.209961,5.992949963,50.24079895,60.13539886,1.610339999,0.0
74.66680145,1972.0,5.610819817,50.99489975,65.49980164,2.643150091,0.0
86.51010132,1904.199951,6.786570072,51.17580032,64.13680267,3.359590054,27.0
63.76869965,2021.339966,5.063029766,50.70050049,62.10309982,2.226690054,0.0
62.73609924,2028.119995,4.62830019,49.22389984,59.86909866,2.002609968,0.0
84.03369904,1922.170044,6.725800037,51.20800018,63.75159836,3.226500034,27.0
87.4960022,1913.319946,6.745049953,51.18510056,66.66410065,3.288680077,0.0
88.22280121,1902.47998,6.950839996,51.22689819,65.34100342,3.477750063,0.0
86.52729797,1919.849976,6.83205986,51.19670105,66.73480225,3.217050076,18.0
49.89500046,2089.389893,5.534749985,50.17919922,63.65000153,1.619009972,0.0
