H3A_P_2_6,PhosphorusTreatment
2.014800072,18.0
1.54084003,0.0
1.835729957,27.0
1.646780014,9.0
2.998780012,18.0
2.178539991,9.0
3.225500107,18.0
1.997650027,0.0
2.524569988,0.0
2.6089499,0.0
1.393429995,9.0
1.311570048,0.0
3.408550024,18.0
1.406599998,0.0
2.591880083,0.0
3.402839899,18.0
2.42869997,9.0
3.340899944,27.0
1.684110045,27.0
3.220489979,0.0
3.133569956,0.0
1.696239948,0.0
2.958379984,18.0
1.910969973,18.0
2.137130022,0.0
1.743229985,9.0
1.385849953,0.0
1.451290011,27.0
2.913290024,9.0
1.650930047,0.0
1.388890028,0.0
1.513679981,0.0
1.433650017,27.0
1.288419962,0.0
3.34623003,0.0
3.274650097,18.0
2.87368989,18.0
1.409719944,0.0
2.303550005,0.0
1.291650057,0.0
1.541030049,0.0
3.079639912,27.0
3.155119896,18.0
1.375659943,9.0
2.08404994,27.0
1.610339999,0.0
2.643150091,0.0
3.359590054,27.0
2.226690054,0.0
2.002609968,0.0
3.226500034,27.0
3.288680077,0.0
3.477750063,0.0
3.217050076,18.0
1.619009972,0.0
2.952140093,18.0
3.033400059,18.0
2.391870022,9.0
2.564399958,0.0
1.53271997,9.0
1.950610042,0.0
1.464040041,27.0
2.477979898,27.0
2.537250042,18.0
1.851189971,18.0
2.041500092,27.0
1.630970001,27.0
2.845590115,18.0
1.296399951,0.0
3.374030113,0.0
1.33070004,0.0
2.643110037,27.0
2.780529976,27.0
3.116790056,0.0
2.463350058,27.0
1.284170032,0.0
1.968099952,27.0
2.010440111,9.0
2.905529976,0.0
1.974529982,27.0
1.863849998,0.0
3.284430027,18.0
1.929700017,27.0
1.366000056,0.0
1.988260031,9.0
2.141230106,0.0
1.922749996,0.0
1.964849949,0.0
2.596329927,0.0
2.058300018,9.0
1.469689965,0.0
1.389369965,0.0
1.30151999,0.0
1.332389951,9.0
2.264019966,9.0
2.370490074,27.0
2.014349937,9.0
1.787670016,27.0
1.311040044,0.0
2.865250111,18.0
1.350999951,0.0
1.466249943,0.0
3.316679955,18.0
2.947669983,18.0
1.291820049,0.0
1.441159964,27.0
1.947550058,27.0
1.921830058,9.0
1.88696003,0.0
2.61661005,18.0
3.487910032,0.0
2.816930056,18.0
1.577229977,0.0
2.548110008,0.0
2.993089914,18.0
3.563080072,0.0
3.26364994,0.0
2.628220081,0.0
1.515259981,0.0
1.574569941,9.0
1.688070059,9.0
1.337350011,9.0
3.298209906,27.0
3.356270075,0.0
1.506219983,0.0
3.039109945,27.0
1.496629953,0.0
1.654340029,0.0
1.453179955,27.0
1.999410033,0.0
1.403740048,27.0
2.579269886,0.0
1.929469943,9.0
1.308359981,0.0
2.023430109,0.0
2.66208005,0.0
3.198120117,18.0
1.380689979,0.0
1.294700027,0.0
2.037329912,9.0
1.613549948,0.0
1.29914999,0.0
2.175679922,0.0
1.760419965,27.0
1.358610034,0.0
2.631429911,0.0
3.152889967,0.0
3.641380072,0.0
1.42881,9.0
