M3_P_0_2,PhosphorusTreatment
15.75139999,18.0
13.87959957,0.0
13.61190033,27.0
16.37960052,9.0
17.50489998,18.0
14.97570038,9.0
18.02560043,18.0
16.89419937,0.0
17.19689941,0.0
16.93829918,0.0
14.34720039,9.0
13.27159977,0.0
17.60779953,18.0
14.71280003,0.0
17.21419907,0.0
17.95120049,18.0
16.45100021,9.0
17.10400009,27.0
15.20960045,27.0
17.07180023,0.0
17.33009911,0.0
15.63790035,0.0
16.71360016,18.0
15.6257,18.0
16.9333992,0.0
16.52420044,9.0
13.29489994,0.0
15.36970043,27.0
17.32780075,9.0
15.71020031,0.0
13.91989994,0.0
15.87269974,0.0
15.29220009,27.0
13.86989975,0.0
17.13739967,0.0
17.27109909,18.0
17.32430077,18.0
14.89220047,0.0
17.04439926,0.0
13.30379963,0.0
13.28969955,0.0
17.72319984,27.0
17.05780029,18.0
14.42759991,9.0
16.75239944,27.0
16.40929985,0.0
16.65250015,0.0
17.30260086,27.0
16.17350006,0.0
14.91670036,0.0
17.54000092,27.0
17.16430092,0.0
17.40049934,0.0
17.16189957,18.0
15.79090023,0.0
17.21969986,18.0
17.17580032,18.0
16.57150078,9.0
17.1977005,0.0
16.02689934,9.0
16.86829948,0.0
15.20440006,27.0
16.10350037,27.0
16.85129929,18.0
14.89529991,18.0
16.69179916,27.0
13.39379978,27.0
16.63710022,18.0
13.79489994,0.0
17.69809914,0.0
14.03880024,0.0
16.27750015,27.0
15.82740021,27.0
17.93610001,0.0
16.16300011,27.0
13.59360027,0.0
15.25570011,27.0
15.3281002,9.0
16.53389931,0.0
16.16480064,27.0
16.17569923,0.0
17.98520088,18.0
16.20319939,27.0
14.8192997,0.0
14.96679974,9.0
16.92359924,0.0
14.7347002,0.0
16.27869987,0.0
15.89319992,0.0
15.02840042,9.0
13.26259995,0.0
14.86559963,0.0
13.6967001,0.0
14.44449997,9.0
15.66030025,9.0
16.33839989,27.0
16.62010002,9.0
14.22599983,27.0
14.08959961,0.0
16.75110054,18.0
13.29500008,0.0
13.4751997,0.0
17.97850037,18.0
16.96689987,18.0
13.52439976,0.0
15.31099987,27.0
15.95890045,27.0
15.38669968,9.0
14.47200012,0.0
16.62560081,18.0
17.06069946,0.0
16.41469955,18.0
14.74190044,0.0
17.19129944,0.0
17.05470085,18.0
17.06970024,0.0
17.79529953,0.0
16.78770065,0.0
15.84379959,0.0
16.16720009,9.0
16.45789909,9.0
14.44950008,9.0
17.43759918,27.0
17.25239944,0.0
15.9538002,0.0
16.76269913,27.0
14.7123003,0.0
14.79249954,0.0
15.35820007,27.0
17.0340004,0.0
15.18620014,27.0
17.09420013,0.0
16.53549957,9.0
13.67259979,0.0
16.6196003,0.0
16.40559959,0.0
18.04759979,18.0
14.8434,0.0
13.4861002,0.0
15.24489975,9.0
13.96319962,0.0
13.72430038,0.0
16.35919952,0.0
13.53709984,27.0
14.80119991,0.0
17.30690002,0.0
16.97540092,0.0
17.54269981,0.0
14.12629986,9.0
16.53149986,18.0
13.85439968,0.0
13.64179993,0.0
14.83940029,0.0
15.14659977,9.0
14.8888998,0.0
13.45129967,27.0
15.91450024,18.0
15.17240047,9.0
17.14529991,27.0
17.34550095,18.0
14.94299984,0.0
16.44499969,0.0
17.4673996,18.0
15.6310997,0.0
13.63720036,0.0
17.01250076,0.0
17.13540077,27.0
17.47050095,0.0
16.87280083,0.0
14.28989983,9.0
16.93939972,0.0
17.13299942,9.0
17.49869919,0.0
18.14800072,18.0
16.11240005,27.0
18.0007,18.0
17.10810089,18.0
16.54949951,9.0
15.30650043,9.0
13.88679981,0.0
14.72799969,27.0
16.57659912,0.0
16.30940056,9.0
16.43250084,27.0
14.05900002,0.0
16.6310997,0.0
15.75150013,27.0
14.4350996,9.0
16.30080032,27.0
17.33729935,0.0
14.45119953,9.0
16.31809998,9.0
17.42589951,18.0
16.21710014,27.0
16.4571991,9.0
16.34690094,9.0
13.49650002,0.0
15.94200039,0.0
15.19130039,27.0
14.67930031,0.0
14.40429974,9.0
16.52910042,0.0
16.76539993,0.0
17.65999985,0.0
16.05669975,27.0
17.06040001,27.0
14.13939953,0.0
15.85319996,0.0
16.01029968,9.0
14.12460041,9.0
15.51259995,9.0
16.94499969,0.0
15.28689957,9.0
17.42340088,18.0
16.95330048,27.0
13.96220016,0.0
15.62450027,0.0
13.7560997,0.0
17.21269989,9.0
18.02249908,18.0
13.44029999,0.0
17.90509987,0.0
16.11680031,9.0
16.55859947,9.0
13.6171999,0.0
14.44190025,9.0
16.75769997,0.0
15.36400032,27.0
14.45499992,9.0
13.81989956,0.0
15.26019955,27.0
14.6651001,0.0
17.10040092,27.0
13.72399998,0.0
17.28019905,9.0
15.89789963,18.0
14.03549957,0.0
16.13570023,27.0
16.81279945,27.0
17.11230087,9.0
17.21489906,0.0
