M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2
320.2019958,3569.669922,43.00719833,440.70401,235.2279968,15.75139999
287.7319946,3766.469971,44.03549957,438.5440063,221.026001,13.87959957
305.1860046,3630.139893,43.31159973,430.2619934,216.9170074,13.61190033
294.7640076,3745.600098,53.64020157,460.5239868,245.4660034,16.37960052
403.2940063,3431.659912,43.9382019,459.1730042,257.5780029,17.50489998
331.855011,3436.340088,42.3260994,430.2600098,229.8029938,14.97570038
476.8720093,3483.629883,44.20660019,464.7749939,266.302002,18.02560043
311.256012,3700.120117,43.28279877,451.0610046,249.4779968,16.89419937
378.9410095,3306.639893,41.64649963,435.9079895,244.6649933,17.19689941
373.7839966,3268.01001,42.20809937,434.4100037,243.7180023,16.93829918
283.2409973,3810.689941,48.12879944,446.8850098,222.3529968,14.34720039
274.8320007,3757.77002,45.68209839,433.2600098,203.9019928,13.27159977
453.7810059,3419.330078,44.68299866,461.4760132,265.9429932,17.60779953
286.1260071,3794.919922,48.63199997,448.1520081,228.9179993,14.71280003
387.6289978,3394.110107,41.35910034,438.6619873,243.9360046,17.21419907
464.5750122,3448.48999,45.10969925,464.5639954,266.7990112,17.95120049
351.5669861,3326.25,41.1935997,428.6910095,234.8910065,16.45100021
419.8739929,3303.830078,43.90029907,449.6719971,258.2219849,17.10400009
296.4159851,3742.050049,44.26350021,445.071991,234.6629944,15.20960045
422.5620117,3342.639893,43.72639847,452.42099,259.8359985,17.07180023
424.0079956,3390.300049,43.6257019,449.0029907,255.3049927,17.33009911
295.9819946,3777.550049,43.6108017,448.7990112,239.3000031,15.63790035
405.6579895,3417.649902,43.29199982,452.6749878,255.9160004,16.71360016
313.0539856,3617.800049,43.21590042,441.6419983,233.9940033,15.6257
350.0690002,3467.51001,39.62120056,430.1579895,230.5619965,16.9333992
294.8649902,3751.040039,52.12549973,459.2099915,246.5149994,16.52420044
276.894989,3782.449951,45.38600159,434.6499939,206.875,13.29489994
290.6090088,3770.189941,52.79320145,454.651001,233.8930054,15.36970043
390.5620117,3408.629883,43.59590149,453.9119873,253.5509949,17.32780075
293.1119995,3787.199951,45.16320038,450.3160095,239.5310059,15.71020031
280.42099,3819.590088,46.41199875,443.0409851,217.1909943,13.91989994
293.6409912,3752.02002,54.13029861,457.8880005,239.9029999,15.87269974
285.5700073,3775.840088,51.35319901,454.9620056,229.7940063,15.29220009
267.5880127,3764.919922,47.87030029,440.3139954,204.4340057,13.86989975
418.0079956,3315.639893,43.88790131,447.5920105,255.7810059,17.13739967
437.4559937,3385.77002,44.04750061,457.7720032,263.8039856,17.27109909
409.2219849,3402.540039,42.50770187,444.631012,249.8280029,17.32430077
285.6470032,3787.399902,50.54460144,451.5090027,225.8820038,14.89220047
368.0390015,3512.449951,40.32210159,433.3670044,231.9799957,17.04439926
273.7529907,3751.25,45.95259857,433.3070068,203.0079956,13.30379963
283.3429871,3777.330078,44.49639893,434.3330078,212.2850037,13.28969955
448.3280029,3466.860107,43.56330109,455.7470093,258.42099,17.72319984
425.3559875,3384.659912,43.61520004,455.355011,261.7399902,17.05780029
282.9549866,3800.02002,48.38700104,447.3340149,220.2570038,14.42759991
344.1820068,3553.25,39.59080124,428.3479919,224.8329926,16.75239944
289.0889893,3759.360107,52.40299988,463.5390015,244.7830048,16.40929985
368.427002,3273.040039,41.97230148,433.0660095,241.4799957,16.65250015
440.3080139,3422.689941,45.07730103,454.1000061,260.6900024,17.30260086
331.4150085,3400.47998,41.38280106,425.0979919,227.677002,16.17350006
318.4330139,3512.780029,41.9457016,431.1350098,223.9080048,14.91670036
443.6730042,3439.620117,44.24869919,454.9330139,259.7940063,17.54000092
427.8280029,3346.600098,43.94829941,453.5230103,260.8210144,17.16430092
442.519989,3400.350098,44.66830063,456.8160095,263.1300049,17.40049934
431.2709961,3381.870117,43.82920074,456.4309998,262.7369995,17.16189957
291.7090149,3783.159912,47.42810059,451.9599915,239.901001,15.79090023
402.3089905,3337.040039,42.5428009,442.8269958,250.1869965,17.21969986
399.7120056,3295.27002,42.59899902,442.1879883,250.5599976,17.17580032
353.7879944,3330.909912,41.17240143,429.2099915,235.6990051,16.57150078
384.2160034,3368.310059,41.26819992,437.6640015,244.102005,17.1977005
287.1300049,3765.399902,52.23860168,461.0,239.3659973,16.02689934
306.5190125,3732.040039,43.48789978,452.375,249.1430054,16.86829948
288.0280151,3780.590088,48.02539825,448.5220032,234.0570068,15.20440006
348.3039856,3436.830078,42.91260147,440.5700073,242.7070007,16.10350037
331.6549988,3623.709961,43.26879883,448.5820007,249.7039948,16.85129929
306.25,3660.449951,43.46239853,440.375,231.8939972,14.89529991
340.6279907,3551.030029,39.39319992,427.5830078,224.3170013,16.69179916
290.1279907,3731.530029,43.90240097,432.8909912,214.0780029,13.39379978
379.8150024,3253.879883,42.47409821,436.769989,245.7160034,16.63710022
271.4700012,3762.290039,47.40169907,439.0780029,205.5299988,13.79489994
457.3999939,3463.899902,44.9007988,459.9570007,263.9729919,17.69809914
279.5889893,3791.360107,46.6432991,442.7409973,213.2660065,14.03880024
350.368988,3474.429932,42.97890091,444.2619934,245.7899933,16.27750015
368.6199951,3319.699951,42.6108017,434.6010132,245.4929962,15.82740021
465.6530151,3485.570068,43.69120026,460.6140137,261.9989929,17.93610001
343.0969849,3508.449951,43.03659821,445.868988,245.2299957,16.16300011
266.3320007,3758.52002,47.41730118,437.0620117,200.3880005,13.59360027
316.8099976,3472.879883,40.84260178,423.6010132,219.5050049,15.25570011
322.6990051,3537.909912,43.12870026,437.802002,230.0180054,15.3281002
384.2210083,3282.379883,42.62120056,439.868988,248.0980072,16.53389931
319.928009,3495.090088,40.07740021,422.4859924,221.9570007,16.16480064
307.473999,3703.070068,42.62070084,446.6390076,240.8329926,16.17569923
474.6440125,3476.800049,44.55500031,464.894989,266.8280029,17.98520088
321.3850098,3514.280029,39.64030075,422.75,221.8930054,16.20319939
278.6499939,3778.469971,49.67539978,450.6239929,220.9340057,14.8192997
316.6860046,3532.959961,42.38270187,433.4339905,225.8569946,14.96679974
353.875,3481.179932,39.60079956,430.3399963,230.7389984,16.92359924
311.6359863,3543.280029,42.12080002,429.8049927,222.9369965,14.7347002
314.3909912,3652.370117,42.61389923,445.4630127,241.8110046,16.27869987
353.2390137,3286.219971,42.26190186,429.8659973,236.3880005,15.89319992
323.4719849,3486.47998,42.16930008,431.8859863,227.6190033,15.02840042
279.0509949,3798.629883,45.10950089,435.2940063,210.2539978,13.26259995
283.2550049,3783.189941,50.02840042,451.1600037,223.8079987,14.86559963
274.8619995,3765.389893,46.69440079,438.0360107,206.8939972,13.6967001
275.9049988,3775.860107,48.73970032,446.6220093,215.1799927,14.44449997
333.9070129,3425.580078,42.29980087,430.4299927,231.9929962,15.66030025
328.5220032,3541.26001,42.62139893,443.2709961,242.2380066,16.33839989
316.1589966,3657.050049,42.69150162,447.4570007,245.996994,16.62010002
296.8330078,3638.939941,42.25529861,431.9710083,216.6889954,14.22599983
274.3110046,3770.610107,47.87889862,442.571991,210.3379974,14.08959961
382.8139954,3249.909912,42.57089996,437.4869995,246.8379974,16.75110054
275.9920044,3770.820068,45.51490021,434.0559998,205.3760071,13.29500008
279.302002,3825.290039,45.37329865,439.0710144,215.0679932,13.4751997
473.7579956,3473.949951,44.7480011,465.1040039,267.1010132,17.97850037
389.118988,3238.27002,42.79919815,439.1820068,249.1790009,16.96689987
268.9830017,3754.870117,47.05130005,435.901001,200.9850006,13.52439976
286.9750061,3775.25,51.68069839,455.0230103,230.7380066,15.31099987
314.4809875,3628.330078,42.89839935,443.3049927,237.8939972,15.95890045
314.8349915,3594.110107,43.26620102,439.9219971,231.1329956,15.38669968
306.8529968,3583.360107,42.28120041,431.9899902,221.6499939,14.47200012
344.7829895,3587.389893,43.44710159,450.5570068,251.7539978,16.62560081
410.1849976,3241.439941,43.43320084,445.8930054,255.2109985,17.06069946
