M3_P_2_6,PhosphorusTreatment
9.397549629,18.0
8.841659546,0.0
8.761619568,27.0
11.04920006,9.0
10.90670013,18.0
9.06208992,9.0
10.73639965,18.0
10.97509956,0.0
9.850049973,0.0
9.793540001,0.0
9.243160248,9.0
8.858909607,0.0
10.79430008,18.0
9.199760437,0.0
9.991700172,0.0
11.12619972,18.0
9.604260445,9.0
10.23999977,27.0
9.465330124,27.0
10.30210018,0.0
10.1718998,0.0
10.03579998,0.0
10.11600018,18.0
9.362770081,18.0
10.02700043,0.0
11.49440002,9.0
8.904459953,0.0
9.794360161,27.0
10.64260006,9.0
10.14430046,0.0
9.100720406,0.0
10.25279999,0.0
10.0376997,27.0
9.44715023,0.0
10.06050014,0.0
10.5053997,18.0
10.1281004,18.0
9.639479637,0.0
10.02830029,0.0
8.893429756,0.0
8.863389969,0.0
10.47719955,27.0
10.36470032,18.0
9.342740059,9.0
9.890780449,27.0
11.11120033,0.0
9.694399834,0.0
10.20670033,27.0
9.25442028,0.0
9.026490211,0.0
10.40069962,27.0
10.36880016,0.0
10.59070015,0.0
10.42780018,18.0
10.24419975,0.0
10.03559971,18.0
10.02019978,18.0
9.648659706,9.0
9.934820175,0.0
10.72809982,9.0
11.13679981,0.0
9.237139702,27.0
9.659970284,27.0
10.91720009,18.0
9.251440048,18.0
9.863289833,27.0
8.79172039,27.0
9.740810394,18.0
9.295280457,0.0
10.68490028,0.0
9.156100273,0.0
10.10149956,27.0
9.3811903,27.0
10.60700035,0.0
9.957859993,27.0
9.318579674,0.0
9.129349709,27.0
9.085379601,9.0
9.778759956,0.0
9.378689766,27.0
10.06289959,0.0
10.79950047,18.0
9.439249992,27.0
9.834139824,0.0
9.148909569,9.0
9.98003006,0.0
8.952280045,0.0
10.05130005,0.0
9.175169945,0.0
9.009280205,9.0
8.933239937,0.0
9.725489616,0.0
9.111829758,0.0
9.618619919,9.0
9.299599648,9.0
10.07479954,27.0
10.44690037,9.0
8.918999672,27.0
9.406450272,0.0
9.803370476,18.0
8.887060165,0.0
9.033929825,0.0
10.85599995,18.0
9.916199684,18.0
9.209159851,0.0
9.998590469,27.0
9.671979904,27.0
9.173159599,9.0
8.924329758,0.0
10.77330017,18.0
