Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,PhosphorusTreatment
0.663116992,75.77729797,0.856014013,162.6640015,49.49250031,3.396409988,18.0
0.977810979,78.20130157,1.044749975,163.8220062,43.92720032,3.559920073,0.0
0.887965977,74.23410034,0.872282982,157.7220001,43.79740143,3.313410044,27.0
1.01970005,84.02580261,1.418789983,169.1499939,44.1916008,4.17222023,9.0
0.35026601,56.23400116,0.671526015,118.2829971,46.52619934,2.578020096,18.0
0.630074978,65.48200226,0.650560975,149.9850006,50.36930084,3.049510002,9.0
0.204139993,44.71530151,0.281195998,98.56030273,44.1678009,1.899000049,18.0
0.557841003,76.03510284,1.043550014,159.3410034,49.22069931,3.655400038,0.0
0.347052991,54.66770172,0.370451987,128.8500061,46.1155014,2.832050085,0.0
0.369387001,54.85559845,0.409518003,128.1869965,45.89849854,2.767649889,0.0
1.158710003,83.61740112,1.310739994,171.6459961,43.9756012,3.847440004,9.0
1.273530006,84.77269745,1.26067996,173.4160004,43.68220139,3.653019905,0.0
0.217767999,45.15589905,0.363112986,96.87049866,43.79919815,1.733420014,18.0
1.043419957,81.70480347,1.235190034,168.2899933,44.10860062,3.793349981,0.0
0.322658986,52.67850113,0.334596008,122.7389984,45.42039871,2.601229906,0.0
0.207626,44.2663002,0.337637991,94.17669678,43.53490067,1.627210021,18.0
0.404183,55.09519958,0.442395985,128.3359985,45.49700165,2.712219954,9.0
0.278670996,49.12799835,0.394383013,108.6620026,44.51979828,2.091520071,27.0
0.750167012,75.42240143,1.018139958,156.8939972,43.93209839,3.453310013,27.0
0.260062993,47.98080063,0.412230998,104.9649963,44.27270126,1.991179943,0.0
0.282885998,49.62779999,0.333885014,111.9160004,44.79320145,2.232049942,0.0
0.710103989,75.43070221,1.060529947,155.5579987,43.81610107,3.461159945,0.0
0.325897008,50.76890182,0.495867997,108.560997,43.42079926,2.038069963,18.0
0.69985801,76.43599701,0.892426014,163.4409943,49.41279984,3.439419985,18.0
0.354892999,54.55250168,0.343024999,127.2949982,46.89160156,2.647799969,0.0
0.928219974,82.14260101,1.349570036,166.302002,44.19499969,4.20389986,9.0
1.229380012,83.28890228,1.201279998,171.798996,43.71310043,3.673449993,0.0
1.119179964,84.38780212,1.394019961,171.3690033,44.14039993,3.965579987,27.0
0.37578699,58.14239883,0.671636999,122.7730026,46.68159866,2.639719963,9.0
0.762260973,76.88929749,1.111189961,158.1710052,43.91159821,3.596600056,0.0
1.181630015,83.34279633,1.254909992,171.5879974,43.84799957,3.795749903,0.0
1.082100034,84.44750214,1.405449986,170.5050049,44.18230057,4.04049015,0.0
1.221060038,86.99369812,1.497079968,174.6040039,44.02339935,4.035590172,27.0
1.420519948,89.63780212,1.488170028,179.246994,43.81539917,3.878959894,0.0
0.292766005,50.35290146,0.359427005,113.2850037,44.89680099,2.264379978,0.0
0.232161,46.35860062,0.399358004,100.2480011,44.03549957,1.864869952,18.0
0.298601002,50.85229874,0.325284004,116.6350021,45.0542984,2.396670103,18.0
1.202790022,85.64189911,1.428060055,173.6040039,44.01010132,3.951539993,0.0
0.358864993,53.12490082,0.318212986,125.7129974,45.32509995,2.671499968,0.0
1.296239972,85.5109024,1.292559981,174.276001,43.68610001,3.665139914,0.0
1.102110028,79.57630157,1.062070012,166.9620056,43.76839828,3.591140032,0.0
0.248051003,47.30630112,0.292309999,106.314003,44.51060104,2.099040031,27.0
0.241182998,47.00149918,0.422959,101.9209976,44.0992012,1.919739962,18.0
1.213070035,85.10919952,1.363289952,173.2160034,43.91329956,3.876039982,9.0
0.353300005,53.89479828,0.331207007,130.1029968,47.41719818,2.824800014,27.0
1.123690009,87.01470184,1.56735003,172.9689941,44.10100174,4.222340107,0.0
0.375256985,54.2480011,0.432209998,125.2900009,45.44400024,2.620759964,0.0
0.264396995,47.83549881,0.343138009,105.1520004,44.33840179,1.976670027,27.0
0.521171987,60.70970154,0.50523001,139.8890076,47.73199844,2.924690008,0.0
0.710618019,67.82939911,0.689157009,154.9759979,50.82580185,3.224040031,0.0
0.255044997,47.56389999,0.320006996,105.6460037,44.41220093,2.032989979,27.0
0.255807996,47.68970108,0.40072301,104.1880035,44.23970032,1.963719964,0.0
0.241049007,46.4192009,0.365655988,100.3590012,43.94459915,1.801910043,0.0
0.237434998,46.7317009,0.411219001,101.2429962,44.07979965,1.897500038,18.0
0.826801002,78.57420349,1.16869998,161.2429962,44.03699875,3.756530046,0.0
0.308759004,51.81330109,0.347225994,119.0110016,45.26029968,2.472460032,18.0
0.313546002,52.23789978,0.359394014,120.0709991,45.36429977,2.507289886,18.0
0.402381986,55.33150101,0.431055993,129.5639954,45.66770172,2.779930115,9.0
0.328031987,53.25899887,0.344417006,124.4440002,45.59529877,2.6651299,0.0
1.178349972,87.54190063,1.563599944,174.2350006,44.07460022,4.16561985,9.0
0.589401007,76.58769989,1.084699988,159.625,49.11650085,3.702800035,0.0
0.900399029,79.33879852,1.145210028,164.0659943,44.18180084,3.705849886,27.0
0.522517979,70.56580353,0.749692976,150.2089996,53.16019821,3.099240065,27.0
0.436859012,64.63670349,0.873844981,136.1349945,46.43880081,3.07626009,18.0
0.719036996,73.46820068,0.928713024,154.2050018,43.88010025,3.326220036,18.0
0.368622005,54.49459839,0.343632996,131.2290039,47.44599915,2.856920004,27.0
1.020740032,77.58930206,0.989283025,163.5540009,43.79899979,3.487750053,27.0
0.348701,52.76160049,0.438450009,119.8450012,45.06819916,2.422260046,18.0
1.363019943,88.05909729,1.421560049,177.1970062,43.79109955,3.823750019,0.0
0.230338007,45.70289993,0.322622001,99.292099,43.95289993,1.801319957,0.0
1.255270004,85.62149811,1.332929969,173.7689972,43.78290176,3.810610056,0.0
0.463153988,64.30239868,0.751308024,134.4759979,46.71089935,2.844749928,27.0
0.394185007,56.4416008,0.525389016,125.3659973,47.19409943,2.405689955,27.0
