H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,PhosphorusTreatment
115.612999,1565.089966,14.01270008,127.0469971,116.5510025,140.7519989,11.3
124.3470001,1502.26001,16.56459999,135.5410004,113.6019974,166.8280029,0.0
81.64790344,1780.030029,7.607069969,149.826004,116.072998,76.46710205,0.0
76.26820374,1748.72998,6.132369995,138.7579956,105.413002,63.24739838,0.0
103.6309967,1632.660034,11.63500023,121.4150009,117.0709991,115.9499969,0.0
110.1660004,1602.180054,12.84440041,124.1989975,117.538002,128.1900024,0.0
75.94589996,1781.01001,6.851210117,151.8930054,108.2699966,57.06409836,0.0
86.55310059,1745.219971,8.533670425,147.0919952,115.3359985,89.82839966,0.0
74.85900116,1803.219971,6.426050186,152.6629944,108.2419968,56.81370163,0.0
113.4449997,1576.369995,13.56579971,126.0469971,116.5199966,135.1040039,11.3
73.38529968,1821.930054,6.101789951,160.8000031,111.4840012,63.96640015,5.6
136.3119965,1432.47998,19.10569954,139.5209961,113.1539993,194.3119965,0.0
72.91359711,1836.030029,6.010809898,163.1719971,112.0839996,64.2562027,0.0
94.07189941,1685.329956,10.05720043,147.779007,111.137001,105.3519974,16.9
75.63130188,1782.160034,6.433290005,148.2940063,105.7360001,54.625,0.0
75.25450134,1792.530029,6.396399975,149.8480072,105.8410034,53.61709976,0.0
75.41539764,1788.050049,6.416629791,149.2619934,105.8430023,54.04439926,0.0
105.4440002,1623.5,11.96549988,122.1340027,117.1019974,118.8610001,0.0
102.0920029,1650.180054,11.25730038,116.9110031,118.3970032,108.7659988,0.0
75.98609924,1778.72998,6.587339878,148.8289948,106.887001,56.63010025,16.9
73.76789856,1815.040039,6.204319954,159.6109924,110.8619995,62.96060181,16.9
73.03379822,1832.459961,6.031939983,162.5059967,112.0199966,64.17639923,0.0
106.9970016,1612.98999,12.2336998,144.9420013,112.2509995,114.3069992,0.0
75.21779633,1793.589966,6.393320084,150.0059967,105.8799973,53.60279846,0.0
73.46219635,1829.930054,6.083380222,158.8800049,111.1460037,61.52180099,16.9
73.56150055,1818.089966,6.145329952,160.1779938,111.1389999,63.61959839,0.0
74.0585022,1811.329956,6.357600212,159.8399963,110.6930008,61.16859818,0.0
75.37290192,1789.209961,6.328030109,147.9389954,103.9980011,50.30509949,0.0
101.1849976,1646.01001,11.20240021,120.4670029,117.1439972,112.2229996,0.0
73.50340271,1820.930054,6.137269974,160.5449982,111.2549973,63.49869919,0.0
128.348999,1476.910034,17.52079964,137.3110046,113.3759995,177.2160034,5.6
75.35220337,1790.290039,6.458499908,150.3760071,106.7649994,55.43859863,16.9
74.47450256,1797.160034,6.377190113,157.1139984,109.9309998,62.03170013,0.0
141.3399963,1375.890015,22.57939911,154.7769928,112.1460037,232.723999,0.0
75.25740051,1792.569946,6.367370129,149.3289948,105.0780029,52.2928009,5.6
144.6920013,1377.660034,21.41950035,146.4499969,112.5559998,224.8419952,0.0
108.762001,1605.930054,12.60000038,123.6640015,117.0800018,125.1220016,0.0
73.8227005,1817.630005,6.378220081,161.904007,110.9300003,60.82820129,0.0
75.22200012,1793.650024,6.364250183,149.4819946,105.0579987,52.22449875,5.6
73.32099915,1833.130005,5.943160057,156.2319946,111.1190033,61.2621994,16.9
73.97660065,1813.439941,6.366749763,160.5890045,110.7870026,60.96770096,0.0
138.5160065,1404.930054,20.54220009,144.6340027,112.4380035,211.951004,0.0
73.82369995,1817.119995,6.413529873,162.6790009,110.9420013,60.72029877,0.0
118.2819977,1518.300049,15.54459953,144.326004,109.3479996,160.9060059,0.0
109.3590012,1606.800049,12.68249989,123.7699966,117.5770035,126.3399963,0.0
98.04340363,1688.630005,10.38210011,135.6060028,116.3239975,105.0540009,0.0
120.7040024,1529.670044,15.1111002,129.4880066,115.5940018,151.125,16.9
98.36869812,1685.910034,10.69250011,134.6929932,115.7030029,104.2659988,0.0
74.02999878,1804.359985,6.245979786,158.1840057,110.237999,63.24810028,0.0
127.5650024,1481.130005,17.40480042,137.2579956,113.3809967,176.3209991,5.6
73.21530151,1826.300049,6.062880039,161.4819946,111.8600006,64.19550323,0.0
73.30010223,1825.939941,6.09044981,161.3639984,111.5940018,63.8083992,5.6
75.58119965,1777.439941,6.323480129,146.3619995,104.4869995,53.1969986,5.6
175.7039948,1285.650024,26.08110046,136.6419983,113.1740036,256.1270142,0.0
74.00430298,1805.469971,6.242410183,158.3339996,110.310997,63.2118988,0.0
121.0339966,1527.430054,15.18179989,129.6410065,115.5419998,151.7079926,16.9
73.8742981,1790.48999,6.415589809,165.5390015,109.8440018,58.81980133,0.0
142.8569946,1387.27002,21.06739998,145.3329926,112.5899963,219.6519928,0.0
117.8889999,1542.160034,14.51710033,128.6309967,115.4570007,140.7890015,16.9
140.0410004,1396.069946,20.90920067,145.6699982,112.3980026,216.4799957,0.0
142.9409943,1378.199951,21.74069977,149.1759949,112.3180008,227.397995,0.0
73.34980011,1823.5,6.09679985,161.026001,111.5400009,63.91339874,5.6
75.47570038,1786.339966,6.418729782,148.9429932,105.7539978,54.08010101,0.0
124.2490005,1503.069946,16.48609924,135.2579956,113.625,165.4579926,0.0
