H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2
75.19879913,1794.410034,6.358809948,149.522995,104.9309998,52.00910187
113.7279968,1581.550049,13.57390022,126.0569992,117.3610001,136.9129944
72.20179749,1848.280029,5.943120003,168.0570068,112.2529984,65.3647995
101.2399979,1653.390015,11.14830017,117.6320038,118.1869965,108.8290024
124.6959991,1500.050049,16.64419937,135.6779938,113.5839996,167.6459961
75.4285965,1786.319946,6.28000021,146.5390015,103.4649963,48.72320175
74.85569763,1803.25,6.428480148,152.7389984,108.3000031,56.92580032
130.7189941,1459.72998,18.26199913,139.0820007,113.1299973,186.0169983
119.6470032,1539.609985,14.87959957,128.9929962,116.0910034,150.9109955
73.00160217,1833.939941,6.028379917,162.7480011,111.9909973,64.13760376
116.7320023,1558.699951,14.24800014,127.5849991,116.5070038,143.7129974
74.15170288,1807.920044,6.335700035,158.8309937,110.5110016,61.70729828
141.4409943,1407.48999,20.00049973,140.2180023,113.1009979,204.2460022
73.57839966,1818.390015,6.152359962,160.1880035,111.1220016,63.48460007
142.9470062,1400.439941,20.25939941,140.3699951,113.086998,207.1730042
105.2919998,1628.560059,11.90559959,121.6289978,117.6169968,117.9369965
139.0659943,1406.27002,20.38579941,143.8370056,112.6149979,210.5749969
141.1880035,1375.630005,22.65460014,154.6459961,112.1060028,232.5769958
112.447998,1581.180054,13.36229992,125.6080017,116.4720001,132.5919952
75.30149841,1791.969971,6.505360126,151.5019989,107.5930023,56.64530182
142.6889954,1382.540039,21.17849922,154.9069977,112.598999,232.1300049
73.60780334,1816.02002,6.152140141,159.897995,111.0319977,63.68970108
74.79160309,1799.839966,6.469530106,155.9589996,108.8440018,58.22029877
74.16699982,1805.089966,6.30685997,158.246994,110.3300018,62.33470154
101.2900009,1651.900024,11.17619991,118.7330017,117.9759979,110.0410004
73.26059723,1828.27002,6.085149765,161.6450043,111.6159973,63.69229889
121.9540024,1509.550049,15.78899956,133.4750061,114.6309967,148.1640015
76.37159729,1776.699951,6.886750221,149.7660065,107.8730011,56.75500107
113.8280029,1574.199951,13.64529991,126.2269974,116.5039978,136.0200043
117.348999,1555.459961,14.37650013,127.8860016,116.5220032,145.4960022
74.06880188,1803.97998,6.258190155,158.1100006,110.2200012,63.10440063
121.8460007,1523.829956,15.35569954,129.9830017,115.6060028,155.0449982
75.35369873,1789.670044,6.397480011,149.2870026,105.6019974,53.43479919
75.46320343,1787.609985,6.470419884,149.9290009,106.6279984,55.46969986
73.56109619,1820.189941,6.153279781,160.3800049,111.1699982,63.30160141
76.07749939,1776.670044,6.575620174,148.1860046,106.6760025,56.62979889
73.25180054,1840.209961,6.239830017,163.6560059,111.9029999,64.6937027
