H3A_P_0_2,PhosphorusTreatment
52.00910187,5.6
136.9129944,0.0
65.3647995,0.0
108.8290024,0.0
167.6459961,0.0
48.72320175,0.0
56.92580032,0.0
186.0169983,0.0
150.9109955,0.0
64.13760376,0.0
143.7129974,11.3
61.70729828,0.0
204.2460022,0.0
63.48460007,0.0
207.1730042,0.0
117.9369965,0.0
210.5749969,0.0
232.5769958,0.0
132.5919952,11.3
56.64530182,0.0
232.1300049,0.0
63.68970108,0.0
58.22029877,0.0
62.33470154,0.0
110.0410004,0.0
63.69229889,5.6
148.1640015,0.0
56.75500107,0.0
136.0200043,11.3
145.4960022,11.3
63.10440063,0.0
155.0449982,16.9
53.43479919,0.0
55.46969986,16.9
63.30160141,0.0
56.62979889,16.9
64.6937027,5.6
55.9681015,0.0
176.2839966,5.6
57.00009918,0.0
111.8929977,16.9
115.0619965,0.0
191.1519928,11.3
141.4720001,11.3
115.2129974,0.0
168.4100037,0.0
232.3959961,0.0
140.7890015,16.9
63.71170044,5.6
165.7220001,0.0
158.0299988,0.0
105.2089996,0.0
63.02190018,0.0
77.20159912,0.0
55.22050095,16.9
129.0460052,11.3
57.27780151,0.0
158.0870056,16.9
61.77539825,0.0
191.4069977,0.0
209.5039978,5.6
127.685997,0.0
148.1100006,0.0
63.60889816,0.0
238.9049988,11.3
61.67900085,16.9
51.87739944,5.6
57.41019821,0.0
57.06520081,0.0
153.6199951,16.9
119.8720016,11.3
62.97489929,16.9
209.6690063,0.0
177.848999,5.6
122.9329987,0.0
62.91149902,0.0
63.43190002,0.0
51.98009872,5.6
62.84389877,0.0
88.46859741,0.0
129.845993,0.0
187.0619965,5.6
54.68249893,16.9
57.35689926,5.6
106.0940018,5.6
65.03179932,0.0
157.1490021,16.9
167.5529938,0.0
138.2449951,0.0
82.24569702,16.9
56.73509979,0.0
63.33240128,16.9
108.4589996,0.0
53.69029999,0.0
51.77090073,5.6
56.42340088,0.0
228.2890015,0.0
51.87200165,5.6
216.9640045,0.0
203.4360046,0.0
57.48189926,0.0
126.2829971,0.0
121.4160004,0.0
142.4380035,0.0
165.6829987,0.0
137.6119995,0.0
76.60829926,5.6
62.74219894,16.9
62.09069824,16.9
57.29990005,16.9
63.22650146,0.0
63.5992012,16.9
56.94490051,16.9
102.9509964,0.0
63.47470093,16.9
195.2810059,0.0
142.9539948,0.0
89.68849945,0.0
126.7509995,0.0
62.77019882,0.0
60.51050186,16.9
51.89720154,5.6
139.0679932,0.0
53.45410156,0.0
51.8368988,5.6
54.23350143,5.6
158.4570007,0.0
220.9909973,11.3
229.3650055,0.0
65.28369904,0.0
60.70470047,0.0
50.99430084,0.0
58.22240067,0.0
123.0540009,0.0
52.57130051,5.6
203.9069977,0.0
209.2429962,0.0
110.0220032,0.0
180.1049957,5.6
247.3549957,0.0
60.74269867,0.0
54.75479889,16.9
52.85760117,5.6
221.6849976,0.0
201.2539978,11.3
64.09809875,5.6
109.5459976,16.9
52.44039917,5.6
61.45949936,0.0
136.2660065,0.0
147.0140076,16.9
191.6459961,0.0
63.75719833,0.0
163.5910034,0.0
56.57300186,0.0
49.61100006,0.0
132.595993,0.0
58.40129852,0.0
54.73740005,16.9
116.7350006,5.6
158.1920013,16.9
135.5189972,16.9
132.072998,0.0
63.11259842,0.0
220.279007,0.0
147.2839966,0.0
62.27059937,16.9
56.1344986,0.0
62.52700043,16.9
104.5329971,0.0
143.1439972,16.9
159.8329926,0.0
60.96089935,0.0
168.2980042,0.0
200.8410034,0.0
178.7400055,5.6
233.3119965,0.0
62.96490097,16.9
258.4249878,11.3
126.4599991,0.0
127.3679962,11.3
162.0050049,0.0
244.9380035,11.3
60.82249832,0.0
63.02560043,0.0
234.0930023,0.0
112.4400024,0.0
128.8470001,0.0
147.5429993,11.3
203.7440033,0.0
187.8099976,0.0
62.92369843,0.0
58.60290146,0.0
60.53730011,0.0
50.64640045,0.0
234.5720062,0.0
63.29090118,0.0
78.44609833,0.0
58.31510162,0.0
136.0619965,0.0
218.5240021,0.0
49.68249893,0.0
52.01449966,5.6
62.88660049,0.0
61.25680161,16.9
55.48929977,16.9
63.19459915,0.0
