H3A_P_2_6,PhosphorusTreatment
109.5680008,0.0
68.57119751,0.0
107.9489975,0.0
106.4140015,0.0
25.91880035,0.0
134.9060059,0.0
35.66870117,5.6
108.2440033,0.0
66.61419678,11.3
34.97140121,0.0
135.5809937,0.0
109.9869995,0.0
25.61870003,0.0
18.68880081,0.0
98.78209686,16.9
23.03300095,0.0
21.19610023,5.6
82.15540314,0.0
30.50259972,16.9
126.1669998,0.0
80.94860077,0.0
85.91880035,0.0
25.12509918,0.0
28.66729927,0.0
99.64820099,16.9
21.52519989,0.0
32.77539825,0.0
31.79949951,0.0
67.11930084,0.0
109.8740005,0.0
98.26399994,16.9
21.60519981,0.0
23.97859955,16.9
143.0099945,0.0
22.51329994,0.0
19.0977993,0.0
133.7700043,0.0
35.85889816,0.0
25.36000061,0.0
98.27880096,16.9
80.11660004,0.0
27.35090065,0.0
30.42790031,16.9
24.73889923,16.9
20.39760017,5.6
31.75830078,0.0
20.6446991,5.6
87.09670258,0.0
19.94779968,0.0
27.57640076,0.0
36.30400085,0.0
21.78510094,16.9
31.12010002,16.9
30.50900078,16.9
34.39670181,0.0
22.2723999,16.9
81.99279785,0.0
33.88380051,0.0
115.8249969,5.6
82.87409973,0.0
94.74289703,0.0
18.94319916,0.0
89.8588028,11.3
78.83820343,0.0
95.31800079,0.0
80.11969757,0.0
109.7139969,0.0
74.41699982,11.3
131.3549957,11.3
88.27179718,11.3
32.07139969,0.0
130.3029938,11.3
109.2409973,0.0
21.97750092,16.9
28.99069977,0.0
93.0318985,0.0
104.7649994,0.0
20.37669945,5.6
126.2580032,11.3
33.13970184,5.6
74.83329773,0.0
94.71350098,0.0
89.36160278,11.3
30.97190094,16.9
123.1809998,0.0
116.4039993,5.6
64.59470367,0.0
33.65069962,0.0
87.55660248,11.3
109.4929962,0.0
47.45690155,0.0
23.14920044,16.9
19.34259987,0.0
26.13129997,0.0
94.81259918,0.0
30.36660004,16.9
32.27360153,0.0
22.98740005,16.9
83.68740082,0.0
78.5605011,0.0
69.12670135,0.0
89.71669769,11.3
28.94510078,0.0
35.18209839,0.0
21.40180016,5.6
132.3029938,11.3
116.6880035,5.6
132.1929932,0.0
80.67649841,0.0
20.28450012,5.6
130.125,11.3
90.55709839,11.3
115.8310013,5.6
94.29620361,0.0
21.43330002,5.6
88.96199799,11.3
137.3059998,0.0
22.93029976,0.0
84.71530151,0.0
27.56100082,0.0
77.22229767,0.0
59.05739975,0.0
137.7539978,0.0
28.50900078,0.0
95.61209869,11.3
21.72800064,0.0
140.4029999,0.0
33.3553009,0.0
134.4620056,0.0
80.58470154,0.0
30.65329933,16.9
31.98480034,0.0
99.72850037,16.9
133.5829926,0.0
22.39819908,16.9
82.56919861,11.3
27.94610023,0.0
116.2689972,5.6
79.92160034,0.0
139.7830048,0.0
33.84859848,5.6
95.15820313,0.0
90.52339935,11.3
69.26670074,0.0
21.60930061,0.0
28.29719925,0.0
25.70050049,0.0
33.63679886,5.6
122.4729996,0.0
28.92219925,0.0
108.7659988,0.0
142.378006,0.0
78.10939789,0.0
24.56870079,0.0
30.69510078,16.9
99.5381012,16.9
99.06690216,16.9
136.6329956,0.0
20.05719948,0.0
94.87490082,0.0
144.5829926,0.0
27.29789925,0.0
117.6159973,5.6
35.43420029,0.0
30.51989937,16.9
90.43070221,11.3
21.15880013,5.6
24.04179955,0.0
25.85289955,0.0
34.19979858,5.6
19.49220085,0.0
41.80049896,5.6
129.3480072,11.3
20.89109993,5.6
35.71559906,0.0
20.65010071,0.0
23.63570023,16.9
99.35099792,16.9
127.413002,11.3
83.54750061,0.0
137.5930023,0.0
90.06109619,11.3
116.9509964,5.6
99.58740234,16.9
63.4416008,0.0
98.40170288,0.0
99.50669861,16.9
27.41550064,0.0
33.35129929,5.6
144.2389984,0.0
25.37140083,0.0
20.45009995,5.6
32.53490067,0.0
139.8540039,0.0
33.06829834,0.0
128.4680023,0.0
22.03050041,0.0
22.95359993,0.0
136.2339935,0.0
136.0930023,0.0
109.6999969,0.0
88.66889954,11.3
86.91649628,0.0
29.05690002,0.0
115.7490005,5.6
24.94020081,0.0
82.24089813,0.0
81.09819794,0.0
28.66049957,0.0
28.59059906,0.0
99.79489899,16.9
135.003006,0.0
121.9179993,0.0
109.7389984,0.0
32.26620102,0.0
28.68429947,0.0
59.00759888,0.0
118.2399979,5.6
21.41480064,0.0
94.31970215,0.0
136.7319946,0.0
117.5029984,5.6
24.98999977,0.0
75.47299957,16.9
116.8330002,5.6
23.27319908,16.9
83.32730103,0.0
100.1230011,16.9
25.99370003,0.0
93.77269745,0.0
83.08309937,0.0
99.56240082,0.0
36.01440048,0.0
94.45929718,0.0
21.92239952,0.0
124.1969986,0.0
26.0916996,0.0
124.2639999,0.0
91.06739807,11.3
22.59980011,16.9
27.21890068,0.0
30.51099968,16.9
98.99629974,16.9
115.8259964,5.6
34.93650055,0.0
85.44429779,0.0
27.9557991,0.0
62.03720093,0.0
22.1487999,0.0
138.1869965,0.0
146.0740051,0.0
28.79640007,0.0
33.84880066,0.0
22.73940086,0.0
33.8669014,5.6
99.49980164,16.9
82.80740356,0.0
117.5169983,5.6
22.24090004,0.0
27.6196003,0.0
94.16169739,0.0
132.826004,0.0
24.20089912,0.0
30.87770081,16.9
99.5298996,16.9
93.88480377,0.0
94.07849884,0.0
36.38909912,0.0
22.74510002,0.0
120.197998,5.6
19.43889999,0.0
22.54500008,0.0
34.99140167,5.6
28.9197998,0.0
126.2819977,0.0
95.07649994,0.0
85.81330109,0.0
128.9859924,0.0
94.72370148,0.0
86.46420288,11.3
34.26319885,5.6
116.3600006,5.6
20.87380028,5.6
85.67449951,0.0
31.77960014,0.0
20.31310081,0.0
123.0469971,0.0
133.2230072,11.3
94.34300232,0.0
115.9089966,5.6
121.8580017,0.0
25.00830078,0.0
137.7429962,0.0
30.91519928,16.9
121.8379974,0.0
30.49480057,16.9
121.8710022,0.0
109.4560013,0.0
44.37360001,0.0
32.82759857,5.6
137.9929962,0.0
23.39850044,0.0
128.8119965,11.3
81.35220337,0.0
33.05070114,0.0
46.80210114,0.0
139.1690063,0.0
35.95330048,5.6
21.88260078,5.6
32.01259995,0.0
109.6110001,0.0
24.5673008,16.9
26.15399933,0.0
122.5110016,0.0
85.60479736,0.0
87.52519989,11.3
34.71390152,0.0
88.25849915,11.3
81.15950012,0.0
23.44099998,16.9
123.8170013,0.0
30.55590057,16.9
99.43830109,16.9
119.3720016,5.6
110.1159973,0.0
33.24649811,5.6
86.6753006,0.0
127.0510025,11.3
86.66660309,11.3
23.1909008,0.0
36.3445015,0.0
21.47249985,0.0
30.55780029,16.9
116.7490005,5.6
34.75770187,5.6
77.68409729,0.0
142.7339935,0.0
79.48690033,0.0
28.1609993,0.0
87.65170288,0.0
27.14489937,0.0
137.227005,0.0
32.37749863,0.0
93.8348999,0.0
105.6090012,0.0
42.56389999,5.6
110.2310028,0.0
87.3125,11.3
128.4530029,11.3
20.68659973,5.6
127.5459976,0.0
30.43779945,16.9
18.96249962,0.0
43.25510025,5.6
