Ols_P_0_2,PhosphorusTreatment
35.41260147,0.0
31.37059975,0.0
35.2016983,0.0
35.16590118,0.0
31.23609924,0.0
36.16590118,0.0
33.0326004,5.6
35.23529816,0.0
34.4917984,11.3
32.83560181,0.0
36.15129852,0.0
36.26330185,0.0
31.76569939,0.0
29.50460052,0.0
35.1230011,16.9
30.92609978,0.0
30.69379997,5.6
35.32600021,0.0
32.59199905,16.9
35.97900009,0.0
35.33959961,0.0
35.33570099,0.0
31.24349976,0.0
32.59909821,0.0
35.31729889,16.9
30.59620094,0.0
32.90650177,0.0
32.65940094,0.0
35.90200043,0.0
36.14300156,0.0
34.99689865,16.9
30.64080048,0.0
31.0394001,16.9
36.21279907,0.0
30.85169983,0.0
30.14419937,0.0
36.17789841,0.0
32.94290161,0.0
31.23800087,0.0
34.39810181,16.9
35.99280167,0.0
31.4428997,0.0
32.63880157,16.9
31.09300041,16.9
30.35709953,5.6
32.63759995,0.0
30.52820015,5.6
32.44530106,0.0
30.5496006,0.0
32.51710129,0.0
32.9858017,0.0
30.48959923,16.9
33.13240051,16.9
32.72230148,16.9
32.75849915,0.0
30.70269966,16.9
35.32860184,0.0
33.08110046,0.0
36.25360107,5.6
35.49779892,0.0
35.32600021,0.0
29.95079994,0.0
35.34859848,11.3
35.35770035,0.0
35.44139862,0.0
35.34759903,0.0
36.28620148,0.0
34.93220139,11.3
36.10900116,11.3
35.47180176,11.3
32.72359848,0.0
36.11449814,11.3
35.32030106,0.0
30.58550072,16.9
32.50429916,0.0
31.9197998,0.0
35.22069931,0.0
30.34860039,5.6
36.23709869,11.3
32.70679855,5.6
34.95330048,0.0
35.32709885,0.0
35.36629868,11.3
33.05319977,16.9
36.11370087,0.0
36.19490051,5.6
34.80250168,0.0
33.03730011,0.0
35.60300064,11.3
35.36330032,0.0
32.30220032,0.0
30.93950081,16.9
30.2901001,0.0
31.23460007,0.0
35.32699966,0.0
32.60630035,16.9
32.77939987,0.0
30.91080093,16.9
35.31980133,0.0
35.35609818,0.0
34.91699982,0.0
35.34840012,11.3
32.52130127,0.0
32.86600113,0.0
30.74110031,5.6
36.06269836,11.3
36.11880112,5.6
36.21649933,0.0
35.86500168,0.0
30.26860046,5.6
36.12789917,11.3
35.33240128,11.3
36.27030182,5.6
35.32249832,0.0
30.74029922,5.6
35.4034996,11.3
36.21220016,0.0
30.72019958,0.0
35.37810135,0.0
31.41720009,0.0
35.17869949,0.0
35.31549835,0.0
36.15539932,0.0
32.74879837,0.0
34.60900116,11.3
30.45800018,0.0
36.18080139,0.0
33.0141983,0.0
36.17620087,0.0
35.34600067,0.0
32.86370087,16.9
32.69369888,0.0
35.31349945,16.9
36.18840027,0.0
30.75440025,16.9
32.3506012,11.3
31.37509918,0.0
36.16019821,5.6
35.35820007,0.0
36.1853981,0.0
32.84389877,5.6
35.32699966,0.0
35.33179855,11.3
32.4029007,0.0
30.47909927,0.0
32.73989868,0.0
31.24090004,0.0
32.80410004,5.6
36.15259933,0.0
32.55720139,0.0
35.27519989,0.0
36.19229889,0.0
35.34080124,0.0
31.20669937,0.0
32.92359924,16.9
35.26639938,16.9
34.67210007,16.9
36.1487999,0.0
30.57119942,0.0
35.32759857,0.0
36.23680115,0.0
31.43600082,0.0
36.02220154,5.6
32.89929962,0.0
32.7765007,16.9
35.33720016,11.3
30.68400002,5.6
31.16720009,0.0
31.66410065,0.0
32.88029861,5.6
30.3878994,0.0
35.29100037,5.6
36.14559937,11.3
30.61720085,5.6
32.93310165,0.0
30.7057991,0.0
31.00589943,16.9
35.30160141,16.9
36.20479965,11.3
35.41999817,0.0
36.20610046,0.0
35.33810043,11.3
36.17089844,5.6
35.27899933,16.9
31.45789909,0.0
32.97240067,0.0
35.21820068,16.9
33.3042984,0.0
32.75920105,5.6
36.25099945,0.0
31.23390007,0.0
30.44639969,5.6
32.87969971,0.0
36.18259811,0.0
32.97409821,0.0
35.96360016,0.0
30.7548008,0.0
30.91710091,0.0
36.22589874,0.0
36.15729904,0.0
36.0984993,0.0
35.40969849,11.3
35.32699966,0.0
32.49340057,0.0
36.22689819,5.6
31.22820091,0.0
35.56330109,0.0
35.33399963,0.0
32.64789963,0.0
32.65859985,0.0
35.30780029,16.9
36.1629982,0.0
36.19459915,0.0
36.20130157,0.0
32.76670074,0.0
32.58549881,0.0
34.35380173,0.0
35.93939972,5.6
30.51659966,0.0
35.32460022,0.0
36.21689987,0.0
35.94879913,5.6
32.01869965,0.0
34.01399994,16.9
36.08129883,5.6
30.95820045,16.9
32.43239975,0.0
35.04320145,16.9
31.24510002,0.0
35.32709885,0.0
35.46300125,0.0
35.00040054,0.0
32.96060181,0.0
35.32419968,0.0
30.73089981,0.0
36.05799866,0.0
31.23130035,0.0
36.07649994,0.0
35.32799911,11.3
30.81949997,16.9
31.49570084,0.0
32.61199951,16.9
35.15629959,16.9
36.23339844,5.6
32.83739853,0.0
35.35169983,0.0
31.38050079,0.0
34.62250137,0.0
30.78730011,0.0
36.19729996,0.0
36.29529953,0.0
32.56850052,0.0
33.06159973,0.0
30.88769913,0.0
32.83589935,5.6
35.32799911,16.9
35.32300186,0.0
35.99969864,5.6
30.80610085,0.0
32.60279846,0.0
35.32870102,0.0
36.2057991,0.0
31.18950081,0.0
33.08319855,16.9
35.32600021,16.9
35.32759857,0.0
35.31760025,0.0
32.99720001,0.0
30.88940048,0.0
35.84130096,5.6
30.34140015,0.0
30.85840034,0.0
32.97710037,5.6
32.52550125,0.0
35.99399948,0.0
35.32799911,0.0
35.33840179,0.0
35.98080063,0.0
35.32640076,0.0
36.18569946,11.3
32.89369965,5.6
36.20510101,5.6
30.61980057,5.6
33.10990143,0.0
32.65779877,0.0
30.65439987,0.0
36.13299942,0.0
36.03860092,11.3
35.32720184,0.0
36.24900055,5.6
36.21139908,0.0
31.80340004,0.0
36.17200089,0.0
33.15859985,16.9
36.21760178,0.0
32.63949966,16.9
36.18590164,0.0
36.16059875,0.0
30.58130074,0.0
32.66180038,5.6
36.1692009,0.0
31.02190018,0.0
36.16640091,11.3
35.62220001,0.0
32.94509888,0.0
34.98270035,0.0
36.18840027,0.0
33.04529953,5.6
30.81999969,5.6
32.72890091,0.0
35.39310074,0.0
31.08320045,16.9
31.61240005,0.0
36.16880035,0.0
35.34790039,0.0
35.85139847,11.3
32.80479813,0.0
35.47859955,11.3
35.69889832,0.0
30.98119926,16.9
36.09960175,0.0
32.68790054,16.9
35.32139969,16.9
35.83649826,5.6
36.25260162,0.0
32.73180008,5.6
35.33119965,0.0
36.22090149,11.3
35.85029984,11.3
30.90920067,0.0
32.98669815,0.0
30.50359917,0.0
32.73830032,16.9
36.12850189,5.6
32.94440079,5.6
35.30139923,0.0
36.2010994,0.0
35.36109924,0.0
32.89250183,0.0
31.84079933,0.0
31.48139954,0.0
36.14889908,0.0
32.81729889,0.0
35.33000183,0.0
33.72129822,0.0
34.05120087,5.6
36.22439957,0.0
35.63380051,11.3
36.17620087,11.3
30.5510006,5.6
35.96500015,0.0
32.5658989,16.9
29.90069962,0.0
31.74200058,5.6
