Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2
1.389670014,188.9199982,1.396669984,487.1380005,165.6269989,35.41260147
1.331539989,184.1860046,1.469490051,509.9119873,142.7879944,31.37059975
1.34987998,192.3820038,1.384619951,487.1759949,165.5339966,35.2016983
1.343379974,191.6940002,1.383419991,487.6960144,165.423996,35.16590118
1.595129967,161.2180023,1.761260033,524.7810059,135.4170074,31.23609924
1.303030014,204.947998,1.351930022,504.9679871,162.5149994,36.16590118
1.599099994,142.0169983,1.877930045,549.5880127,151.7440033,33.0326004
1.361140013,191.4960022,1.387920022,486.4070129,165.5939941,35.23529816
1.775529981,149.4869995,1.719920039,496.3680115,156.5630035,34.4917984
1.485460043,156.2960052,1.851500034,544.8770142,154.0659943,32.83560181
1.291990042,207.2899933,1.349320054,506.0029907,162.6670074,36.15129852
1.389619946,188.598999,1.407840014,495.6820068,164.802002,36.26330185
1.504969954,173.7700043,1.757079959,534.8480225,142.423996,31.76569939
1.545840025,162.9179993,1.601729989,499.401001,120.2289963,29.50460052
1.431740046,180.9700012,1.415820003,478.0190125,166.1170044,35.1230011
1.563079953,163.2660065,1.704849958,519.8599854,129.6869965,30.92609978
1.534029961,165.647995,1.668149948,516.0120239,126.4960022,30.69379997
1.529049993,165.4889984,1.470890045,474.9670105,168.3399963,35.32600021
1.46231997,161.5720062,1.79587996,539.9520264,146.9700012,32.59199905
1.291890025,209.1679993,1.366539955,497.0629883,165.5809937,35.97900009
1.546790004,161.8450012,1.475759983,473.4230042,168.3309937,35.33959961
1.514019966,168.5070038,1.460630059,476.1740112,167.9230042,35.33570099
1.571449995,166.5070038,1.758630037,524.5419922,136.8419952,31.24349976
1.480069995,162.753006,1.785349965,539.8930054,144.9620056,32.59909821
1.444540024,182.5359955,1.420959949,481.618988,166.9080048,35.31729889
1.477499962,172.3910065,1.668300033,512.3359985,129.7259979,30.59620094
1.541829944,150.3659973,1.833680034,545.2150269,149.6759949,32.90650177
1.469480038,160.0659943,1.812049985,541.276001,149.0700073,32.65940094
1.628010035,156.4609985,1.558269978,493.2260132,159.5540009,35.90200043
1.379269958,189.8500061,1.403300047,493.868988,165.1820068,36.14300156
1.424520016,180.5619965,1.412799954,476.572998,165.9080048,34.99689865
1.493100047,171.0740051,1.67343998,513.6240234,129.595993,30.64080048
1.563150048,164.8600006,1.727409959,521.3330078,132.9459991,31.0394001
1.26196003,212.2910004,1.333629966,514.0469971,161.2100067,36.21279907
1.543679953,165.9210052,1.696539998,518.2880249,129.8699951,30.85169983
1.498469949,166.3789978,1.61334002,507.9880066,121.3460007,30.14419937
1.311929941,203.1269989,1.355059981,504.0880127,162.5070038,36.17789841
1.498270035,152.9320068,1.864670038,547.4130249,154.6300049,32.94290161
1.579370022,164.5820007,1.758509994,524.559021,136.3130035,31.23800087
1.380310059,180.1950073,1.393540025,471.6119995,165.1430054,34.39810181
1.640300035,152.2380066,1.494600058,474.1300049,167.5879974,35.99280167
1.612709999,160.4250031,1.791880012,528.1339722,138.7319946,31.4428997
1.476699948,160.4290009,1.799769998,540.7269897,147.0359955,32.63880157
1.586099982,161.0350037,1.735730052,522.6300049,132.3029938,31.09300041
1.470229983,169.9819946,1.635139942,510.1270142,125.5739975,30.35709953
1.463600039,160.6950073,1.809810042,540.8909912,148.9869995,32.63759995
1.505779982,168.1109924,1.652230024,512.973999,125.9899979,30.52820015
1.22044003,193.3609924,1.277349949,502.8460083,142.3919983,32.44530106
1.525949955,165.4259949,1.642169952,513.973999,123.3600006,30.5496006
1.554159999,161.3569946,1.781589985,546.9749756,145.8880005,32.51710129
1.484609962,152.8760071,1.871150017,548.9619751,155.0119934,32.9858017
1.459689975,177.723999,1.685989976,503.2340088,134.2539978,30.48959923
1.631710052,137.3840027,1.810979962,540.9990234,147.5500031,33.13240051
1.498860002,158.2660065,1.806159973,542.085022,147.3000031,32.72230148
1.472669959,158.5769958,1.842319965,543.3129883,153.4640045,32.75849915
1.475769997,177.0780029,1.705520034,511.177002,134.4949951,30.70269966
1.53223002,164.8090057,1.471629977,474.67099,168.3249969,35.32860184
1.662739992,134.3670044,1.837360024,547.1309814,149.0110016,33.08110046
1.373020053,191.7100067,1.395390034,497.6940002,164.1900024,36.25360107
1.572569966,158.4290009,1.476989985,472.6589966,167.6609955,35.49779892
1.472239971,176.6190033,1.435400009,479.0180054,167.0529938,35.32600021
1.504420042,165.4080048,1.607139945,505.5169983,120.8040009,29.95079994
1.501250029,170.9259949,1.450309992,476.9150085,167.3829956,35.34859848
1.581699967,155.2940063,1.484490037,470.6740112,168.4380035,35.35770035
1.510040045,168.6529999,1.441759944,473.0669861,166.6779938,35.44139862
1.558449984,159.5809937,1.47902,472.4869995,168.3650055,35.34759903
1.39233005,188.1840057,1.409379959,495.9599915,164.7250061,36.28620148
1.588340044,157.8959961,1.506450057,488.2720032,159.7810059,34.93220139
1.294700027,207.1909943,1.356600046,503.5589905,163.6889954,36.10900116
1.536080003,164.8990021,1.460579991,474.6289978,167.0310059,35.47180176
1.485640049,158.1049957,1.819020033,542.4069824,149.4459991,32.72359848
1.301900029,205.7019958,1.359249949,502.868988,163.697998,36.11449814
1.373860002,190.7749939,1.391639948,486.5549927,165.6549988,35.32030106
1.460260034,177.7449951,1.692700028,507.1199951,134.1340027,30.58550072
1.451519966,163.6009979,1.776340008,538.2550049,144.5039978,32.50429916
1.191720009,194.7769928,1.254570007,499.4049988,144.298996,31.9197998
1.328469992,191.4069977,1.381070018,490.9869995,165.3090057,35.22069931
1.469130039,169.9730072,1.634170055,510.0350037,125.4970016,30.34860039
1.346570015,196.401001,1.373350024,500.95401,162.9530029,36.23709869
1.470350027,159.3329926,1.827270031,542.2589722,151.3040009,32.70679855
1.685289979,154.3240051,1.792750001,488.2789917,159.2279968,34.95330048
1.470700026,177.1600037,1.43532002,479.4790039,167.177002,35.32709885
1.509170055,169.3619995,1.452679992,476.2210083,167.2940063,35.36629868
1.581040025,146.3220062,1.816570044,545.2680054,147.7299957,33.05319977
1.329540014,200.1130066,1.374449968,499.2200012,164.3249969,36.11370087
1.363770008,193.3769989,1.391720057,497.2359924,164.4589996,36.19490051
1.561810017,157.326004,1.721879959,493.197998,163.3529968,34.80250168
1.614279985,140.2220001,1.843600035,546.572998,149.4129944,33.03730011
1.559080005,161.8329926,1.467970014,474.0220032,166.8869934,35.60300064
1.380759954,190.0720062,1.393779993,486.7829895,165.654007,35.36330032
1.565930009,151.5809937,1.784749985,517.9710083,160.0720062,32.30220032
1.528049946,170.3580017,1.717589974,518.7639771,133.6439972,30.93950081
1.501649976,166.7689972,1.622059941,509.92099,122.1320038,30.2901001
1.600489974,160.1170044,1.762519956,524.8519897,135.0700073,31.23460007
1.469920039,177.352005,1.434999943,479.5920105,167.1889954,35.32699966
1.467919946,161.2259979,1.796399951,540.1740112,146.845993,32.60630035
1.500820041,156.1289978,1.824000001,543.3430176,149.6040039,32.77939987
1.518260002,171.8860016,1.716140032,517.8870239,133.9149933,30.91080093
1.511450052,169.4400024,1.465409994,476.7430115,168.3659973,35.31980133
1.587859988,154.1909943,1.485679984,470.1719971,168.4629974,35.35609818
1.754520059,151.4120026,1.773470044,496.0280151,158.5140076,34.91699982
1.501790047,170.826004,1.450690031,476.8880005,167.4019928,35.34840012
1.457309961,163.3800049,1.778509974,538.5319824,144.6300049,32.52130127
1.49048996,155.2899933,1.854779959,545.5209961,154.1970062,32.86600113
1.542860031,164.654007,1.672620058,516.9130249,126.5410004,30.74110031
1.268380046,212.5390015,1.352149963,503.7890015,164.3359985,36.06269836
1.352769971,195.2969971,1.388139963,496.4660034,164.8029938,36.11880112
1.328989983,199.5579987,1.360309958,502.8710022,162.3040009,36.21649933
1.628690004,152.6869965,1.492329955,473.1069946,167.5140076,35.86500168
1.444339991,170.2089996,1.622609973,509.7080078,124.9830017,30.26860046
1.307070017,204.5769958,1.360249996,502.7600098,163.5480042,36.12789917
1.490159988,173.3540039,1.447170019,478.1279907,167.5540009,35.33240128
1.37519002,191.3119965,1.396129966,497.8859863,164.0820007,36.27030182
1.497290015,170.1920013,1.439739943,473.8129883,166.4199982,35.32249832
1.541759968,164.8439941,1.673259974,516.8610229,126.7070007,30.74029922
1.520069957,167.4170074,1.45562005,475.427002,167.147995,35.4034996
1.254150033,217.2799988,1.337569952,517.8930054,162.6499939,36.21220016
1.493029952,180.9199982,1.784749985,513.0750122,138.5590057,30.72019958
