M3_P_2_6,PhosphorusTreatment
112.2929993,0.0
123.8720016,0.0
91.47059631,5.6
93.55760193,0.0
90.65709686,5.6
137.4440002,0.0
163.3439941,0.0
137.128006,0.0
105.9970016,0.0
88.99849701,5.6
157.923996,0.0
129.7059937,0.0
105.7340012,0.0
105.663002,0.0
100.663002,0.0
113.2630005,5.6
100.9720001,0.0
89.7818985,5.6
160.9029999,11.3
105.6500015,0.0
91.16000366,5.6
136.720993,0.0
107.7979965,16.9
137.673996,11.3
136.9779968,0.0
96.39640045,0.0
168.5939941,0.0
87.99250031,0.0
90.75980377,5.6
154.5509949,5.6
115.9150009,5.6
88.34590149,0.0
110.3030014,16.9
134.2779999,11.3
169.1499939,0.0
107.2429962,0.0
164.8480072,0.0
139.2709961,0.0
150.4629974,0.0
144.5350037,16.9
115.6699982,0.0
154.5310059,5.6
120.697998,0.0
166.3739929,0.0
97.77390289,0.0
114.0770035,0.0
145.0429993,16.9
91.03469849,0.0
90.37190247,5.6
150.8950043,0.0
170.0410004,0.0
167.5319977,0.0
105.9000015,0.0
92.37010193,0.0
115.5830002,0.0
145.0899963,16.9
94.85500336,0.0
157.9589996,0.0
165.8589935,0.0
111.4980011,5.6
172.1470032,0.0
140.6730042,11.3
114.1689987,5.6
145.052002,16.9
87.87650299,0.0
98.89990234,0.0
164.5809937,0.0
154.529007,5.6
111.1940002,5.6
166.9920044,0.0
113.012001,5.6
91.49859619,0.0
86.84670258,0.0
143.2449951,0.0
154.8970032,5.6
89.02420044,5.6
94.91210175,16.9
107.7129974,16.9
140.6190033,11.3
167.0919952,0.0
155.0299988,5.6
92.17910004,16.9
168.470993,0.0
120.6750031,0.0
160.9459991,11.3
109.75,0.0
95.76329803,16.9
165.1869965,0.0
137.5789948,16.9
115.802002,5.6
99.46530151,0.0
98.40339661,0.0
141.3500061,11.3
163.0919952,0.0
146.1230011,0.0
91.75990295,5.6
103.4189987,0.0
157.8059998,0.0
95.0644989,16.9
97.9885025,0.0
148.9060059,0.0
110.4840012,0.0
108.9609985,16.9
114.8119965,0.0
115.9369965,0.0
108.4970016,16.9
92.84179688,0.0
138.5019989,11.3
114.1520004,0.0
157.8309937,0.0
143.5160065,0.0
99.53890228,0.0
110.7969971,0.0
158.154007,0.0
161.2779999,11.3
95.38220215,16.9
143.3589935,0.0
103.4349976,0.0
158.3500061,0.0
105.6969986,0.0
143.371994,0.0
110.9970016,16.9
96.64450073,16.9
100.8679962,0.0
161.2189941,11.3
121.3300018,16.9
107.6460037,16.9
122.0810013,16.9
154.397995,5.6
137.9450073,0.0
134.4100037,11.3
112.5250015,5.6
121.9990005,0.0
114.8840027,5.6
125.1060028,0.0
119.0759964,5.6
139.4029999,0.0
105.6060028,0.0
92.83830261,0.0
103.685997,0.0
90.45189667,16.9
141.951004,11.3
113.5820007,0.0
117.2480011,5.6
94.66519928,0.0
97.17060089,16.9
143.2899933,0.0
141.822998,11.3
164.9960022,0.0
157.9570007,0.0
126.1019974,0.0
143.1459961,0.0
132.8110046,0.0
89.31439972,5.6
93.96980286,16.9
138.4629974,0.0
141.9279938,11.3
143.1269989,0.0
91.22059631,0.0
105.6549988,0.0
97.22380066,0.0
165.404007,0.0
136.5090027,0.0
155.8240051,5.6
113.6780014,0.0
103.2269974,0.0
100.9039993,0.0
103.0820007,0.0
105.6360016,0.0
105.6669998,0.0
154.8110046,5.6
94.62220001,16.9
157.8580017,0.0
103.5859985,0.0
145.0780029,16.9
141.6889954,11.3
157.897995,0.0
100.9540024,0.0
94.24189758,0.0
155.0460052,5.6
160.6880035,11.3
154.3390045,5.6
143.4199982,0.0
139.0330048,0.0
112.0059967,0.0
93.7888031,0.0
140.4219971,0.0
103.0279999,0.0
97.20559692,0.0
154.8119965,5.6
140.8659973,0.0
148.5240021,0.0
109.512001,0.0
151.0,0.0
154.3379974,5.6
108.7669983,16.9
139.7140045,0.0
89.32389832,0.0
99.16480255,0.0
138.6649933,0.0
97.00409698,16.9
138.0,0.0
128.1889954,0.0
93.04060364,16.9
89.19219971,5.6
93.21360016,16.9
161.4949951,11.3
107.685997,0.0
89.85959625,5.6
89.28279877,5.6
139.4720001,0.0
105.4749985,0.0
91.37850189,0.0
143.8059998,16.9
112.0859985,0.0
137.4499969,0.0
107.6200027,16.9
140.1950073,0.0
146.3890076,0.0
155.3040009,5.6
146.1620026,0.0
144.9160004,16.9
98.68389893,0.0
121.9820023,0.0
92.02799988,5.6
150.0160065,0.0
105.6470032,0.0
115.5910034,0.0
154.526001,5.6
114.4589996,0.0
141.1159973,11.3
106.7109985,0.0
96.07939911,16.9
95.63349915,16.9
127.0059967,0.0
146.7630005,0.0
109.1080017,16.9
164.5039978,0.0
111.8669968,5.6
91.936203,0.0
140.5639954,11.3
160.776001,11.3
144.8110046,16.9
157.5579987,0.0
100.9830017,0.0
144.852005,16.9
132.4320068,0.0
164.8379974,0.0
167.5480042,0.0
109.723999,0.0
103.7320023,0.0
103.5319977,0.0
109.9749985,0.0
149.9720001,0.0
157.9819946,0.0
128.2929993,0.0
145.0559998,16.9
96.4190979,16.9
88.52719879,0.0
98.30509949,0.0
163.8059998,0.0
164.7109985,0.0
110.1760025,0.0
111.8939972,5.6
154.7409973,5.6
139.9700012,11.3
85.54190063,0.0
142.9689941,0.0
106.7809982,0.0
87.47280121,0.0
143.427002,0.0
111.4649963,0.0
157.5630035,0.0
150.7200012,0.0
114.8619995,0.0
146.2630005,0.0
109.7649994,16.9
109.9260025,0.0
157.7819977,0.0
135.6260071,11.3
146.5850067,0.0
88.71499634,5.6
163.8170013,0.0
165.8589935,0.0
143.3739929,0.0
138.5610046,0.0
154.3580017,5.6
112.7929993,0.0
167.977005,0.0
100.9530029,0.0
145.154007,16.9
143.128006,0.0
92.27559662,0.0
141.6790009,11.3
127.5130005,0.0
93.84559631,16.9
111.3190002,16.9
146.1889954,0.0
89.04910278,5.6
146.3999939,0.0
154.3899994,5.6
115.2089996,0.0
118.7320023,0.0
138.8580017,0.0
113.538002,5.6
91.45639801,0.0
128.2799988,0.0
137.8509979,0.0
125.4940033,16.9
163.5740051,0.0
91.8839035,0.0
111.5149994,5.6
109.4160004,16.9
146.6199951,0.0
92.77149963,0.0
139.9790039,11.3
107.461998,16.9
107.7939987,16.9
137.4949951,0.0
145.1529999,16.9
154.8939972,5.6
146.2030029,0.0
124.8909988,0.0
110.822998,5.6
143.279007,0.0
113.9309998,0.0
111.0979996,5.6
140.2189941,0.0
89.01429749,0.0
142.1040039,11.3
154.4559937,5.6
132.9429932,0.0
164.8390045,0.0
146.8200073,0.0
99.25119781,0.0
158.0130005,0.0
137.4530029,0.0
143.9049988,0.0
96.91529846,16.9
122.5950012,5.6
92.04570007,16.9
86.01789856,0.0
113.1299973,0.0
84.25859833,0.0
143.5010071,0.0
100.7839966,0.0
161.0859985,11.3
154.977005,5.6
164.6230011,0.0
105.685997,0.0
143.2200012,0.0
103.8479996,0.0
109.9729996,16.9
113.7580032,5.6
90.30819702,5.6
158.0599976,0.0
138.1820068,0.0
112.7279968,5.6
124.2220001,5.6
127.4919968,0.0
143.1499939,0.0
144.8910065,16.9
136.9160004,0.0
139.7259979,0.0
161.1829987,11.3
90.8871994,16.9
141.7680054,11.3
107.8679962,16.9
138.3289948,0.0
112.8470001,0.0
146.6340027,0.0
139.2400055,0.0
115.1849976,0.0
140.6190033,0.0
144.7969971,16.9
107.1529999,5.6
89.05930328,5.6
133.0330048,0.0
109.1269989,0.0
162.9519958,0.0
105.8259964,0.0
157.9210052,0.0
120.1159973,0.0
107.5780029,16.9
157.8710022,0.0
113.2750015,0.0
110.3119965,0.0
89.73989868,5.6
113.9079971,0.0
163.470993,0.0
129.7059937,0.0
145.1609955,16.9
143.1640015,0.0
170.2890015,0.0
139.1629944,0.0
107.9339981,16.9
144.8710022,16.9
141.0740051,11.3
106.538002,0.0
157.9660034,0.0
90.88430023,0.0
133.1159973,11.3
100.8359985,0.0
111.6600037,5.6
131.3919983,0.0
144.7310028,0.0
138.1170044,0.0
154.352005,5.6
157.6699982,0.0
92.27600098,5.6
161.197998,11.3
108.2040024,16.9
137.7709961,0.0
146.4149933,0.0
110.4639969,0.0
123.9800034,5.6
169.4499969,0.0
116.3820038,0.0
96.34570313,16.9
141.996994,11.3
105.7440033,0.0
125.526001,0.0
