Ols_P_0_2,PhosphorusTreatment
32.72259903,0.0
32.98720169,0.0
30.82900047,5.6
30.94129944,0.0
30.74769974,5.6
35.77280045,0.0
36.20230103,0.0
35.31359863,0.0
32.76750183,0.0
30.41020012,5.6
35.99810028,0.0
34.82239914,0.0
32.53070068,0.0
32.51079941,0.0
31.8260994,0.0
32.89229965,5.6
31.69610023,0.0
30.63439941,5.6
36.00619888,11.3
32.6167984,0.0
30.79780006,5.6
35.1637001,0.0
32.62120056,16.9
36.24480057,11.3
35.28250122,0.0
31.26539993,0.0
36.18220139,0.0
30.56450081,0.0
30.75769997,5.6
36.1507988,5.6
33.03939819,5.6
30.61580086,0.0
33.05419922,16.9
34.93830109,11.3
36.19350052,0.0
33.14429855,0.0
36.13209915,0.0
35.32049942,0.0
35.25080109,0.0
34.58720016,16.9
32.99150085,0.0
36.11119843,5.6
34.99779892,0.0
36.19609833,0.0
31.29290009,0.0
33.08430099,0.0
35.13090134,16.9
30.62319946,0.0
30.70829964,5.6
35.40650177,0.0
36.21849823,0.0
36.17620087,0.0
32.68479919,0.0
30.83180046,0.0
32.97249985,0.0
35.24470139,16.9
31.2541008,0.0
36.00749969,0.0
36.2154007,0.0
32.74750137,5.6
36.26490021,0.0
35.48320007,11.3
32.96350098,5.6
35.27199936,16.9
30.55120087,0.0
31.27389908,0.0
36.15050125,0.0
36.1108017,5.6
32.71969986,5.6
36.18050003,0.0
32.87450027,5.6
30.71139908,0.0
30.37779999,0.0
35.32849884,0.0
36.25790024,5.6
30.48250008,5.6
31.03580093,16.9
32.59949875,16.9
35.54359818,11.3
36.18109894,0.0
36.27479935,5.6
30.77190018,16.9
36.18009949,0.0
31.54269981,0.0
36.16139984,11.3
32.6896019,0.0
31.08209991,16.9
36.13890076,0.0
36.5522995,16.9
33.03779984,5.6
31.26989937,0.0
31.29509926,0.0
35.36360168,11.3
36.21419907,0.0
35.33259964,0.0
30.85560036,5.6
32.43590164,0.0
36.03419876,0.0
31.04129982,16.9
31.30870056,0.0
35.07030106,0.0
32.78430176,0.0
32.82600021,16.9
32.91500092,0.0
33.10810089,0.0
32.73379898,16.9
30.87800026,0.0
36.07239914,11.3
35.32170105,0.0
36.21440125,0.0
35.32949829,0.0
31.27490044,0.0
32.80989838,0.0
36.07690048,0.0
36.08390045,11.3
31.06329918,16.9
35.32830048,0.0
32.45090103,0.0
35.95159912,0.0
32.54249954,0.0
35.32820129,0.0
33.0943985,16.9
31.12129974,16.9
32.11100006,0.0
36.03680038,11.3
32.74359894,16.9
32.61399841,16.9
35.31230164,16.9
35.33639908,5.6
34.96030045,0.0
33.13949966,11.3
32.84180069,5.6
33.63420105,0.0
32.99750137,5.6
31.75659943,0.0
35.03469849,5.6
35.31930161,0.0
32.53979874,0.0
30.87590027,0.0
32.43009949,0.0
30.56270027,16.9
35.32870102,11.3
32.8266983,0.0
33.08869934,5.6
31.22800064,0.0
31.13940048,16.9
35.32970047,0.0
35.33129883,11.3
36.13539886,0.0
35.95899963,0.0
35.00350189,0.0
35.34519958,0.0
34.79869843,0.0
30.56100082,5.6
30.95870018,16.9
35.33240128,0.0
35.33160019,11.3
35.34870148,0.0
30.49099922,0.0
32.5848999,0.0
31.29039955,0.0
36.15629959,0.0
34.75540161,0.0
35.33580017,5.6
33.05450058,0.0
32.45899963,0.0
32.08069992,0.0
32.48130035,0.0
32.59059906,0.0
32.56240082,0.0
36.22340012,5.6
31.01230049,16.9
36.08589935,0.0
32.43220139,0.0
35.29899979,16.9
35.33560181,11.3
36.11930084,0.0
31.72949982,0.0
30.98629951,0.0
36.24700165,5.6
36.19979858,11.3
36.05559921,5.6
35.3288002,0.0
35.32239914,0.0
32.9416008,0.0
30.95739937,0.0
