H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6
58.79999924,1984.369995,6.562739849,137.8869934,103.8590012,43.24029922
39.43930054,2112.560059,4.920629978,160.9290009,95.62380219,27.09970093
37.11709976,2180.379883,4.21077013,145.9570007,83.25610352,21.05069923
47.41139984,2043.75,5.749879837,146.5820007,101.5930023,35.22719955
60.10240173,1995.560059,6.57874012,126.3119965,108.7320023,48.01509857
45.72909927,2118.189941,5.190989971,145.9810028,97.77670288,31.7737999
35.55830002,2170.899902,4.065569878,195.9980011,87.62200165,24.73769951
39.0318985,2136.47998,3.949559927,158.6900024,82.20770264,21.4715004
42.47779846,2147.610107,4.885789871,143.6999969,96.01229858,28.55010033
55.75770187,1995.97998,6.327620029,140.6929932,103.8450012,40.94589996
35.98160172,2148.379883,3.939870119,189.0630035,86.80989838,23.62120056
60.00329971,1984.030029,6.608230114,135.0639954,105.0400009,44.86050034
35.35340118,2133.02002,4.576459885,173.7290039,92.21759796,23.96619987
69.84339905,1973.689941,6.767099857,120.4430008,107.2649994,54.73479843
39.11869812,2180.139893,4.445300102,145.1260071,87.99700165,22.2791996
34.1446991,2143.909912,3.939330101,206.552002,88.1914978,24.57189941
38.59090042,2216.959961,4.463900089,138.098999,84.80690002,19.94029999
37.28710175,2176.570068,4.235320091,141.0189972,83.33409882,20.90390015
67.98570251,1987.48999,6.666490078,121.0469971,106.8590012,52.65810013
65.62950134,1983.859985,6.769939899,115.060997,107.2829971,50.27479935
36.37900162,2205.389893,4.218309879,192.2680054,89.37789917,24.88940048
38.02389908,2124.5,4.104290009,157.5279999,85.12000275,22.35359955
32.41830063,2200.149902,4.259610176,193.5169983,92.64890289,26.06809998
36.56000137,2134.699951,3.742249966,201.8119965,87.29949951,23.74069977
39.16429901,2176.149902,4.464829922,147.1990051,89.58519745,22.93050003
37.06019974,2147.919922,4.326550007,159.0890045,89.66480255,23.43899918
40.38750076,2091.120117,5.047939777,158.2579956,97.47409821,28.51230049
37.51879883,2198.949951,4.311779976,162.3379974,85.23609924,22.03350067
38.27899933,2170.22998,4.190639973,144.9420013,80.59320068,19.82509995
59.92739868,1983.790039,6.60999012,135.5610046,104.8570023,44.63790131
37.6678009,2198.0,4.313499928,158.2910004,84.75309753,21.68120003
34.73490143,2153.949951,4.021840096,205.2220001,88.50800323,24.69249916
37.6529007,2125.870117,4.157619953,158.4859924,86.02159882,22.48579979
48.47660065,2111.719971,5.319399834,142.7680054,98.78780365,33.82770157
40.56069946,2162.030029,4.753099918,141.9160004,95.6085968,26.76600075
62.67480087,2015.709961,6.3302598,129.2610016,104.1849976,46.63529968
38.31119919,2163.810059,4.345220089,150.2689972,86.8687973,22.1072998
36.77899933,2132.899902,3.839449883,188.5980072,86.34149933,23.31159973
36.71099854,2128.350098,4.305789948,164.177002,89.18370056,23.4484005
38.00299835,2173.25,4.174019814,150.7769928,82.47100067,20.95859909
38.40209961,2167.169922,4.13737011,135.1940002,79.36460114,19.67709923
36.85300064,2207.850098,4.34954977,170.3430023,86.35320282,22.77669907
53.98389816,2043.76001,5.926559925,139.9550018,102.6729965,40.05899811
45.42020035,2046.52002,5.645589828,150.7259979,101.1190033,33.63059998
37.32429886,2180.560059,4.208179951,146.628006,83.0196991,20.89900017
44.9211998,2141.169922,5.034520149,142.5339966,97.85179901,30.98010063
65.16120148,1987.01001,6.728250027,116.8909988,107.4150009,50.31629944
