Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6
1.096300006,140.5700073,1.627850056,411.8619995,113.637001,53.38460159
1.049819946,93.14099884,1.523569942,388.8529968,77.29029846,50.56269836
1.092380047,73.63549805,1.133540034,399.1419983,60.88470078,44.28659821
1.03204,124.2779999,1.527629972,396.6180115,99.31410217,51.47949982
1.061869979,128.1410065,1.552749991,388.5320129,105.6640015,52.36019897
1.047919989,97.9552002,1.548370004,396.5759888,82.20819855,51.33119965
1.187080026,72.95420074,1.472769976,493.8460083,68.32160187,54.37559891
0.910679996,77.8588028,1.189720035,402.6340027,64.14430237,45.63769913
0.923003972,88.08170319,1.470620036,384.3429871,74.2589035,49.1529007
1.027369976,141.0899963,1.616379976,416.2590027,112.8180008,54.4756012
1.064069986,74.87349701,1.323300004,459.8940125,66.41519928,51.71839905
1.05648005,137.8470001,1.473649979,406.9089966,111.9140015,53.12530136
0.95420301,76.41320038,1.408669949,380.3970032,64.78160095,46.46490097
0.983340979,127.0240021,1.544630051,395.6659851,107.4059982,52.27830124
1.007580042,79.40809631,1.303719997,388.2909851,65.77600098,46.2745018
1.080770016,74.85420227,1.417850018,495.4570007,68.80970001,54.69049835
1.007869959,72.00740051,1.084380031,408.2569885,60.98789978,46.0442009
0.998394012,74.58630371,1.161849976,373.7839966,61.24840164,43.42139816
0.986311018,124.5230026,1.547860026,394.8169861,105.401001,52.51670074
0.980416,124.2659988,1.533679962,381.9949951,105.2190018,51.50049973
1.127079964,72.37490082,1.435559988,507.3670044,66.73439789,56.65829849
0.973128974,76.00530243,1.244130015,365.9599915,61.70700073,42.80659866
1.150709987,71.4960022,1.447160006,513.0020142,65.53600311,57.22140121
1.049620032,74.8608017,1.422189951,480.4729919,68.67520142,54.64490128
1.009960055,80.50150299,1.31791997,389.9349976,66.68869781,46.92959976
0.981746972,78.26830292,1.316849947,377.6740112,64.77670288,46.00790024
1.046720028,101.9639969,1.515519977,386.7070007,83.04350281,50.54309845
1.090389967,73.59819794,1.304640055,449.7019958,63.49779892,49.66220093
1.134809971,74.3844986,1.265190005,397.0840149,61.01530075,44.13679886
1.056079984,138.3589935,1.473230004,407.2590027,112.2570038,53.12770081
1.087460041,73.60250092,1.29727006,443.5939941,63.08300018,49.11050034
1.188580036,74.00319672,1.480319977,499.697998,68.2457962,55.08359909
0.976396024,75.32659912,1.253119946,366.3349915,61.65359879,43.05960083
1.046929955,100.3339996,1.547510028,396.644989,84.27549744,51.42399979
0.928305984,86.91419983,1.478680015,385.8659973,73.14659882,49.57300186
1.110790014,120.0739975,1.639829993,403.8850098,100.4260025,52.79899979
1.00048995,81.3246994,1.33664,403.0880127,67.22930145,48.1495018
1.056100011,75.42759705,1.314640045,451.7950134,66.77110291,51.06359863
0.974399984,74.42680359,1.300799966,368.6629944,62.24409866,44.64369965
1.079450011,75.38430023,1.281620026,427.7770081,63.0306015,47.50830078
0.996546984,76.00479889,1.081089973,379.1180115,61.74810028,42.77890015
1.096330047,72.59500122,1.312860012,463.9649963,63.98820114,51.42070007
1.047330022,119.3529968,1.600080013,417.3940125,98.50879669,54.50490189
1.012629986,126.625,1.473150015,402.3349915,100.3420029,51.68159866
1.092640042,73.62709808,1.13448,399.9769897,60.90330124,44.23690033
1.011409998,93.79499817,1.516579986,390.2839966,78.92340088,50.70029831
0.983433008,124.5650024,1.538020015,385.0620117,105.2139969,51.84809875
1.316840053,73.52149963,1.569399953,511.20401,67.18689728,57.00830078
1.029790044,124.0049973,1.52493,396.9049988,98.57990265,51.37080002
1.037799954,75.5861969,1.253569961,418.3200073,63.49530029,46.91019821
1.137120008,71.04219818,1.435969949,512.3330078,64.97640228,57.36500168
1.180920005,81.41100311,1.546550035,396.4899902,67.3125,49.3905983
1.187960029,73.61380005,1.477620006,497.1870117,68.146698,54.82550049
0.959688008,90.50170135,1.500949979,387.5029907,76.38860321,49.96699905
1.035349965,76.67089844,1.263249993,425.0419922,65.11370087,47.7983017
0.931362987,74.72910309,1.165820003,381.3529968,62.68209839,45.09780121
0.999828994,80.82830048,1.332340002,401.7250061,66.76679993,47.88940048
0.98190999,77.49130249,1.325109959,378.2799988,64.68479919,46.18030167
0.823987007,76.6529007,0.946403027,348.0880127,60.7602005,39.42689896
1.24443996,89.38349915,1.65752995,395.8720093,73.81279755,51.25780106
0.977909029,77.70320129,1.29926002,374.1900024,63.84270096,45.23379898
1.007429957,79.13809967,1.311699986,386.5419922,65.49960327,46.27130127
1.102669954,138.6750031,1.632130027,412.2179871,111.1009979,53.83610153
1.076949954,81.60410309,1.501620054,393.7680054,67.06970215,48.15399933
0.856483996,79.49369812,1.08623004,389.5920105,64.13710022,43.05020142
1.069560051,74.41359711,1.327970028,463.993988,66.0483017,52.05070114
0.908867002,139.177002,1.452160001,427.7980042,110.2210007,55.7303009
1.047219992,74.2723999,1.420979977,478.4890137,68.54019928,54.58499908
1.03223002,114.6949997,1.529139996,392.1619873,93.35690308,50.71459961
1.057479978,137.6109924,1.551220059,397.0289917,112.6559982,52.55410004
1.055570006,73.57740021,1.428500056,486.3710022,68.51869965,55.09329987
1.089509964,73.24790192,1.419759989,492.1879883,68.3789978,54.31140137
1.100690007,72.29759979,1.321689963,471.2349854,64.29810333,52.15420151
0.950708985,77.47180176,1.408939958,387.9859924,65.66629791,47.74779892
0.910673022,137.2590027,1.453780055,427.6059875,109.2939987,55.89870071
1.087200046,72.58869934,1.293540001,441.7879944,62.34629822,49.00899887
1.028710008,115.9140015,1.52286005,392.6239929,92.75209808,50.58760071
1.029819965,122.6090012,1.524919987,396.118988,97.65579987,51.24359894
0.990217984,123.1439972,1.552029967,395.1600037,104.0329971,52.88650131
1.057919979,137.0879974,1.475049973,406.3989868,111.2429962,53.17689896
1.133170009,72.27210236,1.441159964,509.9609985,66.51159668,56.9076004
1.009570003,72.08869934,1.087080002,409.0549927,61.02489853,46.20330048
1.04519999,74.97250366,1.27373004,433.8259888,64.67279816,48.53910065
1.064319968,74.87139893,1.325760007,462.1600037,66.67240143,51.94010162
1.093610048,73.89790344,1.312880039,462.4100037,64.86509705,51.27679825
0.965804994,80.27449799,1.425349951,393.9190063,66.82039642,48.63949966
1.081920028,74.32649994,1.283360004,430.6919861,62.62350082,47.90599823
