H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,PhosphorusTreatment
35.04600143,2162.580078,4.042679787,200.3370056,88.0766983,24.66270065,0.0
37.61489868,2183.110107,4.25797987,149.4559937,83.4822998,21.09469986,6.8
69.09249878,1964.119995,6.834849834,124.9430008,106.6669998,51.65499878,0.0
38.15990067,2160.780029,4.450930119,151.9609985,89.04560089,22.64949989,10.1
35.5658989,2196.5,4.204619884,194.4299927,89.52310181,24.8980999,3.4
66.28569794,1961.22998,6.789629936,129.3639984,105.9509964,48.7405014,0.0
42.54159927,2100.98999,5.164989948,154.0850067,97.26830292,29.0951004,0.0
50.87609863,2018.0,6.072659969,140.2189941,103.3010025,38.41859818,6.8
38.29359818,2141.879883,4.632269859,162.1130066,91.27719879,23.98749924,10.1
35.70999908,2154.909912,3.942699909,201.1670074,88.37439728,23.98110008,0.0
34.45679855,2146.669922,3.943470001,205.4649963,88.1631012,24.57480049,3.4
38.05860138,2149.669922,4.004879951,161.7180023,83.26190186,21.62140083,0.0
36.97299957,2116.290039,4.701220036,171.0310059,94.50150299,25.30900002,0.0
33.53039932,2202.139893,4.269750118,192.8569946,91.28620148,25.52029991,3.4
54.79230118,2013.349976,6.18156004,136.6190033,104.7340012,41.98040009,0.0
60.69340134,1989.76001,6.665850163,125.4810028,110.5719986,49.71590042,6.8
38.3844986,2158.560059,4.239200115,147.7250061,83.92269897,20.89229965,6.8
35.14110184,2163.5,4.041749954,199.5420074,87.9835968,24.65979958,0.0
39.24240112,2173.590088,4.486579895,146.7290039,91.08409882,23.44050026,3.4
54.75519943,1998.410034,6.350150108,138.4459991,104.5400009,41.32149887,6.8
36.86470032,2141.189941,4.317920208,161.0449982,89.40329742,23.39999962,3.4
34.78300095,2155.600098,4.02809,204.3659973,88.41539764,24.66930008,0.0
36.55110168,2140.580078,3.88973999,186.1419983,86.3187027,23.35420036,0.0
37.8987999,2194.780029,4.377170086,137.2189941,85.09049988,21.01460075,0.0
