M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,PhosphorusTreatment
152.223999,4048.120117,42.34080124,734.2399902,248.1100006,151.4380035,0.0
182.0390015,4045.709961,42.37609863,594.223999,243.0690002,136.1459961,6.8
295.0220032,3934.23999,82.06369781,585.3829956,354.67099,203.7929993,0.0
193.2489929,4042.139893,51.76539993,599.7860107,260.8269958,145.503006,10.1
145.2460022,4101.220215,44.8728981,718.4959717,257.7130127,154.0130005,3.4
292.1470032,3931.48999,82.53230286,594.1820068,349.8250122,200.1300049,0.0
226.0780029,3990.120117,64.00050354,619.9140015,290.2260132,170.1519928,0.0
280.3779907,3934.5,74.66300201,603.5529785,335.6319885,186.9400024,6.8
185.0189972,4075.360107,57.23820114,604.78302,273.4020081,151.8240051,10.1
157.5670013,4033.830078,40.19499969,743.4039917,239.7940063,159.8880005,0.0
158.2350006,4004.139893,40.64390182,746.7130127,241.2039948,155.7089996,3.4
186.6139984,4014.879883,38.89920044,642.2810059,232.2870026,141.1710052,0.0
193.2149963,3977.899902,59.23830032,656.1229858,256.5599976,166.3350067,0.0
135.1519928,4135.390137,45.28210068,716.2600098,266.9890137,154.7799988,3.4
286.0809937,3931.76001,74.9382019,596.21698,346.4790039,192.3099976,0.0
324.5539856,3890.76001,78.88870239,590.21698,379.3590088,205.4049988,6.8
194.7100067,4019.330078,44.24420166,598.4459839,237.7709961,138.1089935,6.8
152.4179993,4049.360107,42.37310028,733.742981,247.9929962,151.0599976,0.0
200.1179962,4062.870117,54.13809967,583.2340088,276.118988,146.7279968,3.4
288.3760071,3923.300049,79.13379669,608.598999,339.8190002,191.2980042,6.8
188.7480011,4017.810059,50.37730026,628.8259888,254.1080017,151.7669983,3.4
152.8580017,4035.129883,41.90470123,738.1489868,247.7920074,153.2680054,0.0
170.4660034,4018.709961,38.57690048,705.6110229,237.3630066,151.6419983,0.0
190.5820007,4052.27002,44.89979935,563.9539795,251.9889984,136.753006,0.0
220.8289948,4019.659912,63.19010162,603.5410156,295.0830078,170.7799988,0.0
181.1990051,4032.719971,41.36899948,626.8720093,237.6289978,141.0359955,0.0
199.4170074,3986.100098,36.77310181,667.2520142,234.098999,144.7630005,0.0
154.5659943,4042.820068,41.4375,734.757019,246.2839966,150.7669983,3.4
149.197998,4064.02002,42.91550064,729.882019,250.3130035,154.3890076,10.1
160.7740021,4078.120117,44.51860046,670.3289795,251.6100006,145.1040039,3.4
269.7969971,3956.76001,73.09529877,600.4639893,333.1629944,189.1990051,6.8
181.2689972,4041.139893,42.39910126,606.7689819,240.7519989,138.5780029,6.8
192.7570038,4052.26001,47.17179871,574.6040039,255.9420013,140.1260071,0.0
162.2980042,4076.409912,44.53639984,665.5599976,251.0319977,144.3930054,3.4
180.3170013,3966.040039,55.45460129,660.1170044,243.5559998,165.8000031,0.0
232.5449982,3965.439941,65.84629822,629.1560059,288.95401,176.1499939,10.1
196.3049927,4010.820068,43.45019913,611.0809937,235.5839996,139.6730042,0.0
257.598999,3970.649902,70.95320129,604.0770264,323.2539978,185.1790009,6.8
180.6649933,4044.639893,41.9455986,580.4240112,246.701004,133.5449982,6.8
238.0319977,4009.929932,66.16000366,591.9310303,312.1610107,177.2109985,0.0
147.1450043,4068.179932,42.66329956,711.1760254,249.2120056,151.1410065,10.1
144.0549927,4081.0,42.76779938,701.3289795,247.5160065,148.6029968,10.1
175.6660004,4062.080078,44.88750076,611.4769897,248.1309967,140.3079987,0.0
198.3630066,3988.320068,36.83819962,662.309021,232.1999969,143.2610016,0.0
189.0820007,4025.800049,41.64599991,562.7189941,233.2220001,128.0480042,0.0
188.7830048,4001.560059,48.48320007,642.2789917,246.1640015,152.5189972,0.0
224.3029938,4013.389893,63.96549988,604.3729858,297.2019958,172.3659973,0.0
281.4440002,3923.929932,78.18520355,618.1820068,329.3670044,192.802002,0.0
180.0899963,4040.409912,41.79809952,578.197998,248.871994,133.8179932,6.8
197.9299927,3992.899902,40.80020142,646.5469971,235.4850006,144.7189941,0.0
286.3580017,3948.629883,76.27809906,584.03302,347.6669922,195.8209991,0.0
183.401001,4035.290039,42.84360123,568.8619995,251.6439972,134.0650024,6.8
280.3510132,3918.850098,76.73090363,621.9500122,325.4200134,190.9069977,0.0
145.8200073,4107.540039,45.79639816,714.6779785,259.4389954,153.8359985,0.0
165.8679962,4001.550049,37.82839966,748.0130005,231.2870026,161.2259979,0.0
181.4880066,3980.199951,54.1473999,664.9559937,246.5399933,164.9720001,0.0
171.3630066,4057.52002,44.09579849,639.4890137,247.0189972,143.8159943,0.0
184.7570038,4020.98999,52.95569992,637.0969849,257.6430054,153.3820038,3.4
