M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2
119.1940002,4025.959961,32.4272995,861.4299927,264.4119873,170.3869934
150.3040009,4021.52002,35.24349976,796.052002,273.8609924,172.6670074
246.3569946,3902.560059,64.61830139,763.2340088,373.3729858,219.4629974
153.723999,3980.540039,39.91930008,803.90802,285.3399963,175.7409973
115.401001,4086.540039,38.19229889,865.7009888,275.8649902,175.6139984
246.927002,3905.199951,64.65789795,766.6439819,368.2330017,214.1790009
183.1109924,3944.320068,48.38219833,805.723999,308.1539917,184.8430023
232.1909943,3891.25,57.53879929,775.5570068,355.4719849,199.9880066
149.727005,3990.76001,42.9958992,822.6480103,295.3399963,162.4519958
120.5660019,4001.810059,27.46590042,902.2150269,258.6350098,177.4620056
123.4489975,3983.399902,29.95229912,873.401001,255.5399933,171.2899933
153.401001,3999.699951,29.53510094,822.8959961,254.8930054,166.9960022
161.6470032,3944.290039,43.93600082,821.6569824,264.1749878,172.3849945
114.9810028,4123.580078,38.99470139,856.4039917,286.2390137,175.8840027
232.4360046,3893.149902,58.05929947,770.2579956,367.401001,206.977005
249.5160065,3860.209961,61.32799911,765.0930176,400.5889893,227.901001
158.5220032,3994.290039,34.31489944,794.7819824,262.4609985,165.4929962
118.7559967,4026.429932,32.29550171,861.1519775,264.7330017,170.4519958
152.7389984,3998.290039,42.48139954,798.9489746,306.0950012,180.7579956
241.9629974,3898.820068,61.23989868,777.0709839,360.2449951,203.2630005
154.6970062,3973.580078,38.07020187,807.15802,268.8190002,169.0249939
121.4209976,4014.129883,32.25040054,864.8250122,262.0299988,170.2749939
138.3350067,3996.51001,27.60790062,852.5960083,256.0700073,170.6340027
155.2149963,4015.090088,37.27529907,781.7630005,291.7070007,186.6369934
175.7129974,3960.51001,48.3268013,803.8920288,316.9249878,189.1080017
148.1699982,4021.129883,33.36949921,811.7260132,265.0960083,170.1640015
163.2330017,3983.199951,26.28660011,831.7269897,251.9689941,170.3000031
117.2990036,4016.790039,31.04089928,861.7020264,264.5029907,169.6349945
119.3919983,4046.290039,34.05400085,862.3569946,266.6099854,170.9069977
129.2839966,4057.98999,37.83800125,833.0130005,277.6180115,175.1159973
219.2749939,3913.889893,56.74900055,790.1290283,353.5390015,206.2290039
148.4170074,4023.120117,35.09460068,804.8670044,272.0230103,172.6999969
153.4029999,4002.090088,38.91699982,803.5089722,296.7869873,186.2749939
130.3379974,4055.209961,37.88880157,831.4290161,277.9689941,175.4570007
152.5509949,3947.48999,41.51660156,821.3599854,247.9029999,169.4060059
191.3970032,3942.52002,49.54800034,795.8400269,305.0840149,183.8190002
160.5399933,3989.719971,32.96720123,797.5620117,256.82901,164.322998
209.1199951,3925.120117,54.93360138,796.2410278,343.7860107,202.3500061
152.7590027,4022.679932,35.14509964,772.6749878,275.9330139,171.0879974
188.5679932,3956.530029,51.44810104,797.0499878,336.4450073,199.0220032
122.7249985,4052.550049,34.82020187,850.9730225,265.2799988,165.0780029
121.6650009,4062.870117,34.96609879,845.7999878,266.2460022,162.7559967
141.1620026,4036.070068,38.65159988,811.0339966,286.7579956,181.2389984
161.9409943,3983.939941,26.32839966,830.2529907,250.4470062,168.9409943
158.3619995,4011.080078,33.72750092,771.7249756,259.9500122,156.628006
156.7169952,3970.48999,35.51979828,805.9349976,257.5140076,167.9570007
179.0650024,3956.310059,48.96849823,802.2369995,318.5780029,190.4210052
240.2890015,3916.639893,60.84090042,789.2109985,350.6459961,199.9420013
153.4600067,4020.919922,34.96530151,770.3870239,275.6549988,169.5240021
164.5379944,3979.149902,29.64749908,809.6019897,250.1130066,165.6179962
231.8470001,3909.929932,59.7879982,770.3079834,369.3450012,214.1049957
155.1130066,4014.810059,35.42630005,773.5269775,278.881012,171.2740021
236.4859924,3912.780029,59.19049835,788.4890137,346.1220093,198.0010071
114.0569992,4092.929932,39.76869965,865.4099731,279.1130066,177.5330048
130.7409973,3964.629883,25.43120003,913.6119995,251.8450012,179.0410004
152.2879944,3943.419922,40.4054985,835.6539917,252.5829926,172.8099976
138.1139984,4042.110107,37.32440186,818.9110107,278.3299866,176.2480011
151.4080048,3959.22998,39.83840179,814.0449829,269.0589905,168.3480072
155.7949982,3990.939941,35.91519928,800.6469727,269.5109863,168.5599976
156.0690002,3999.76001,36.53570175,798.3530273,279.6799927,176.5410004
153.0930023,3979.699951,40.22629929,805.6209717,285.95401,175.3309937
166.5339966,3987.370117,29.41320038,793.3779907,228.6089935,146.0160065
153.8699951,3992.800049,40.78139877,800.3989868,297.9119873,181.779007
149.1730042,4022.350098,35.24319839,802.2379761,273.0620117,172.8970032
120.9199982,3999.870117,27.45059967,902.5859985,258.1659851,177.3580017
125.5970001,3969.290039,27.29120064,896.4279785,248.8840027,173.8619995
170.0110016,3988.689941,47.50049973,807.5180054,331.1239929,198.5379944
209.9570007,3942.52002,52.5727005,793.9849854,313.1470032,185.1699982
178.302002,3943.01001,46.52959824,804.2719727,286.70401,180.6880035
152.9409943,4010.379883,38.71239853,789.7960205,299.6180115,191.7339935
228.1230011,3908.189941,58.98889923,783.7979736,364.9590149,211.720993
117.4440002,4072.580078,36.25870132,861.9580078,271.2090149,171.9980011
145.4629974,3995.22998,27.7758007,842.4869995,257.2179871,171.7510071
115.5830002,4091.899902,38.29019928,863.9509888,276.5559998,174.9640045
163.4779968,4002.0,31.5279007,772.8150024,236.9019928,142.5679932
147.4089966,3981.610107,41.84730148,812.2290039,288.2030029,168.0370026
164.779007,3986.02002,26.23410034,841.315979,258.3500061,176.6679993
135.7660065,4021.929932,31.9741993,844.401001,262.2380066,169.4049988
120.8410034,4016.600098,32.10350037,864.1430054,262.25,170.3869934
150.9570007,3966.719971,40.7140007,798.098999,272.9330139,160.8040009
155.2380066,4007.5,43.62829971,822.5529785,323.5849915,197.4750061
137.2339935,4045.120117,38.87360001,816.9710083,283.7659912,178.6860046
154.496994,4013.600098,35.31370163,772.0889893,281.8330078,172.3049927
132.25,4000.73999,29.76950073,859.723999,257.0700073,170.9620056
152.8099976,3948.0,40.38489914,801.4920044,261.6520081,160.973999
138.151001,3985.72998,25.65399933,858.2520142,253.9570007,171.7420044
162.9920044,3985.949951,27.51169968,806.7609863,244.2510071,161.9519958
118.3710022,4081.030029,36.49819946,856.8029785,270.6199951,169.3439941
146.5659943,4030.77002,36.45759964,794.3720093,287.1499939,183.1560059
114.8840027,4071.850098,37.62779999,869.9279785,273.7529907,177.2839966
222.871994,3909.159912,57.33879852,787.8530273,357.2980042,207.6860046
177.3040009,3971.959961,49.01470184,798.6950073,331.5759888,197.0650024
157.3509979,3942.719971,43.07139969,819.0479736,256.1650085,170.9550018
147.7290039,3916.629883,41.95399857,822.3770142,265.5209961,166.3049927
157.673996,3994.22998,35.60960007,800.1060181,271.7170105,172.4199982
216.3659973,3923.689941,54.63339996,787.0380249,332.6659851,193.298996
166.1869965,3979.949951,27.64290047,805.6519775,241.5709991,160.4199982
