Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,PhosphorusTreatment
1.188259959,73.37940216,1.476549983,496.3659973,68.08999634,54.72249985,0.0
1.133880019,74.08860016,1.260110021,425.1199951,62.12099838,47.48720169,6.8
0.99138099,129.996994,1.54937005,396.5960083,108.9049988,52.98239899,0.0
1.008430004,79.4272995,1.316679955,387.2890015,65.77980042,46.50519943,10.1
1.131890059,72.34619904,1.44035995,509.4549866,66.61329651,56.86270142,3.4
0.994599998,134.3099976,1.551429987,399.3970032,110.9909973,53.42050171,0.0
1.051319957,99.21759796,1.524970055,389.7340088,81.4375,51.08300018,0.0
1.113379955,135.470993,1.644099951,415.0350037,107.6460037,54.28279877,6.8
1.140450001,86.62439728,1.605730057,402.4129944,72.31950378,51.47710037,10.1
1.065750003,72.21620178,1.434820056,493.3129883,68.02279663,55.49489975,0.0
1.085800052,74.41429901,1.421159983,495.4450073,68.62049866,54.69680023,3.4
1.035339952,76.21820068,1.253919959,418.3309937,63.93130112,46.94459915,0.0
0.918752015,84.7263031,1.466040015,389.3640137,71.87380219,48.63629913,0.0
1.145670056,71.57910156,1.445930004,513.3989868,65.65249634,57.24620056,3.4
1.065529943,130.0160065,1.478420019,407.0509949,105.2979965,53.32640076,0.0
1.061439991,129.2749939,1.551959991,387.7359924,106.6579971,52.45899963,6.8
0.980863988,75.89409637,1.249969959,371.1950073,62.13150024,43.33940125,6.8
1.187649965,73.30110168,1.47547996,495.5799866,68.12870026,54.64020157,0.0
1.043769956,81.42459869,1.358860016,389.2850037,67.41040039,47.66680145,3.4
1.102239966,138.9440002,1.631899953,412.6040039,111.1999969,53.84809875,6.8
0.978991985,76.9559021,1.310680032,374.5409851,63.89289856,45.50899887,3.4
1.189149976,73.875,1.480260015,499.3049927,68.17610168,55.03720093,0.0
1.05885005,75.30989838,1.314720035,452.0289917,66.28890228,51.01240158,0.0
0.932276011,75.19419861,1.165099978,379.9570007,62.63690186,44.90330124,0.0
1.047970057,96.8730011,1.547389984,395.9349976,81.22440338,51.12939835,0.0
1.082800031,75.5345993,1.293110013,438.1369934,63.86660004,48.48690033,0.0
0.839910984,78.43509674,1.062029958,374.2969971,63.12810135,42.60789871,0.0
1.089820027,73.14520264,1.419549942,492.1830139,68.39369965,54.28390121,3.4
1.301370025,73.0298996,1.548329949,508.67099,67.60579681,56.74869919,10.1
1.099370003,72.9516983,1.321779966,470.2919922,64.73970032,52.06669998,3.4
1.046949983,120.9820023,1.59841001,416.0,99.75869751,54.40890121,6.8
1.082479954,74.46880341,1.286270022,433.1319885,62.87689972,48.10680008,6.8
1.002060056,77.57060242,1.326650023,401.4599915,64.77069855,47.84769821,0.0
1.097949982,72.98709869,1.318619967,467.8720093,64.58239746,51.82099915,3.4
0.92957902,68.34870148,1.387830019,350.9309998,60.54019928,43.06819916,0.0
1.030599952,108.1159973,1.52560997,389.5710144,87.89420319,50.10169983,10.1
0.977788985,76.07450104,1.247159958,369.2030029,62.0141983,43.08760071,0.0
1.047909975,117.0500031,1.602280021,418.9299927,96.80639648,54.60919952,6.8
1.092380047,73.63549805,1.133540034,399.1419983,60.88470078,44.28659821,6.8
1.046159983,102.5029984,1.546090007,396.2569885,86.05490112,51.38600159,0.0
1.313509941,73.62529755,1.562659979,510.0669861,67.14499664,56.84550095,10.1
1.320520043,73.34200287,1.575090051,511.6470032,67.09999847,57.0890007,10.1
1.087419987,72.66339874,1.294289947,442.2909851,62.42459869,49.0489006,0.0
0.841256976,78.06469727,1.064049959,375.3450012,63.1208992,42.73659897,0.0
0.993035018,76.32050323,1.079540014,380.6860046,62.01869965,43.04859924,0.0
0.973699987,74.46289825,1.297719955,368.2520142,62.10319901,44.53329849,0.0
1.047230005,98.38749695,1.546030045,395.5270081,82.41670227,51.10010147,0.0
1.028249979,140.8139954,1.616790056,416.6830139,112.3560028,54.55500031,0.0
1.092679977,73.86920166,1.133239985,398.0490112,60.91460037,44.29299927,6.8
0.88953203,76.60479736,1.144129992,364.1830139,61.73939896,41.81880188,0.0
1.051360011,122.5029984,1.529049993,400.7030029,101.9599991,52.9129982,0.0
0.999175012,74.52410126,1.16158998,374.5539856,61.2181015,43.54520035,6.8
1.032009959,140.4649963,1.619529963,419.1809998,111.3359985,54.92990112,0.0
1.130270004,72.12490082,1.43738997,508.9230042,66.3647995,56.81840134,0.0
1.052160025,75.56400299,1.422790051,482.0010071,68.77739716,54.67620087,0.0
0.933520973,71.7743988,1.401540041,366.3009949,62.24430084,45.26940155,0.0
1.092239976,73.6473999,1.309209943,453.4230042,63.7845993,49.99850082,0.0
0.98190999,77.49130249,1.325109959,378.2799988,64.68479919,46.18030167,3.4
0.98367101,75.73590088,1.263090014,371.8630066,62.4231987,43.76660156,6.8
0.99999702,78.14240265,1.318169951,397.9979858,64.69309998,47.15779877,6.8
1.009269953,79.63480377,1.320760012,387.8770142,65.97609711,46.68560028,10.1
0.836126983,78.18019867,1.002570033,395.006012,63.90280151,43.44499969,0.0
1.008839965,80.04850006,1.311390042,389.2709961,66.32569885,46.6432991,3.4
1.081920028,74.32649994,1.283360004,430.6919861,62.62350082,47.90599823,6.8
1.065479994,72.36039734,1.434800029,493.2019958,68.06929779,55.49549866,0.0
1.072199941,74.94560242,1.426749945,493.0509949,69.09690094,54.82770157,0.0
0.919633985,89.90170288,1.467700005,384.4230042,75.65789795,49.25699997,0.0
0.978995979,125.6380005,1.478430033,401.651001,99.22779846,51.51670074,0.0
1.04618001,98.81629944,1.514729977,385.480011,81.00019836,50.27209854,0.0
0.976583004,75.39659882,1.180240035,382.9060059,62.99259949,45.29019928,0.0
1.071050048,121.7600021,1.61627996,408.6669922,101.1240005,53.6405983,0.0
1.21183002,72.51210022,1.500079989,512.3889771,66.94259644,57.83129883,0.0
1.04065001,75.88899994,1.272789955,432.5910034,65.373703,48.53020096,10.1
1.134019971,72.24829865,1.441840053,510.2489929,66.47570038,56.93080139,3.4
1.027040005,77.60710144,1.231510043,379.6369934,62.29909897,42.38090134,6.8
1.180549979,81.04450226,1.54479003,395.730011,67.06999969,49.26169968,10.1
0.835664988,78.92880249,1.057719946,371.3349915,63.09009933,42.42539978,0.0
1.066300035,74.56860352,1.320369959,457.3380127,65.60109711,51.43040085,0.0
1.188169956,73.72570038,1.478449941,497.8850098,68.16590118,54.89799881,0.0
1.029989958,78.84950256,1.416710019,377.3059998,65.28510284,45.79330063,0.0
0.998027027,83.03540039,1.43208003,396.5390015,68.97940063,50.16479874,0.0
1.092139959,72.83070374,1.306450009,451.9549866,63.16859818,49.90159988,0.0
1.002429962,74.60299683,1.161919951,377.2529907,61.2120018,44.00320053,6.8
1.065979958,74.81400299,1.33020997,466.3009949,66.94309998,52.31880188,3.4
0.963014007,76.85209656,1.403910041,376.1570129,64.28250122,45.87060165,3.4
1.056249976,75.44309998,1.31427002,451.473999,66.70600128,51.02420044,0.0
0.857756972,79.31819916,1.088889956,391.7739868,64.32530212,43.29159927,10.1
1.217479944,72.49749756,1.505270004,513.9509888,66.74299622,57.86970139,0.0
1.012019992,73.02390289,1.091279984,409.178009,61.29550171,46.22610092,0.0
1.12677002,72.61840057,1.436679959,507.1579895,67.04160309,56.65430069,3.4
1.046820045,122.3720016,1.597159982,414.8789978,100.7850037,54.34140015,6.8
1.078549981,97.10510254,1.581359982,396.4570007,81.63079834,51.65019989,0.0
0.949607015,78.84400177,1.446120024,374.4299927,67.67289734,46.79249954,0.0
0.965556026,79.29270172,1.419549942,388.4700012,66.11329651,47.76710129,3.4
0.998438001,79.31369781,1.319669962,397.6440125,65.3655014,47.09820175,0.0
1.03204,124.2779999,1.527629972,396.6180115,99.31410217,51.47949982,0.0
0.855497003,79.63220215,1.083729982,387.821991,63.95930099,42.8146019,10.1
1.048979998,74.69809723,1.422260046,480.2309875,68.65110016,54.6446991,0.0
0.983433008,124.5650024,1.538020015,385.0620117,105.2139969,51.84809875,0.0
1.070180058,76.01809692,1.422260046,489.553009,69.11930084,54.4469986,0.0
1.042320013,75.48590088,1.271129966,431.5979919,64.86450195,48.35660172,0.0
1.131539941,70.86660004,1.430899978,505.4049988,64.71920013,56.6169014,0.0
1.058339953,137.1329956,1.475450039,406.4979858,111.1809998,53.21080017,0.0
1.088160038,73.84980011,1.421309948,493.6419983,68.42790222,54.52099991,3.4
1.01157999,73.00779724,1.090059996,407.4400024,61.20700073,46.10490036,0.0
1.151239991,71.44950104,1.446269989,513.0209961,65.46990204,57.28329849,3.4
1.046630025,100.2429962,1.545050025,395.3280029,83.89640045,51.11980057,0.0
1.096680045,140.2769928,1.628039956,411.9949951,113.1559982,53.43809891,6.8
1.08186996,75.43119812,1.289909959,435.3940125,63.60540009,48.23389816,0.0
1.061050057,130.473999,1.551530004,389.1629944,107.447998,52.42369843,6.8
0.988592029,125.1340027,1.545639992,390.5499878,105.2160034,52.46839905,0.0
1.071329951,74.42590332,1.333459973,468.7359924,66.48339844,52.4917984,0.0
1.009500027,80.50060272,1.313050032,390.4440002,66.78019714,46.8647995,0.0
1.105190039,138.7429962,1.634199977,412.8139954,110.848999,54.00130081,6.8
1.08465004,72.35240173,1.430230021,496.7770081,68.1536026,55.03590012,0.0
1.060089946,73.27339935,1.431679964,489.7569885,68.42539978,55.30260086,0.0
1.046609998,101.223999,1.546880007,396.4660034,85.0007019,51.4034996,0.0
1.013779998,84.39430237,1.513180017,384.1380005,70.3628006,50.0182991,0.0
1.090759993,75.56559753,1.313109994,455.0750122,65.13310242,50.06539917,0.0
1.049460053,93.26789856,1.522789955,388.4660034,77.38410187,50.5143013,3.4
0.828364015,81.08239746,1.050490022,387.1910095,65.7181015,44.43899918,10.1
1.322379947,73.15229797,1.57852006,512.3759766,67.10160065,57.17100143,10.1
0.979676008,76.03440094,1.243469954,370.7250061,61.99760056,43.07770157,6.8
