Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,PhosphorusTreatment
0.823372006,92.71589661,1.194110036,542.2340088,73.81620026,49.54919815,0.0
0.986930013,82.08000183,1.291129947,626.3189697,75.00109863,57.61629868,0.0
1.160850048,144.4799957,1.879029989,584.4829712,120.1559982,56.81480026,0.0
1.039739966,86.67639923,1.321009994,618.2000122,74.3022995,55.44990158,0.0
0.944468021,91.16130066,1.249070048,584.4279785,75.30480194,52.00460052,6.8
0.904027998,143.6880035,1.877210021,577.6660156,125.8190002,58.00009918,0.0
0.986253977,81.54190063,1.309710026,626.4710083,74.90709686,57.06000137,3.4
0.990184009,81.7181015,1.309389949,626.9520264,74.75330353,57.65779877,0.0
0.882403016,97.05059814,1.271510005,609.7880249,83.9029007,54.85620117,0.0
1.026329994,84.79709625,1.312809944,618.1680298,74.77559662,56.63610077,0.0
0.901035011,89.207901,1.260370016,588.0239868,75.13510132,54.29529953,0.0
1.101660013,81.54139709,1.383679986,630.2659912,74.48870087,58.79249954,3.4
0.946232021,126.6559982,1.542060018,579.7709961,103.4599991,54.83840179,0.0
1.040040016,152.3059998,1.829040051,594.8300171,126.2310028,56.1875,6.8
0.959140003,106.2860031,1.484640002,593.8120117,90.80529785,56.75979996,0.0
0.871339977,92.43730164,1.206150055,593.9459839,74.76000214,52.10580063,0.0
0.983763993,84.09010315,1.288460016,626.6049805,76.00990295,57.04880142,3.4
1.036530018,92.39890289,1.281970024,602.5910034,75.45939636,51.8268013,6.8
0.981498003,86.41290283,1.264279962,626.3250122,76.70429993,56.9695015,3.4
1.027590036,83.89330292,1.333619952,618.5269775,74.20439911,56.67309952,0.0
1.009310007,85.30529785,1.300760031,591.9429932,74.24909973,54.31620026,0.0
0.977428019,85.67520142,1.261049986,592.7089844,75.48459625,54.16870117,0.0
1.018039942,133.4259949,1.804399967,613.0839844,115.4980011,57.95890045,0.0
0.95835799,110.1340027,1.502699971,592.9860229,93.4897995,56.78430176,0.0
1.083500028,82.64320374,1.370090008,648.3610229,74.51399994,60.38029861,3.4
1.072939992,100.2340012,1.497550011,619.3989868,86.39849854,56.31570053,10.1
0.910862029,103.9660034,1.529790044,606.6389771,88.70449829,55.43809891,0.0
1.082450032,87.53130341,1.313580036,615.7310181,74.05560303,55.92699814,0.0
0.989297986,136.7870026,1.749500036,616.4329834,114.9110031,58.19039917,0.0
0.984513998,92.99980164,1.303740025,621.2849731,76.90989685,55.20420074,0.0
1.007879972,85.52999878,1.291270018,592.3900146,74.9016037,54.38830185,3.4
0.989641011,135.802002,1.774680018,615.9619751,115.6750031,58.16210175,6.8
0.905081987,142.5590057,1.865020037,577.3250122,124.0149994,57.98469925,0.0
1.009879947,85.11859894,1.304129958,592.3480225,74.36090088,54.36940002,0.0
1.001430035,94.81310272,1.360780001,601.5089722,81.10759735,53.59130096,0.0
0.949626982,129.5970001,1.634789944,579.8079834,108.2330017,54.93500137,6.8
0.861123025,91.61060333,1.202010036,593.9530029,75.01239777,54.15779877,0.0
0.834176004,154.4499969,1.680430055,537.257019,121.6220016,54.14390182,0.0
0.988319993,81.57289886,1.294950008,626.5549927,74.71199799,57.62879944,0.0
0.941340029,90.05069733,1.239390016,584.4370117,75.45210266,51.95660019,0.0
0.941945016,90.68260193,1.252570033,603.0689697,74.24490356,54.23659897,0.0
1.000749946,94.20649719,1.356289983,600.4719849,80.48840332,53.54190063,0.0
0.982765973,138.102005,1.814669967,568.5430298,117.9020004,56.46929932,6.8
0.981482983,85.52719879,1.280259967,626.8300171,76.60649872,57.00479889,3.4
0.824927986,92.66889954,1.174460053,542.8900146,73.84200287,49.59640121,10.1
0.985885978,103.6009979,1.427129984,603.5770264,88.55500031,56.53430176,0.0
1.039459944,88.67479706,1.32348001,618.2420044,75.87640381,55.37269974,0.0
0.984848976,83.99120331,1.294080019,626.3569946,75.90529633,57.59080124,0.0
0.914315999,101.2229996,1.39478004,607.210022,86.8864975,56.24440002,0.0
0.965104997,94.85620117,1.305899978,608.6469727,79.94020081,54.39690018,0.0
0.999698997,88.49500275,1.254750013,593.3569946,75.00350189,54.62519836,0.0
0.991647005,80.55039978,1.31329,627.1339722,74.09989929,57.66839981,0.0
1.005460024,86.27899933,1.274629951,591.4039917,74.99469757,54.26990128,0.0
0.991365016,97.20310211,1.371860027,604.3770142,82.36849976,54.45669937,3.4
1.216860056,82.2664032,1.443210006,629.1950073,74.17359924,58.41989899,0.0
1.039520025,87.89720154,1.322219968,618.0980225,75.20770264,55.38589859,6.8
0.85383898,149.4909973,1.712790012,583.2490234,119.9899979,58.00790024,10.1
0.946273029,89.76249695,1.267740011,581.1619873,75.97409821,51.89759827,0.0
0.808479011,143.401001,1.633530021,549.25,115.0400009,55.11750031,10.1
0.982814014,85.66750336,1.292960048,625.6040039,76.56099701,57.52180099,0.0
1.202080011,80.52760315,1.367470026,628.9279785,74.67769623,58.36529922,0.0
1.017840028,81.44499969,1.382609963,652.0949707,74.15470123,60.98529816,0.0
0.986627996,93.59459686,1.332839966,623.8300171,78.32150269,55.53110123,0.0
0.973699987,92.64959717,1.323099971,586.3289795,79.32219696,51.93439865,3.4
0.909255981,104.6900024,1.537109971,604.2130127,90.82550049,55.07699966,0.0
0.950569987,91.83139801,1.306650043,582.0839844,77.27929688,52.02539825,0.0
0.94562602,89.20729828,1.268540025,581.6740112,76.38500214,51.94839859,0.0
0.961201012,91.52230072,1.236279964,588.3289795,74.68229675,51.8370018,0.0
1.007650018,85.70400238,1.289620042,591.9539795,74.72299957,54.32920074,3.4
1.085669994,81.45079803,1.353379965,612.9310303,75.49160004,56.78549957,10.1
1.05606997,87.35299683,1.314990044,614.5139771,74.0943985,55.51119995,0.0
0.98744601,94.12650299,1.347280025,624.6489868,79.01499939,55.62129974,0.0
0.987227023,93.70980072,1.341099977,624.3989868,78.60179901,55.60570145,0.0
1.037639976,87.78359985,1.304690003,617.1749878,74.40339661,55.33769989,0.0
1.03666997,89.33409882,1.305060029,616.835022,75.40709686,55.22579956,0.0
0.977429986,134.9609985,1.831329942,587.0819702,117.1019974,58.06159973,0.0
0.894005001,95.3239975,1.369609952,615.4240112,83.48310089,55.59199905,0.0
1.025650024,84.94139862,1.312459946,617.9539795,74.5358963,56.5992012,3.4
