M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6
157.8739929,4091.459961,45.78139877,670.1060181,255.8040009,145.5590057
176.6560059,4026.149902,39.83520126,657.6119995,238.8110046,143.9100037
158.1820068,4029.790039,39.88600159,744.5460205,238.5449982,159.897995
187.6199951,4033.169922,52.5768013,623.1599731,261.625,151.7680054
158.201004,4020.120117,39.64849854,743.434021,238.5769958,155.220993
148.2960052,4115.22998,46.25839996,692.901001,262.8519897,154.4340057
157.0559998,4001.610107,41.12929916,752.0980225,251.0460052,157.4819946
190.8899994,4065.25,46.92269897,565.7219849,254.6470032,135.197998
201.5809937,4069.879883,54.43069839,578.875,282.8590088,150.9499969
193.8890076,4039.550049,47.47740173,592.5679932,253.1690063,142.2799988
196.128006,4053.570068,50.04399872,582.9290161,264.1170044,144.2200012
163.4259949,4074.840088,44.49879837,662.2709961,250.4940033,143.8860016
186.4880066,4025.080078,41.37360001,556.0789795,233.3619995,126.2819977
155.5119934,4042.429932,40.38180161,736.5130005,244.9340057,153.6459961
172.8269958,4049.080078,41.96900177,653.5949707,240.8099976,141.3630066
165.2960052,4001.22998,37.84230042,751.7399902,228.9080048,160.0480042
193.7700043,4035.909912,48.30189896,604.0150146,254.4640045,144.3670044
229.4369965,3964.909912,64.58899689,633.0939941,283.552002,173.7599945
189.3809967,4010.870117,59.67459869,646.2910156,267.2059937,160.8800049
171.2819977,4026.469971,39.50910187,690.5780029,239.727005,150.1309967
203.2389984,4004.590088,41.48529816,602.9569702,220.1329956,132.9360046
185.8130035,4020.389893,39.71469879,627.6300049,232.5279999,139.1950073
189.7299957,4015.850098,49.39910126,627.6719971,252.3320007,151.1360016
160.8079987,4034.280029,40.96780014,712.5640259,243.6920013,153.2169952
193.9649963,4021.02002,44.98820114,601.3880005,240.6009979,139.2510071
185.7740021,4022.090088,52.5177002,633.815979,257.5740051,152.9420013
242.0919952,4000.919922,67.33350372,594.132019,314.3049927,179.0410004
150.4450073,4066.379883,43.19210052,729.3400269,250.1889954,154.0189972
211.7870026,4037.280029,61.16519928,599.1170044,289.8989868,166.5610046
194.3049927,4042.070068,48.9068985,596.710022,257.5710144,144.246994
171.9600067,4048.090088,42.89559937,648.7009888,244.3739929,144.8439941
198.0140076,4056.02002,52.75740051,586.1729736,271.3890076,146.2030029
184.5440063,3978.23999,56.90739822,681.2860107,263.2049866,160.6340027
166.326004,4007.159912,40.10250092,721.6779785,233.348999,149.8379974
181.4949951,4045.389893,41.85340118,585.4769897,242.7279968,133.1130066
153.3639984,4030.790039,41.77539825,739.6929932,247.6450043,153.7579956
185.8200073,4014.75,38.78739929,646.8070068,233.0140076,141.8679962
197.8910065,3977.449951,36.64970016,700.2540283,244.7449951,155.1040039
175.3939972,4012.669922,37.2201004,702.0200195,235.7420044,150.8419952
191.3910065,4010.719971,46.74969864,628.7109985,244.9810028,145.2230072
183.8070068,4031.060059,41.29570007,613.3759766,235.9199982,138.7779999
184.9880066,4058.199951,54.61640167,606.4819946,269.8559875,149.5319977
190.7890015,4042.340088,58.81750107,624.0369873,274.321991,156.5070038
166.1679993,4054.340088,42.28900146,674.2730103,243.9190063,144.7640076
207.6529999,3983.610107,39.88529968,632.9279785,223.151001,141.7330017
160.1490021,4087.090088,45.68439865,664.0709839,254.548996,144.6150055
218.5549927,3993.709961,39.80220032,581.8670044,200.8280029,125.6149979
207.8899994,4076.969971,55.52159882,577.026001,289.6799927,155.3809967
200.9889984,4005.300049,39.50830078,556.5670166,205.9100037,122.6039963
166.4880066,4006.530029,38.72129822,726.5869751,233.2440033,151.6940002
231.4230042,3989.23999,39.26330185,564.6660156,190.5330048,118.3099976
197.6009979,3987.939941,36.68360138,666.4689941,233.7380066,143.9579926
192.9779968,4043.399902,52.09930038,600.6019897,261.8919983,145.9210052
162.8910065,4004.399902,38.44020081,752.6489868,229.3159943,159.4819946
146.0480042,4072.169922,42.8689003,718.0750122,249.5339966,151.7599945
173.1179962,4063.870117,45.10919952,622.7249756,248.7420044,141.8110046
157.1470032,4029.790039,40.98519897,716.4899902,242.0980072,149.1699982
193.7940063,4052.290039,47.95679855,577.0250244,257.9630127,141.2480011
154.8990021,4037.75,41.2193985,736.6970215,245.1589966,151.4459991
171.970993,4019.530029,38.54389954,699.8989868,237.6159973,150.9539948
156.2079926,4036.070068,40.08959961,738.7150269,242.9689941,154.1040039
150.7259979,4066.280029,43.20809937,729.1199951,250.0240021,153.8970032
