M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
214.1640015,2667.969971,47.69369888,413.9020081,186.2330017,15.9282999,165.9140015,2693.899902,57.73410034,311.7090149,184.0039978,8.860560417,181.3470001,41.78070068,16.90979958,151.0359955,52.47269821,17.08839989,1,0,0,0
168.8099976,2724.959961,42.46989822,423.5700073,188.1190033,14.24310017,113.6549988,2727.98999,51.48310089,323.6149902,184.0379944,8.024700165,174.3569946,43.59280014,17.04590034,148.8829956,55.1352005,17.44199944,1,0,0,0
360.4679871,2410.959961,70.34889984,304.1170044,203.1230011,24.23649979,346.1170044,2574.199951,75.48860168,265.3619995,190.2059937,12.39319992,168.5740051,34.60229874,16.8701992,140.8049927,47.42750168,15.22410011,1,0,0,0
342.8359985,3478.01001,48.94120026,545.1870117,159.8999939,13.56019974,311.855011,3572.77002,57.82640076,464.2810059,159.4609985,7.782430172,172.6820068,63.60400009,20.28919983,149.6119995,79.22519684,19.32819939,0,0,0,1
299.9089966,3485.310059,48.90409851,520.0969849,169.8139954,11.89939976,316.8519897,3100.290039,66.33339691,377.8049927,144.7599945,5.153920174,156.9689941,61.16839981,19.95120049,146.6289978,74.93139648,17.86580086,0,0,0,1
505.7950134,2327.800049,97.67350006,306.6640015,226.4570007,31.11070061,512.6900024,2499.820068,99.78929901,252.375,192.6199951,14.51650047,190.8840027,31.2133007,17.14859962,140.5800018,44.11029816,16.68420029,0,0,0,1
320.2929993,3490.340088,49.93519974,514.6389771,167.6690063,12.21109962,331.625,3219.76001,64.15000153,399.6480103,147.7559967,5.837679863,155.5149994,61.56620026,19.9197998,145.4170074,75.91069794,17.45910072,0,0,0,1
261.9970093,2487.810059,64.21019745,343.006012,211.4640045,21.65920067,249.6549988,2588.929932,73.32720184,278.8640137,191.8370056,11.75160027,174.2400055,37.24449921,17.09970093,142.2890015,47.05920029,16.09950066,1,0,0,0
458.6799927,2477.889893,86.43430328,354.8569946,213.8329926,26.32670021,448.5650024,2565.120117,90.67980194,271.2869873,189.8289948,12.62709999,183.253006,35.46160126,16.82869911,141.8589935,47.83760071,15.65450001,1,0,0,0
115.7429962,2794.780029,38.56480026,426.8720093,190.5429993,12.47140026,62.56439972,2765.22998,44.9151001,338.8729858,183.7709961,7.115540028,164.8679962,45.39920044,17.23690033,147.0180054,57.88150024,17.88809967,1,0,0,0
