H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
62.07640076,2914.23999,5.344039917,58.39020157,45.25249863,4.712180138,73.83229828,2799.169922,6.349060059,67.07830048,45.46749878,4.143189907,172.5469971,57.9076004,19.8946991,158.2440033,69.42980194,21.43490028,0,0,0,1
61.65510178,3131.72998,5.583199978,63.52080154,46.41479874,4.87045002,61.90769958,3124.469971,6.300489902,67.30680084,46.8158989,4.098450184,168.4889984,57.88949966,20.41419983,153.0310059,70.48829651,21.20779991,0,0,0,1
116.223999,2403.790039,15.9453001,74.60169983,65.03849792,56.96519852,174.8869934,2383.610107,25.67200089,61.34870148,57.59790039,43.90280151,176.8560028,35.80469894,17.09210014,142.1920013,45.69670105,16.00620079,1,0,0,0
97.12120056,2171.909912,12.24250031,59.08810043,43.31079865,31.69720078,66.97840118,2305.139893,6.867479801,60.76169968,46.74060059,24.42959976,172.6150055,44.93080139,17.12339973,148.477005,57.56150055,17.87319946,1,0,0,0
62.94459915,2900.5,5.43817997,57.58100128,36.80329895,4.718540192,66.62999725,2872.820068,5.803820133,66.86889648,36.70650101,4.140679836,172.7640076,57.14709854,19.83589935,159.2299957,67.25209808,21.20610046,0,0,0,1
93.45439911,2242.780029,11.78460026,61.22140121,44.12450027,34.7140007,86.57230377,2311.679932,11.27649975,60.99259949,42.68659973,26.71459961,163.9029999,44.03350067,17.15789986,145.8910065,55.07970047,17.16340065,1,0,0,0
92.16850281,2354.439941,11.68239975,64.79820251,52.95819855,42.30690002,99.915802,2395.909912,13.63790035,61.21649933,50.22880173,32.63800049,163.9579926,41.26890182,17.02079964,142.8939972,53.85620117,16.62770081,1,0,0,0
85.7562027,2650.540039,10.30529976,70.52999878,63.57759857,38.09820175,86.06189728,2691.72998,11.62580013,69.99849701,62.06420135,30.08209991,162.2850037,49.21720123,17.66160011,144.253006,61.3268013,18.14819908,1,0,0,0
82.68000031,2487.620117,9.440850258,62.07180023,53.542099,31.55599976,80.0007019,2523.790039,9.783659935,62.28150177,52.30899811,24.97540092,164.3500061,48.94400024,17.6760006,147.6230011,60.85820007,18.0230999,1,0,0,0
98.50289917,2194.050049,12.77429962,64.25109863,54.17839813,42.23770142,102.3239975,2220.600098,13.54230022,61.20959854,52.5646019,32.66210175,160.7250061,40.30279922,16.9083004,141.0350037,52.28900146,15.96549988,1,0,0,0
134.2539978,1477.569946,18.76840019,66.11840057,82.07620239,47.29219818,138.6170044,1291.349976,21.75359917,60.520401,82.18029785,36.62469864,186.7200012,34.30789948,16.9083004,142.1410065,46.25600052,15.97799969,1,0,0,0
61.88130188,2895.689941,5.326280117,58.1216011,40.60969925,4.681960106,71.19139862,2791.97998,6.024990082,67.02619934,40.76979828,4.135739803,173.897995,57.07870102,19.87290001,158.8999939,67.76329803,21.52759933,0,0,0,1
125.9749985,2322.929932,17.62050056,77.69580078,71.78019714,64.72799683,184.4450073,2237.0,28.82920074,61.18500137,64.23660278,49.74710083,182.4459991,32.71920013,16.76679993,142.753006,44.3484993,15.6736002,0,0,0,1
135.8190002,1540.069946,19.16839981,68.77960205,99.64189911,51.86090088,155.7480011,1312.400024,26.30220032,60.69150162,89.44380188,39.92219925,191.3600006,32.03110123,17.09810066,141.3110046,44.09159851,16.58799934,0,0,0,1
