M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
146.9850006,4048.030029,31.50810051,403.7219849,135.4730072,14.5965004,173.7610016,3994.080078,41.70970154,361.0249939,120.8990021,7.673699856,245.3289948,94.8082962,43.24100113,221.2330017,105.887001,37.90449905,1,0,0,0
140.9340057,4223.459961,33.14799881,397.7049866,129.5399933,15.49090004,176.6069946,4209.0,42.69839859,344.7720032,116.4449997,7.877510071,244.6950073,90.79660034,42.37220001,217.0050049,106.6490021,35.27550125,1,0,0,0
96.27020264,4322.620117,31.00699997,411.7520142,133.3029938,16.56539917,126.961998,4349.029785,42.09629822,348.2900085,121.7659988,8.966219902,238.7689972,106.012001,39.67179871,218.6320038,119.8980026,38.95640182,1,0,0,0
134.2369995,4141.180176,32.0984993,406.5840149,131.3179932,15.27890015,168.0410004,4119.700195,41.55379868,351.1270142,117.6039963,8.074500084,246.8990021,92.6772995,41.74209976,216.5299988,107.8769989,38.83300018,1,0,0,0
180.4609985,4122.279785,32.10430145,403.4989929,134.3410034,14.70619965,209.5910034,4091.51001,41.73730087,356.2900085,119.5080032,7.642139912,245.4069977,92.87590027,42.90409851,216.2910004,105.4329987,37.54339981,1,0,0,0
85.15440369,4115.109863,31.14649963,401.07901,129.5480042,14.57670021,124.1669998,4053.72998,42.26639938,356.4140015,120.1610031,8.774580002,235.5480042,99.70339966,42.15000153,228.4360046,115.3840027,42.54629898,1,0,0,0
104.5189972,4272.049805,30.8491993,401.6679993,127.6110001,15.91380024,128.602005,4299.060059,41.04320145,345.0660095,118.1169968,9.002169609,230.3829956,103.0,38.50450134,213.1790009,116.0899963,38.66469955,1,0,0,0
86.0042038,4009.030029,30.20829964,405.9750061,134.2669983,14.36450005,119.1190033,3939.100098,41.01150131,363.1919861,123.2860031,8.827690125,231.1499939,99.64530182,41.60290146,227.6519928,113.0630035,42.2478981,1,0,0,0
133.3220062,4301.169922,31.99889946,399.5150146,133.4199982,14.93830013,168.5570068,4334.620117,41.77299881,348.4190063,120.7200012,7.845180035,238.6439972,102.6589966,36.77970123,208.904007,113.3980026,31.30209923,1,0,0,0
78.41290283,4271.589844,31.55789948,402.6749878,121.8320007,14.85529995,115.8470001,4249.649902,41.55400085,346.1069946,115.1839981,9.515789986,228.3679962,99.36669922,39.09960175,215.9230042,117.3349991,40.35400009,0,0,0,1
