Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4,PhosphorusTreatment
0.270240009,38.37749863,0.950416028,238.1690063,27.71910095,6.072820187,0.275067002,31.16950035,0.760713995,199.6649933,20.75079918,3.873389959,245.3289948,94.8082962,43.24100113,221.2330017,105.887001,37.90449905,1,0,0,0,0.0
0.294212013,48.60559845,0.851437986,274.4649963,31.35989952,6.663559914,0.371504992,38.3404007,0.745625973,205.1260071,24.85720062,3.875299931,244.6950073,90.79660034,42.37220001,217.0050049,106.6490021,35.27550125,1,0,0,0,0.0
0.463360012,46.50989914,0.935109973,284.6839905,30.61199951,7.419380188,0.476321995,35.75780106,0.762417972,212.3500061,25.0727005,4.361839771,238.7689972,106.012001,39.67179871,218.6320038,119.8980026,38.95640182,1,0,0,0,0.0
0.299641013,47.4516983,0.853486001,278.2770081,30.80220032,6.557849884,0.346302003,37.57229996,0.745513022,208.8739929,24.10009956,3.909759998,246.8990021,92.6772995,41.74209976,216.5299988,107.8769989,38.83300018,1,0,0,0,16.9
0.287795007,46.36349869,0.928753972,250.9539948,30.41500092,6.170680046,0.297241002,35.85039902,0.757643998,200.121994,24.18429947,3.811630011,245.4069977,92.87590027,42.90409851,216.2910004,105.4329987,37.54339981,1,0,0,0,22.5
0.331333995,38.30020142,0.877061009,261.9930115,26.48360062,6.436170101,0.38905099,31.32659912,0.85206002,212.4680023,21.18700027,4.195970058,235.5480042,99.70339966,42.15000153,228.4360046,115.3840027,42.54629898,1,0,0,0,28.2
0.458094001,46.48089981,0.924414992,271.2470093,29.75989914,7.066999912,0.491746008,36.67179871,0.764989972,212.5319977,24.9510994,4.325389862,230.3829956,103.0,38.50450134,213.1790009,116.0899963,38.66469955,1,0,0,0,16.9
0.317952991,33.48759842,0.898397982,247.4349976,25.13229942,6.403260231,0.310885996,28.57130051,0.728964984,207.0509949,19.20929909,4.318640232,231.1499939,99.64530182,41.60290146,227.6519928,113.0630035,42.2478981,1,0,0,0,0.0
0.44234401,51.3144989,0.886624992,279.3840027,32.38280106,6.470839977,0.428207994,39.83390045,0.756555974,207.3480072,26.49690056,3.992830038,238.6439972,102.6589966,36.77970123,208.904007,113.3980026,31.30209923,1,0,0,0,0.0
0.413035989,41.37870026,0.865864992,269.8240051,28.12199974,6.758570194,0.515681028,34.16419983,0.757413983,215.4960022,23.30470085,4.466110229,228.3679962,99.36669922,39.09960175,215.9230042,117.3349991,40.35400009,0,0,0,1,0.0
0.321547002,40.17509842,0.881757021,286.5310059,26.89760017,6.587940216,0.394513011,32.66289902,0.733506978,213.5500031,21.53639984,4.318470001,228.7610016,95.98290253,41.25040054,231.6360016,116.1190033,41.77360153,1,0,0,0,0.0
0.453173995,44.91400146,0.936213017,260.5979919,28.07110023,6.297140121,0.441246003,37.62369919,0.757119,214.9559937,24.59320068,4.288479805,226.4459991,97.3660965,40.63579941,217.3059998,112.7649994,40.73139954,1,0,0,0,0.0
0.249568999,41.50690079,0.788704991,242.9190063,26.35890007,5.473189831,0.243019,33.11840057,0.712553024,200.529007,20.20859909,3.872649908,221.6580048,89.25360107,133.3190002,214.0410004,103.3050003,46.39319992,1,0,0,0,16.9
0.458299994,46.85680008,0.925692022,270.9849854,29.89389992,7.077809811,0.492148012,36.95069885,0.76551199,212.4799957,25.04210091,4.318600178,230.4369965,102.8539963,38.49029922,212.8990021,115.8779984,38.64770126,1,0,0,0,16.9
0.180282995,48.0381012,0.639338017,259.8519897,27.11730003,5.598750114,0.200452998,39.61339951,0.553835988,209.0410004,22.67639923,3.736829996,220.9629974,87.84850311,132.4360046,231.0169983,106.026001,46.97330093,1,0,0,0,28.2
0.279401988,39.98490143,0.824854016,246.1950073,25.93790054,5.527510166,0.279031992,32.04919815,0.775561988,200.5469971,19.71500015,3.930860043,222.4909973,92.3361969,133.5870056,217.0339966,104.5110016,46.49649811,1,0,0,0,16.9
0.397819012,47.10229874,0.87409699,274.6759949,30.40229988,6.626470089,0.419102997,36.87239838,0.770744979,209.098999,24.66939926,4.076769829,239.2109985,99.71440125,39.71879959,216.9259949,113.6240005,36.77090073,1,0,0,0,28.2
0.265163004,46.39070129,0.66741699,265.223999,27.83769989,5.702109814,0.381249994,36.9054985,0.873070002,208.6849976,21.83270073,3.893899918,220.0359955,90.98130035,137.5110016,203.7799988,103.8949966,47.11650085,0,0,0,1,28.2
0.345995009,53.5583992,0.94216001,267.2409973,32.56980133,6.200799942,0.292542011,37.6086998,0.877295017,208.2910004,24.74340057,3.664599895,246.8170013,85.7696991,41.75,213.9210052,102.7949982,38.40129852,1,0,0,0,16.9
0.404240012,45.70830154,0.710997999,279.6589966,28.17790031,5.749660015,0.545171976,37.10699844,1.002470016,208.4029999,23.90929985,4.090650082,215.3059998,103.5419998,131.9470062,199.1239929,111.7839966,40.10609818,1,0,0,0,0.0
0.259819001,46.82740021,0.664541006,262.8590088,27.87010002,5.690999985,0.350006998,37.5522995,0.821434021,208.6790009,22.1590004,3.887979984,220.2519989,90.11049652,136.9960022,205.102005,103.8089981,47.11880112,0,0,0,1,28.2
0.454183996,42.21889877,0.876739979,273.1279907,27.83300018,6.742259979,0.510460019,34.43610001,0.84525001,217.3179932,23.87109947,4.487589836,220.7089996,104.8379974,134.7920074,209.8249969,117.2959976,48.63209915,0,0,0,1,16.9
0.236072004,45.76459885,0.740732014,250.7310028,27.44149971,5.458499908,0.272630006,35.33819962,0.752115011,200.8630066,21.75309944,3.842639923,219.8000031,87.39779663,135.8509979,208.022995,102.4169998,46.27420044,0,0,0,1,16.9
0.404415011,41.89429855,0.874421,274.3210144,28.10910034,6.753089905,0.477533013,34.10889816,0.745688975,215.5,23.3295002,4.495930195,229.173996,99.72219849,39.1853981,218.8329926,116.9960022,40.41559982,1,0,0,0,0.0
0.402280986,41.88850021,1.000550032,274.0350037,27.80590057,6.521039963,0.419120997,33.40000153,0.760617018,214.8070068,22.6942997,4.28839016,233.128006,97.15660095,43.2541008,223.8639984,113.3099976,41.66839981,1,0,0,0,22.5
0.233288005,48.27050018,0.654810011,261.0740051,27.91589928,5.661349773,0.260419995,39.39690018,0.66595,208.7689972,22.73929977,3.861939907,220.673996,87.55090332,134.8930054,213.2879944,104.0709991,47.07170105,1,0,0,0,28.2
0.333932012,34.70489883,0.926818013,254.5509949,25.20969963,6.355309963,0.322338015,28.42009926,0.761427999,207.3650055,18.98690033,4.250150204,228.6790009,97.64550018,42.82910156,224.8059998,111.2870026,41.36370087,0,0,0,1,0.0
0.30933699,47.65200043,0.882759988,257.5700073,31.1480999,6.38973999,0.319029003,37.18470001,0.757752001,204.2169952,24.66049957,3.853140116,247.6730042,93.86430359,42.24549866,215.7539978,107.1289978,39.77930069,0,0,0,1,0.0
