H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
48.27310181,2100.75,4.53098011,65.3022995,41.53089905,6.044159889,55.72290039,2119.189941,4.827750206,48.24879837,36.9178009,1.894610047,241.8849945,97.68080139,37.28530121,210.5850067,109.5530014,31.56620026,1,0,0,0
35.93059921,2033.050049,4.504839897,67.76190186,42.44960022,2.638600111,41.13869858,2019.849976,4.935790062,53.83769989,40.17699814,1.643030047,233.201004,97.15670013,43.27299881,224.0169983,113.1389999,41.67300034,1,0,0,0
53.86989975,1952.609985,4.431709766,64.69110107,41.40169907,2.621969938,56.30759811,1976.23999,4.685760021,50.07180023,35.61750031,1.643560052,245.3370056,92.37680054,42.93330002,216.1869965,105.1500015,37.5788002,1,0,0,0
56.04370117,1907.27002,4.117330074,66.62650299,39.80289841,1.759770036,62.30350113,1933.540039,4.797369957,52.79859924,35.32210159,1.493530035,221.9210052,89.07720184,132.654007,214.8910065,103.1169968,46.4068985,1,0,0,0
39.26950073,2150.870117,4.654950142,66.6740036,39.89419937,2.975090027,44.4571991,2172.01001,4.950789928,50.30670166,37.64799881,1.699390054,215.3009949,103.2969971,132.1529999,199.0919952,111.6050034,40.12450027,1,0,0,0
42.61769867,1944.650024,4.012360096,69.61710358,42.34189987,1.812430024,50.38019943,1959.420044,4.791240215,58.13909912,38.16360092,1.616289973,229.5610046,99.92479706,43.00230026,230.6629944,111.5599976,41.53850174,0,0,0,1
47.44240189,2070.25,4.531610012,64.76139832,41.65449905,4.258049965,54.14920044,2094.330078,4.944059849,48.48759842,36.72689819,1.778669953,240.4230042,93.67220306,39.52930069,210.5240021,106.3069992,33.46279907,1,0,0,0
43.85760117,1951.550049,4.169109821,67.7315979,41.95880127,1.935789943,49.90729904,1963.390015,4.753479958,56.65000153,37.89039993,1.598889947,231.2640076,99.9292984,41.63499832,228.5399933,113.2030029,42.27259827,1,0,0,0
33.29790115,2221.25,4.700980186,68.03170013,42.43209839,4.315830231,38.81669998,2204.189941,4.971429825,51.61410141,40.56529999,1.799499989,225.1139984,108.8669968,130.8410034,208.4550018,119.5660019,48.24319839,0,0,0,1
45.52750015,1980.459961,4.394460201,67.74500275,41.98759842,2.812999964,50.53659821,2007.430054,4.681879997,51.16770172,36.91450119,1.675629973,246.7250061,91.92410278,41.6957016,215.4309998,107.0770035,38.70959854,1,0,0,0
45.68209839,2149.459961,4.500189781,66.00669861,41.62459946,6.458310127,54.09349823,2165.590088,4.831369877,47.81740189,37.24010086,1.951599956,241.7299957,98.97090149,37.18830109,210.2630005,110.3840027,31.48259926,1,0,0,0
42.23210144,2143.01001,4.702390194,64.25189972,41.40629959,4.402860165,48.88050079,2125.199951,4.990230083,48.87530136,38.08060074,1.781769991,233.0720062,99.35009766,36.29850006,207.3679962,111.3219986,30.94669914,1,0,0,0
34.74129868,1963.619995,4.290480137,69.19660187,41.68790054,2.265510082,40.89699936,1976.900024,4.974850178,55.4776001,40.11299896,1.623620033,228.7969971,94.93779755,41.2480011,231.0740051,116.1070023,41.76279831,1,0,0,0
35.9844017,2096.060059,4.512879848,65.08070374,41.54069901,2.966020107,41.97529984,2080.399902,4.990670204,52.9455986,40.00149918,1.806280017,226.7799988,99.05519867,40.61800003,218.2129974,114.401001,40.76010132,1,0,0,0
35.66070175,2128.969971,4.533649921,68.93540192,42.69189835,3.554850101,41.30810165,2121.419922,4.93103981,53.64649963,40.1493988,1.735730052,219.9329987,104.9990005,139.3059998,207.8699951,116.4520035,48.86989975,0,0,0,1
36.09090042,2181.5,4.463449955,69.56900024,43.6114006,5.212170124,42.59659958,2171.5,4.869110107,50.85630035,39.87779999,1.915609956,238.8869934,105.9469986,39.67850113,218.772995,119.8570023,38.95569992,1,0,0,0
41.38019943,1944.329956,4.056879997,68.97669983,42.11980057,1.826279998,48.80530167,1960.119995,4.754489899,58.48889923,38.26200104,1.605790019,231.9559937,101.9199982,41.85250092,234.2749939,113.75,42.42829895,1,0,0,0
42.86249924,2121.47998,4.541399956,69.59030151,39.76210022,2.576600075,48.12450027,2146.939941,5.088059902,50.89889908,36.98089981,1.501719952,210.6569977,101.9020004,142.7079926,190.8869934,107.5680008,40.4659996,0,0,0,1
41.18280029,1941.030029,4.518630028,67.08399963,40.38769913,2.160650015,47.2621994,1975.48999,4.877160072,50.77339935,36.5155983,1.486220002,219.8650055,89.10019684,137.6860046,210.3329926,104.5550003,43.99200058,1,0,0,0
55.31669998,1970.140015,4.280910015,68.08409882,39.45370102,1.915799975,60.31620026,1995.369995,4.766600132,49.99290085,35.25059891,1.489629984,221.697998,90.02490234,137.1329956,206.7299957,104.4749985,48.61740112,0,0,0,1
50.35200119,1953.72998,4.356339931,67.5184021,39.96490097,1.960839987,56.06679916,1985.829956,4.806879997,50.26369858,35.37919998,1.482769966,220.348999,89.58260345,136.647995,206.2709961,103.8119965,47.11429977,1,0,0,0
48.69079971,2077.189941,4.562210083,64.89150238,41.41059875,5.354179859,56.46879959,2107.959961,4.965499878,48.46870041,36.77659988,1.794469953,238.2149963,96.63929749,36.80339813,209.9089966,108.6640015,31.22450066,1,0,0,0
40.17539978,1934.849976,4.600930214,66.47260284,39.84809875,2.204030037,45.90090179,1962.030029,5.058990002,50.63119888,36.66400146,1.498360038,214.5269928,87.63349915,135.1580048,210.3710022,104.6460037,42.36970139,1,0,0,0
40.2541008,2167.090088,4.669879913,64.61190033,41.54880142,5.401440144,47.99140167,2187.709961,4.837279797,49.08819962,38.32009888,1.973659992,238.5879974,102.6839981,36.77470016,208.875,113.4250031,31.30069923,1,0,0,0
46.00490189,1976.550049,4.245130062,68.53440094,40.99309921,2.047800064,51.74309921,1971.329956,4.873320103,53.5304985,37.27949905,1.498749971,224.4600067,93.69519806,108.7289963,216.628006,107.3219986,46.44580078,0,0,0,1
56.64839935,1909.98999,4.338429928,64.43440247,41.28590012,1.887189984,57.62480164,1930.339966,4.67261982,51.45769882,35.06669998,1.559180021,244.572998,93.27020264,43.01259995,215.8549957,104.3099976,37.73339844,1,0,0,0
40.96020126,1957.290039,4.144629955,68.67829895,42.09140015,2.00751996,47.62450027,1969.420044,4.757530212,57.13750076,38.44260025,1.61026001,231.5339966,100.8180008,41.70080185,231.1080017,114.2389984,42.32509995,1,0,0,0
35.70280075,1977.660034,4.387380123,70.02110291,43.27980042,2.335210085,41.38909912,1984.300049,4.876860142,55.32149887,40.01139832,1.617460012,238.6950073,96.46469879,42.74000168,228.9340057,115.2279968,41.32619858,1,0,0,0
47.2322998,2115.439941,4.523849964,65.48390198,41.55590057,6.146659851,55.05590057,2133.310059,4.829100132,48.11349869,37.02109909,1.911679983,241.7830048,97.8707962,37.25579834,210.4830017,109.7450027,31.53709984,1,0,0,0
34.84080124,2035.420044,4.534920216,68.38289642,42.09460068,2.603060007,39.9654007,2014.430054,4.854430199,53.89289856,40.22029877,1.666030049,230.9869995,97.07219696,40.86240005,228.4570007,116.2340012,41.4966011,1,0,0,0
51.13439941,1913.050049,4.583230019,64.44999695,41.15390015,2.155580044,54.76499939,1941.780029,4.64425993,50.14509964,35.09000015,1.597419977,248.1929932,90.44460297,42.43190002,216.2960052,105.5530014,39.98410034,1,0,0,0
