M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4,PhosphorusTreatment
174.9089966,4206.339844,32.3185997,399.6600037,135.8580017,14.99989986,219.6990051,4230.910156,41.79380035,349.5180054,120.4919968,7.74229002,241.8849945,97.68080139,37.28530121,210.5850067,109.5530014,31.56620026,1,0,0,0,0.0
81.51270294,4213.819824,31.60300064,398.9169922,125.7099991,14.34529972,115.1090012,4189.609863,42.08309937,348.2789917,116.7929993,8.792819977,233.201004,97.15670013,43.27299881,224.0169983,113.1389999,41.67300034,1,0,0,0,22.5
178.822998,4111.910156,32.15660095,403.480011,134.0859985,14.67700005,207.4389954,4077.689941,41.7336998,356.9089966,119.3590012,7.629670143,245.3370056,92.37680054,42.93330002,216.1869965,105.1500015,37.5788002,1,0,0,0,22.5
165.1900024,3991.77002,29.93510056,397.9849854,136.8220062,12.9744997,221.4750061,3902.629883,42.40000153,362.6879883,121.4769974,8.374420166,221.9210052,89.07720184,132.654007,214.8910065,103.1169968,46.4068985,1,0,0,0,0.0
119.9800034,4291.990234,30.95619965,393.1180115,127.689003,13.1935997,153.2120056,4329.390137,42.42219925,349.7780151,114.5650024,8.545379639,215.3009949,103.2969971,132.1529999,199.0919952,111.6050034,40.12450027,1,0,0,0,0.0
70.00209808,4007.280029,29.63610077,409.8439941,135.8339996,14.27089977,108.7330017,3921.330078,42.13069916,362.4200134,123.7770004,8.874810219,229.5610046,99.92479706,43.00230026,230.6629944,111.5599976,41.53850174,0,0,0,1,0.0
176.2079926,4195.040039,32.83010101,395.6520081,130.9689941,15.57240009,212.9949951,4211.189941,42.89690018,347.07901,117.2259979,7.81926012,240.4230042,93.67220306,39.52930069,210.5240021,106.3069992,33.46279907,1,0,0,0,28.2
82.04579926,4009.320068,30.14419937,405.9849854,134.2189941,14.37460041,115.3389969,3937.800049,41.01499939,363.006012,123.2600021,8.843870163,231.2640076,99.9292984,41.63499832,228.5399933,113.2030029,42.27259827,1,0,0,0,0.0
77.43000031,4343.910156,31.39089966,398.7229919,127.9380035,14.78829956,101.1439972,4370.410156,42.28480148,348.9079895,118.9440002,9.067770004,225.1139984,108.8669968,130.8410034,208.4550018,119.5660019,48.24319839,0,0,0,1,0.0
145.1130066,4146.259766,32.29729843,406.3760071,130.595993,15.2560997,178.2030029,4129.089844,41.56380081,350.7070007,117.0810013,8.01364994,246.7250061,91.92410278,41.6957016,215.4309998,107.0770035,38.70959854,1,0,0,0,16.9
170.2359924,4242.100098,32.26279831,399.7430115,136.1239929,15.10379982,214.9149933,4273.890137,41.8044014,347.2349854,120.5879974,7.774330139,241.7299957,98.97090149,37.18830109,210.2630005,110.3840027,31.48259926,1,0,0,0,0.0
