Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
0.387798995,54.4720993,0.890758991,280.4020081,33.5345993,6.492249966,0.378996015,41.19609833,0.753636003,206.5059967,27.49119949,3.871030092,241.8849945,97.68080139,37.28530121,210.5850067,109.5530014,31.56620026,1,0,0,0
0.40435499,41.89419937,1.004780054,273.6239929,27.79430008,6.511750221,0.415381998,33.36610031,0.761839986,214.7929993,22.66699982,4.283689976,233.201004,97.15670013,43.27299881,224.0169983,113.1389999,41.67300034,1,0,0,0
0.274325997,45.56190109,0.921905994,247.9470062,30.08699989,6.130040169,0.290695995,35.27809906,0.759392977,200.0690002,23.75029945,3.802510023,245.3370056,92.37680054,42.93330002,216.1869965,105.1500015,37.5788002,1,0,0,0
0.248742998,40.24840164,0.803644001,240.7290039,26.17790031,5.468959808,0.232167006,31.72859955,0.71655798,200.3910065,19.50169945,3.881580114,221.9210052,89.07720184,132.654007,214.8910065,103.1169968,46.4068985,1,0,0,0
0.401445001,45.78290176,0.709901989,279.7200012,28.17630005,5.746689796,0.544044018,37.18999863,1.004860044,208.3769989,23.88750076,4.086699963,215.3009949,103.2969971,132.1529999,199.0919952,111.6050034,40.12450027,1,0,0,0
0.350398988,31.1189003,0.97182399,250.0420074,24.20070076,6.394959927,0.30794999,26.67490005,0.799561977,207.4550018,18.04150009,4.299930096,229.5610046,99.92479706,43.00230026,230.6629944,111.5599976,41.53850174,0,0,0,1
0.381004989,54.74629974,0.894388974,271.3479919,33.22880173,6.577539921,0.380181015,42.0401001,0.772536993,204.677002,26.57900047,3.80230999,240.4230042,93.67220306,39.52930069,210.5240021,106.3069992,33.46279907,1,0,0,0
0.323258013,33.07289886,0.907058001,248.2369995,25.01300049,6.420619965,0.312741011,28.35880089,0.738454998,207.151001,19.0821991,4.329360008,231.2640076,99.9292984,41.63499832,228.5399933,113.2030029,42.27259827,1,0,0,0
0.496369004,42.58990097,0.877031982,274.2789917,28.10090065,6.635290146,0.525883973,33.90409851,0.856950998,215.4409943,24.01779938,4.410349846,225.1139984,108.8669968,130.8410034,208.4550018,119.5660019,48.24319839,0,0,0,1
0.306777,48.63259888,0.860503972,272.7749939,31.04310036,6.49846983,0.344976991,38.05799866,0.761906028,208.625,24.32139969,3.868309975,246.7250061,91.92410278,41.6957016,215.4309998,107.0770035,38.70959854,1,0,0,0
0.42068699,56.85820007,0.90486002,289.6260071,34.7010994,6.629189968,0.413702011,43.35589981,0.757165015,206.6470032,27.8397007,3.877150059,241.7299957,98.97090149,37.18830109,210.2630005,110.3840027,31.48259926,1,0,0,0
0.40685001,51.72689819,0.874275029,274.8340149,32.44110107,6.319489956,0.434103996,40.66230011,0.767268002,205.8130035,26.43370056,3.896420002,233.0720062,99.35009766,36.29850006,207.3679962,111.3219986,30.94669914,1,0,0,0
0.313035011,40.56330109,0.876576006,288.9299927,27.14710045,6.605519772,0.397320002,32.92679977,0.727747023,213.6009979,21.66200066,4.318659782,228.7969971,94.93779755,41.2480011,231.0740051,116.1070023,41.76279831,1,0,0,0
0.440225989,43.38439941,0.926804006,266.006012,27.91889954,6.399310112,0.453298002,35.93809891,0.757035017,215.0330048,24.03440094,4.329669952,226.7799988,99.05519867,40.61800003,218.2129974,114.401001,40.76010132,1,0,0,0
0.456241012,42.48509979,0.876618028,273.4190063,27.72030067,6.737589836,0.518730998,34.86230087,0.887692988,217.3609924,23.9878006,4.494939804,219.9329987,104.9990005,139.3059998,207.8699951,116.4520035,48.86989975,0,0,0,1
0.462110996,46.62409973,0.936083972,285.0079956,30.67180061,7.429279804,0.475385994,35.81309891,0.762776971,212.326004,25.07379913,4.360000134,238.8869934,105.9469986,39.67850113,218.772995,119.8570023,38.95569992,1,0,0,0
0.35255301,30.56019974,0.961463988,249.8739929,24.125,6.497059822,0.316888005,26.81780052,0.793742001,207.5659943,18.42709923,4.384880066,231.9559937,101.9199982,41.85250092,234.2749939,113.75,42.42829895,1,0,0,0
0.378987014,47.30049896,0.681829989,288.3739929,28.12960052,5.704750061,0.616801023,40.06620026,1.229269981,207.0789948,23.82780075,4.044950008,210.6569977,101.9020004,142.7079926,190.8869934,107.5680008,40.4659996,0,0,0,1
0.269513994,49.27560043,0.663181007,276.2659912,28.80559921,5.849810123,0.349595994,39.92350006,0.759917974,206.1430054,23.47780037,3.967950106,219.8650055,89.10019684,137.6860046,210.3329926,104.5550003,43.99200058,1,0,0,0
