M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4,PhosphorusTreatment
413.9530029,3346.330078,43.39649963,450.75,258.125,16.91939926,483.8999939,3415.399902,56.2580986,414.9419861,269.2449951,10.20709991,209.9250031,64.42030334,38.4864006,196.2599945,74.16210175,41.10620117,0,0,0,1,0.0
295.0329895,3746.26001,51.55739975,462.1270142,250.5659943,16.94050026,398.3190002,3727.379883,65.25939941,417.7390137,237.5399933,12.30819988,221.6589966,88.49459839,39.53079987,227.2019958,94.24320221,42.95859909,0,0,0,1,0.0
390.9909973,3404.830078,43.59579849,453.7479858,253.5350037,17.32679939,462.8299866,3452.090088,57.47679901,415.6549988,256.6610107,10.6310997,212.2630005,65.50479889,37.97340012,199.6640015,77.98049927,40.71590042,0,0,0,1,9.0
309.5069885,3578.300049,42.14080048,432.3089905,219.8540039,14.68719959,362.7229919,3561.189941,56.10630035,396.5889893,211.5809937,9.054389954,214.0899963,71.70770264,38.9129982,203.1179962,79.8792038,41.46889877,1,0,0,0,27.0
322.6579895,3503.800049,42.45230103,434.4079895,229.6130066,15.23120022,388.4689941,3514.439941,57.42810059,398.7770081,232.1459961,9.241820335,219.2519989,68.88510132,39.73149872,200.7700043,81.37030029,42.90140152,1,0,0,0,9.0
281.9899902,3774.790039,51.19879913,457.3900146,231.223999,15.52750015,354.3779907,3787.610107,63.67670059,414.9330139,221.151001,10.34799957,220.1340027,84.9720993,39.53659821,217.602005,94.16480255,42.85079956,1,0,0,0,0.0
319.5140076,3561.76001,43.15480042,439.0950012,231.477005,15.43410015,380.5490112,3559.120117,59.01779938,399.7539978,234.4080048,9.168530464,222.720993,71.14589691,40.52280045,204.223999,81.40110016,43.29859924,1,0,0,0,9.0
275.6059875,3767.790039,46.27819824,437.1419983,206.8569946,13.60229969,324.7399902,3780.26001,60.05519867,405.1359863,201.6230011,9.02270031,218.0579987,75.52100372,39.40819931,203.0070038,86.83360291,42.31140137,0,0,0,1,0.0
282.2810059,3779.26001,44.62149811,433.9219971,211.0110016,13.23490047,327.5950012,3725.419922,59.70930099,402.5820007,202.8899994,8.868390083,218.4759979,78.88629913,39.28250122,209.0039978,81.36340332,42.20360184,1,0,0,0,0.0
280.5450134,3787.129883,44.84360123,434.1820068,210.1029968,13.21679974,326.4339905,3732.540039,59.80360031,402.9020081,201.0119934,8.891460419,218.5359955,78.92269897,39.29560089,208.7890015,81.68990326,42.19869995,1,0,0,0,0.0
285.5140076,3799.080078,48.29249954,447.70401,227.8860016,14.61520004,343.6159973,3799.590088,63.45859909,410.6659851,229.8930054,9.176589966,219.7630005,83.49659729,39.40390015,219.4600067,88.70069885,42.85950089,0,0,0,1,0.0
345.3710022,3554.669922,39.65599823,428.598999,224.9669952,16.77160072,381.269989,3503.580078,51.07049942,392.3259888,199.9210052,9.900650024,211.5099945,65.58350372,38.09579849,201.9029999,77.16040039,40.60179901,1,0,0,0,27.0
297.1470032,3772.159912,46.03829956,457.3529968,249.5140076,16.72019958,407.6830139,3707.090088,62.46889877,416.1459961,237.6000061,11.93640041,220.3269958,80.42720032,39.46659851,219.0540009,91.21430206,42.83119965,0,0,0,1,0.0
344.0499878,3472.199951,39.40019989,427.9719849,229.5359955,16.71199989,386.7680054,3463.469971,50.45009995,389.0859985,217.5910034,9.747890472,211.8139954,65.49120331,38.0945015,201.4790039,77.67669678,40.54800034,0,0,0,1,0.0
293.598999,3752.590088,54.14870071,457.5690002,239.4859924,15.83129978,362.2049866,3779.120117,65.61009979,413.8389893,233.5189972,10.18710041,221.6629944,86.20950317,39.52949905,223.5850067,94.43360138,43.05599976,0,0,0,1,0.0
299.8469849,3672.159912,43.48279953,433.230011,219.0160065,13.75969982,348.4760132,3653.639893,59.28649902,400.8070068,221.3560028,8.802619934,217.7689972,75.44190216,39.21310043,206.1410065,81.40709686,42.1977005,1,0,0,0,0.0
323.2340088,3581.719971,38.0666008,422.9490051,220.9559937,16.08519936,368.3510132,3556.840088,51.36520004,391.230011,205.4960022,9.536100388,210.1349945,66.08249664,38.03139877,197.9349976,78.86309814,40.51919937,0,0,0,1,27.0
308.3429871,3614.860107,43.24919891,431.8590088,220.4179993,13.87530041,356.7600098,3609.98999,58.75709915,399.256012,224.2749939,8.81608963,217.4219971,73.47380066,39.1814003,203.5549927,81.15350342,42.10810089,1,0,0,0,0.0
293.8919983,3767.51001,49.55070114,457.1279907,245.6880035,16.4564991,391.6730042,3735.149902,64.85289764,415.8940125,237.7480011,11.54319954,221.1920013,84.0963974,39.49399948,222.6699982,92.59629822,42.91360092,0,0,0,1,9.0
379.7590027,3310.120117,41.59899902,436.1719971,244.8009949,17.19470024,431.0109863,3334.23999,54.23759842,394.2170105,246.4230042,9.857660294,211.8789978,63.64419937,38.58459854,198.0859985,74.20700073,41.25899887,0,0,0,1,0.0
308.1440125,3645.719971,43.3730011,439.6990051,231.6179962,14.86089993,381.2680054,3623.98999,60.42250061,404.3590088,236.6139984,9.231080055,217.7749939,72.67269897,39.24079895,204.1049957,84.80599976,42.29650116,1,0,0,0,18.0
295.6029968,3743.199951,55.98009872,456.7940063,240.6600037,15.89400005,366.0119934,3771.419922,66.45549774,411.6809998,235.7910004,9.832070351,223.5059967,84.98989868,39.55759811,225.1490021,94.44290161,43.20600128,0,0,0,1,0.0
