H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
63.18690109,1991.449951,4.807340145,62.91609955,62.05580139,3.756939888,62.41559982,2031.170044,5.18859005,49.84550095,63.17150116,2.014800072,222.7109985,70.21130371,40.53570175,203.6190033,82.72229767,43.32659912,1,0,0,0
49.66400146,2052.189941,4.101689816,61.10570145,57.92300034,2.701519966,50.4856987,2083.290039,4.294730186,50.04290009,57.76789856,1.54084003,218.5209961,79.22769928,39.28150177,212.75,83.00119781,42.47779846,1,0,0,0
57.17900085,2010.699951,4.085259914,61.02399826,56.71369934,3.191920042,55.8030014,2052.080078,3.951309919,50.01369858,57.51480103,1.835729957,217.4720001,73.9414978,39.18379974,203.8059998,80.51409912,42.08729935,1,0,0,0
49.20959854,2079.280029,4.548409939,61.66889954,65.22370148,2.672770023,50.30849838,2082.76001,5.791359901,50.24020004,61.79560089,1.646780014,221.8240051,87.4108963,39.54079819,225.1929932,94.81269836,43.03570175,0,0,0,1
80.19850159,1909.430054,5.382969856,63.88769913,64.01119995,5.062439919,80.41760254,1934.73999,6.597499847,51.31710052,65.21230316,2.998780012,212.5099945,65.87069702,37.99140167,202.1589966,77.17070007,40.78010178,0,0,0,1
67.89810181,1967.27002,4.692029953,61.80099869,60.48389816,3.806469917,66.30909729,2014.290039,4.858990192,49.8606987,61.54029846,2.178539991,211.7140045,68.81700134,38.18709946,196.2819977,80.24230194,41.59249878,1,0,0,0
84.76300049,1902.23999,5.401329994,64.59089661,64.12799835,5.659800053,84.03369904,1928.930054,7.077740192,51.28710175,63.80479813,3.225500107,211.2740021,63.25460052,38.54180145,206.1640015,68.78600311,41.25090027,0,0,0,1
57.88809967,2020.569946,5.243519783,63.10889816,65.95709991,3.697969913,57.05830002,2034.430054,6.147109985,49.97290039,64.30509949,1.997650027,223.9400024,72.41790009,40.64730072,210.7489929,87.40450287,43.67179871,0,0,0,1
73.56749725,1938.25,5.232089996,64.31759644,63.99020004,4.638730049,73.04979706,1989.709961,5.769040108,51.02190018,66.00499725,2.524569988,211.9329987,63.73899841,38.59009933,198.2850037,74.08190155,41.25989914,0,0,0,1
76.01039886,1929.849976,5.286580086,64.23750305,63.78770065,4.681419849,73.57700348,1975.400024,5.722350121,50.99940109,66.41249847,2.6089499,211.2169952,64.67970276,38.57279968,196.6529999,74.04869843,41.20159912,0,0,0,1
46.42110062,2083.75,4.003200054,61.18159866,58.57180023,2.217959881,50.28559875,2085.870117,4.65087986,50.12620163,55.98089981,1.393429995,219.4320068,83.53600311,39.41859818,218.4530029,88.79139709,42.78419876,0,0,0,1
44.20819855,2068.100098,3.757639885,60.67819977,53.91379929,1.823930025,47.49959946,2089.850098,3.966769934,50.01910019,51.91690063,1.311570048,217.3710022,74.17420197,39.37070084,198.526001,84.9496994,42.13169861,0,0,0,1
86.27649689,1879.0,5.538020134,64.39839935,64.25099945,5.6167202,87.58920288,1910.040039,7.081739902,51.27939987,65.98789978,3.408550024,210.6390076,63.40470123,38.51330185,203.7409973,69.79930115,41.17449951,0,0,0,1
47.92649841,2083.280029,4.211830139,61.30929947,60.44910049,2.480230093,50.23820114,2094.530029,4.900209904,50.13219833,59.84859848,1.406599998,219.8699951,83.45780182,39.4090004,219.1609955,89.12470245,42.86040115,0,0,0,1
71.66989899,1946.01001,5.161680222,64.39199829,63.32170105,4.593850136,72.85169983,1989.670044,5.773980141,51.07490158,63.01340103,2.591880083,211.6900024,63.61059952,38.57130051,199.2680054,74.62809753,41.26890182,0,0,0,1
86.68720245,1877.189941,5.524149895,64.50830078,64.26069641,5.735040188,86.55410004,1914.329956,7.14083004,51.37120056,65.70549774,3.402839899,211.1069946,63.1228981,38.52330017,210.2030029,68.6006012,41.18519974,0,0,0,1
72.03289795,1946.48999,5.221469879,64.1257019,62.39519882,4.427080154,69.32109833,1996.349976,5.309669971,50.96080017,63.79100037,2.42869997,210.1560059,64.91960144,38.51399994,193.701004,76.99430084,41.02489853,0,0,0,1
84.29270172,1876.400024,5.446360111,64.28410339,63.94879913,5.253610134,87.88169861,1909.920044,6.612750053,51.16289902,66.86599731,3.340899944,210.3509979,63.66749954,38.50270081,195.3860016,72.21009827,41.22219849,0,0,0,1
53.11759949,2047.959961,4.645810127,61.42969894,62.01300049,3.178529978,52.68019867,2079.070068,5.246779919,50.12310028,63.62950134,1.684110045,218.6150055,75.21160126,39.33319855,207.6170044,87.69390106,42.53879929,1,0,0,0
84.87830353,1883.030029,5.505280018,64.24669647,63.97750092,5.311950207,86.77359772,1918.050049,6.668580055,51.16849899,66.74629974,3.220489979,210.1230011,64.06269836,38.49369812,197.1380005,73.00559998,41.14110184,0,0,0,1
79.60220337,1910.209961,5.31882,64.43340302,63.84249878,5.035590172,82.8934021,1931.449951,6.451930046,51.16019821,64.29769897,3.133569956,211.2079926,63.57089996,38.5359993,198.0659943,71.35610199,41.31740189,0,0,0,1
52.44079971,2051.0,4.831069946,61.53889847,63.37939835,3.185379982,51.94100189,2072.02002,5.528429985,50.16410065,63.66149902,1.696239948,219.026001,74.19989777,39.38880157,209.0590057,88.69329834,42.69189835,0,0,0,1
81.48290253,1900.839966,5.490399837,64.21510315,63.20569992,5.028399944,82.35279846,1933.27002,6.663670063,51.10279846,66.11039734,2.958379984,211.5789948,63.87789917,38.77310181,197.7870026,75.49520111,41.02230072,0,0,0,1
60.29499817,2006.550049,4.749289989,62.88970184,61.81909943,3.574609995,59.68640137,2044.839966,5.142920017,49.85469818,62.99580002,1.910969973,222.9420013,71.58339691,40.54679871,205.1970062,83.4858017,43.40409851,1,0,0,0
