M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
320.2019958,3569.669922,43.00719833,440.70401,235.2279968,15.75139999,390.5230103,3561.590088,59.14310074,401.2529907,237.6309967,9.397549629,222.7109985,70.21130371,40.53570175,203.6190033,82.72229767,43.32659912,1,0,0,0
287.7319946,3766.469971,44.03549957,438.5440063,221.026001,13.87959957,341.4360046,3737.659912,60.5401001,404.8460083,223.1799927,8.841659546,218.5209961,79.22769928,39.28150177,212.75,83.00119781,42.47779846,1,0,0,0
305.1860046,3630.139893,43.31159973,430.2619934,216.9170074,13.61190033,348.5270081,3622.080078,58.58280182,398.6960144,219.0690002,8.761619568,217.4720001,73.9414978,39.18379974,203.8059998,80.51409912,42.08729935,1,0,0,0
294.7640076,3745.600098,53.64020157,460.5239868,245.4660034,16.37960052,378.6359863,3757.709961,65.6371994,415.4660034,235.6719971,11.04920006,221.8240051,87.4108963,39.54079819,225.1929932,94.81269836,43.03570175,0,0,0,1
403.2940063,3431.659912,43.9382019,459.1730042,257.5780029,17.50489998,478.2590027,3476.76001,57.80459976,421.3649902,260.8900146,10.90670013,212.5099945,65.87069702,37.99140167,202.1589966,77.17070007,40.78010178,0,0,0,1
331.855011,3436.340088,42.3260994,430.2600098,229.8029938,14.97570038,384.5549927,3468.73999,55.73270035,394.9200134,229.4340057,9.06208992,211.7140045,68.81700134,38.18709946,196.2819977,80.24230194,41.59249878,1,0,0,0
476.8720093,3483.629883,44.20660019,464.7749939,266.302002,18.02560043,526.8850098,3479.610107,56.09230042,428.1279907,261.8859863,10.73639965,211.2740021,63.25460052,38.54180145,206.1640015,68.78600311,41.25090027,0,0,0,1
311.256012,3700.120117,43.28279877,451.0610046,249.4779968,16.89419937,415.3670044,3637.280029,59.86709976,409.9630127,239.9799957,10.97509956,223.9400024,72.41790009,40.64730072,210.7489929,87.40450287,43.67179871,0,0,0,1
378.9410095,3306.639893,41.64649963,435.9079895,244.6649933,17.19689941,429.7460022,3331.540039,54.25149918,393.8519897,246.7189941,9.850049973,211.9329987,63.73899841,38.59009933,198.2850037,74.08190155,41.25989914,0,0,0,1
373.7839966,3268.01001,42.20809937,434.4100037,243.7180023,16.93829918,424.2449951,3319.209961,54.70149994,394.4150085,251.2830048,9.793540001,211.2169952,64.67970276,38.57279968,196.6529999,74.04869843,41.20159912,0,0,0,1
