H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4,PhosphorusTreatment
115.612999,1565.089966,14.01270008,127.0469971,116.5510025,140.7519989,119.4199982,1549.390015,16.61899948,84.99919891,110.2310028,90.46669769,202.6230011,47.40969849,27.4435997,192.7689972,61.08010101,22.73419952,1,0,0,0,11.3
124.3470001,1502.26001,16.56459999,135.5410004,113.6019974,166.8280029,131.4400024,1519.76001,20.93009949,86.85829926,107.3929977,110.0579987,206.8619995,45.95100021,29.70280075,193.4349976,59.62720108,23.6548996,1,0,0,0,0.0
81.64790344,1780.030029,7.607069969,149.826004,116.072998,76.46710205,77.35520172,1668.02002,7.829299927,90.89790344,98.11119843,46.88529968,208.9400024,52.979599,28.48180008,196.0690002,67.44689941,25.46529961,0,0,1,0,0.0
76.26820374,1748.72998,6.132369995,138.7579956,105.413002,63.24739838,73.54450226,1683.949951,6.603280067,93.26319885,92.6812973,21.97990036,210.5720062,59.55670166,33.03689957,189.7700043,81.77670288,30.31389999,1,0,0,0,0.0
103.6309967,1632.660034,11.63500023,121.4150009,117.0709991,115.9499969,108.348999,1552.930054,13.74769974,84.89009857,110.4779968,82.87409973,202.6239929,48.18650055,25.43650055,197.1170044,60.96910095,22.46269989,0,0,0,1,0.0
110.1660004,1602.180054,12.84440041,124.1989975,117.538002,128.1900024,113.1640015,1552.02002,14.14169979,84.92469788,110.4840012,81.67369843,202.6690063,47.7859993,26.53359985,195.6529999,60.99779892,22.88570023,0,0,0,1,0.0
75.94589996,1781.01001,6.851210117,151.8930054,108.2699966,57.06409836,68.38999939,1676.23999,6.334499836,92.86129761,92.2039032,24.14069939,211.576004,60.81549835,28.20879936,186.7299957,79.36319733,25.25880051,1,0,0,0,0.0
86.55310059,1745.219971,8.533670425,147.0919952,115.3359985,89.82839966,83.7335968,1613.040039,9.13988018,86.77279663,100.0780029,56.13399887,214.1759949,51.53710175,27.6753006,199.0330048,65.09459686,23.77109909,0,0,1,0,0.0
74.85900116,1803.219971,6.426050186,152.6629944,108.2419968,56.81370163,68.25769806,1677.109985,6.239640236,93.10929871,92.30110168,27.8458004,211.1080017,58.97940063,29.4951992,192.6329956,76.89320374,26.39979935,0,0,0,1,0.0
113.4449997,1576.369995,13.56579971,126.0469971,116.5199966,135.1040039,117.6470032,1549.849976,16.25760078,84.99759674,110.2509995,89.82520294,202.572998,47.61769867,26.91270065,192.9450073,61.02690125,22.60000038,0,0,0,1,11.3
