H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
125.2160034,1497.400024,16.44809914,133.3359985,114.6389999,160.5149994,131.397995,1532.48999,21.07029915,85.89129639,108.8590012,109.5680008,206.8609924,46.19820023,28.25370026,190.7200012,59.89749908,23.22540092,0,0,0,1
107.7839966,1599.969971,12.06700039,146.7299957,105.7559967,128.2189941,109.7730026,1611.290039,14.13440037,89.39160156,91.63490295,68.57119751,210.9290009,53.92789841,29.41209984,184.6849976,72.86139679,25.84329987,1,0,0,0
116.7789993,1528.52002,15.00020027,134.4940033,114.7050018,136.4730072,125.5759964,1532.869995,20.32130051,86.06210327,108.9059982,107.9489975,206.371994,47.67950058,26.90060043,184.7440033,60.46829987,22.25189972,1,0,0,0
110.8000031,1553.920044,14.04759979,135.1000061,114.8440018,124.0979996,121.0139999,1533.530029,19.59749985,86.10849762,108.9589996,106.4140015,206.3040009,48.45220184,26.7859993,183.7940063,60.74110031,22.10280037,1,0,0,0
75.06140137,1797.77002,6.434989929,151.6629944,107.4499969,55.94169998,68.67209625,1677.920044,6.323150158,93.10340118,92.30410004,25.91880035,211.1909943,59.6794014,29.78249931,192.2449951,78.50319672,26.47470093,0,0,0,1
139.2689972,1405.439941,20.41010094,143.8569946,112.6230011,210.9049988,147.3070068,1513.829956,26.65970039,86.92320251,106.9520035,134.9060059,207.522995,43.4632988,34.44850159,195.5189972,58.12110138,25.49340057,1,0,0,0
73.05370331,1841.22998,6.110869884,163.7160034,111.9020004,64.48760223,70.08719635,1684.790039,6.102210045,94.45639801,94.59670258,35.66870117,209.8639984,53.60229874,29.5177002,195.4380035,69.48439789,26.17790031,0,0,0,1
119.7979965,1518.180054,15.42210007,133.6759949,114.6650009,142.6620026,127.6279984,1532.76001,20.5746994,86.01170349,108.8889999,108.2440033,206.4660034,47.29610062,27.05249977,186.0169983,60.29449844,22.44610023,1,0,0,0
92.45179749,1699.829956,9.643839836,133.0440063,113.9209976,96.22119904,94.8227005,1710.699951,11.33469963,93.68920135,111.0940018,66.61419678,194.1470032,50.08319855,26.29179955,194.0,62.67300034,23.61660004,0,1,0,0
73.02799988,1832.900024,6.032149792,162.5740051,111.9960022,64.14649963,68.71450043,1683.51001,6.06619978,94.20549774,94.42259979,34.97140121,210.2610016,55.10509872,30.28630066,192.6580048,70.1135025,25.64119911,0,0,1,0
