Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
1.389670014,188.9199982,1.396669984,487.1380005,165.6269989,35.41260147,1.481559992,170.7369995,1.589650035,344.4670105,165.5200043,30.32139969,206.8609924,46.19820023,28.25370026,190.7200012,59.89749908,23.22540092,0,0,0,1
1.331539989,184.1860046,1.469490051,509.9119873,142.7879944,31.37059975,1.303140044,158.4730072,1.266919971,347.2319946,136.9889984,21.96139908,210.9290009,53.92789841,29.41209984,184.6849976,72.86139679,25.84329987,1,0,0,0
1.34987998,192.3820038,1.384619951,487.1759949,165.5339966,35.2016983,1.505839944,178.8159943,1.591410041,360.7869873,165.8880005,30.89369965,206.371994,47.67950058,26.90060043,184.7440033,60.46829987,22.25189972,1,0,0,0
1.343379974,191.6940002,1.383419991,487.6960144,165.423996,35.16590118,1.521020055,178.9100037,1.591930032,365.1860046,165.9649963,30.96809959,206.3040009,48.45220184,26.7859993,183.7940063,60.74110031,22.10280037,1,0,0,0
1.595129967,161.2180023,1.761260033,524.7810059,135.4170074,31.23609924,1.476040006,136.7420044,1.342149973,380.9769897,130.1329956,21.1644001,211.1909943,59.6794014,29.78249931,192.2449951,78.50319672,26.47470093,0,0,0,1
1.303030014,204.947998,1.351930022,504.9679871,162.5149994,36.16590118,1.389840007,178.0899963,1.625759959,334.5169983,155.5509949,29.63660049,207.522995,43.4632988,34.44850159,195.5189972,58.12110138,25.49340057,1,0,0,0
1.599099994,142.0169983,1.877930045,549.5880127,151.7440033,33.0326004,1.476160049,130.3899994,1.325019956,431.0589905,148.9850006,26.95179939,209.8639984,53.60229874,29.5177002,195.4380035,69.48439789,26.17790031,0,0,0,1
1.361140013,191.4960022,1.387920022,486.4070129,165.5939941,35.23529816,1.502500057,176.9700012,1.591439962,356.6629944,165.9429932,30.84690094,206.4660034,47.29610062,27.05249977,186.0169983,60.29449844,22.44610023,1,0,0,0
1.775529981,149.4869995,1.719920039,496.3680115,156.5630035,34.4917984,1.782899976,138.7649994,1.638319969,381.5249939,158.5480042,29.19409943,194.1470032,50.08319855,26.29179955,194.0,62.67300034,23.61660004,0,1,0,0
1.485460043,156.2960052,1.851500034,544.8770142,154.0659943,32.83560181,1.34879005,141.7810059,1.321239948,399.1470032,151.7640076,24.16720009,210.2610016,55.10509872,30.28630066,192.6580048,70.1135025,25.64119911,0,0,1,0
1.291990042,207.2899933,1.349320054,506.0029907,162.6670074,36.15129852,1.37598002,179.371994,1.625540018,333.368988,155.7610016,29.5359993,207.572998,43.2181015,34.77429962,195.1369934,58.1385994,25.59140015,0,1,0,0
1.389619946,188.598999,1.407840014,495.6820068,164.802002,36.26330185,1.487830043,166.9839935,1.62943995,341.1560059,163.4149933,30.03079987,206.9019928,45.91460037,29.90410042,193.9720001,59.59069824,23.75160027,1,0,0,0
1.504969954,173.7700043,1.757079959,534.8480225,142.423996,31.76569939,1.366739988,143.7200012,1.31140995,375.1369934,136.4349976,21.03030014,212.4640045,60.21829987,27.83790016,188.8119965,77.77220154,24.90950012,1,0,0,0
1.545840025,162.9179993,1.601729989,499.401001,120.2289963,29.50460052,1.452569962,133.8600006,1.332159996,344.1889954,113.9919968,14.85610008,211.7779999,65.65609741,33.28150177,198.8600006,86.11830139,28.00550079,0,1,0,0
1.431740046,180.9700012,1.415820003,478.0190125,166.1170044,35.1230011,1.574769974,164.5700073,1.639909983,351.5299988,167.9199982,31.07769966,202.1799927,48.3390007,26.54330063,186.8809967,60.94889832,22.09770012,1,0,0,0
1.563079953,163.2660065,1.704849958,519.8599854,129.6869965,30.92609978,1.452069998,137.2980042,1.338790059,371.6419983,123.4140015,19.78680038,211.2660065,60.74599838,30.68219948,192.9369965,81.228302,26.86120033,1,0,0,0
1.534029961,165.647995,1.668149948,516.0120239,126.4960022,30.69379997,1.427760005,138.2489929,1.336380005,363.4960022,119.7529984,18.71100044,211.3370056,61.54380035,31.3260994,193.2050018,82.93060303,27.12859917,1,0,0,0
1.529049993,165.4889984,1.470890045,474.9670105,168.3399963,35.32600021,1.559720039,143.8919983,1.631489992,325.6990051,174.0950012,28.76519966,202.6690063,47.7458992,26.65519905,195.3789978,61.00519943,22.88540077,0,0,0,1
1.46231997,161.5720062,1.79587996,539.9520264,146.9700012,32.59199905,1.343379974,140.7189941,1.31791997,389.6919861,142.6710052,22.94790077,210.4380035,56.64870071,30.0720005,191.3880005,73.65039825,25.82449913,0,0,1,0
1.291890025,209.1679993,1.366539955,497.0629883,165.5809937,35.97900009,1.361619949,188.8840027,1.624269962,338.9819946,162.2850037,29.9192009,206.647995,43.2682991,28.91629982,186.1840057,59.27970123,23.2609005,1,0,0,0
