M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4,PhosphorusTreatment
119.1940002,4025.959961,32.4272995,861.4299927,264.4119873,170.3869934,152.223999,4048.120117,42.34080124,734.2399902,248.1100006,151.4380035,342.3500061,122.8460007,46.83570099,341.7099915,141.3809967,50.64810181,0,1,0,0,0.0
150.3040009,4021.52002,35.24349976,796.052002,273.8609924,172.6670074,182.0390015,4045.709961,42.37609863,594.223999,243.0690002,136.1459961,348.6489868,111.098999,53.08050156,348.1740112,128.9320068,49.14599991,0,1,0,0,6.8
246.3569946,3902.560059,64.61830139,763.2340088,373.3729858,219.4629974,295.0220032,3934.23999,82.06369781,585.3829956,354.67099,203.7929993,360.5899963,78.09819794,56.2859993,357.7250061,97.0951004,54.03519821,0,0,0,1,0.0
153.723999,3980.540039,39.91930008,803.90802,285.3399963,175.7409973,193.2489929,4042.139893,51.76539993,599.7860107,260.8269958,145.503006,349.8779907,108.5619965,51.14500046,336.0310059,122.7350006,46.5617981,0,1,0,0,10.1
115.401001,4086.540039,38.19229889,865.7009888,275.8649902,175.6139984,145.2460022,4101.220215,44.8728981,718.4959717,257.7130127,154.0130005,355.2630005,123.2750015,48.63660049,351.9750061,141.2649994,51.10480118,0,1,0,0,3.4
246.927002,3905.199951,64.65789795,766.6439819,368.2330017,214.1790009,292.1470032,3931.48999,82.53230286,594.1820068,349.8250122,200.1300049,360.5029907,77.44049835,54.13610077,357.6059875,96.31929779,53.62609863,0,0,0,1,0.0
183.1109924,3944.320068,48.38219833,805.723999,308.1539917,184.8430023,226.0780029,3990.120117,64.00050354,619.9140015,290.2260132,170.1519928,357.3619995,99.39679718,49.40520096,346.2640076,112.737999,48.40370178,0,0,0,1,0.0
232.1909943,3891.25,57.53879929,775.5570068,355.4719849,199.9880066,280.3779907,3934.5,74.66300201,603.5529785,335.6319885,186.9400024,356.9460144,83.64089966,48.21160126,347.6080017,99.19419861,50.80720139,0,0,0,1,6.8
149.727005,3990.76001,42.9958992,822.6480103,295.3399963,162.4519958,185.0189972,4075.360107,57.23820114,604.78302,273.4020081,151.8240051,356.276001,104.8639984,49.7643013,347.8850098,116.6439972,47.4353981,0,1,0,0,10.1
120.5660019,4001.810059,27.46590042,902.2150269,258.6350098,177.4620056,157.5670013,4033.830078,40.19499969,743.4039917,239.7940063,159.8880005,360.5440063,121.5670013,47.3669014,366.5079956,141.0919952,53.22829819,0,1,0,0,0.0
