M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4
166.276001,3989.189941,26.69470024,816.6589966,258.303009,176.0670013,198.1340027,3976.27002,37.47900009,692.1110229,245.1779938,154.7389984,343.9630127,112.814003,54.08000183,347.368988,126.6910019,50.30970001,0,1,0,0
123.947998,3977.889893,25.94280052,908.8400269,253.7709961,177.7879944,160.6210022,4016.129883,38.97769928,748.5819702,234.1130066,159.9649963,360.4509888,121.3310013,46.73450089,366.4609985,140.4779968,53.33369827,0,1,0,0
236.8350067,3880.379883,58.76490021,766.6119995,373.8240051,209.6340027,291.427002,3926.679932,75.86689758,594.3560181,353.5020142,193.4210052,353.8559875,80.70850372,50.67919922,350.1140137,98.87149811,52.1004982,0,0,0,1
138.9629974,4041.090088,38.49769974,815.0170288,283.5400085,178.9049988,173.0590057,4061.939941,44.82899857,625.3649902,248.1580048,142.0870056,349.743988,113.4810028,52.71269989,351.1080017,131.897995,50.15650177,0,1,0,0
159.5359955,3993.949951,33.74969864,793.7290039,259.2980042,164.0149994,195.6230011,4016.560059,43.67150116,598.6469727,235.2850037,137.5879974,345.9530029,109.6230011,51.51250076,337.7160034,124.1809998,47.56679916,0,1,0,0
246.9850006,3906.030029,65.13909912,765.875,369.5079956,215.6410065,292.2309875,3933.850098,82.87779999,591.2420044,351.177002,201.0310059,360.5369873,77.30349731,54.82329941,357.6430054,96.2963028,53.74079895,0,0,0,1
118.4540024,4011.98999,30.36459923,881.710022,263.3640137,173.473999,154.5930023,4040.280029,40.83369827,737.7420044,244.9089966,154.3379974,351.822998,122.5250015,46.53070068,352.0979919,141.4450073,51.54909897,0,1,0,0
121.9000015,3995.0,28.13769913,903.0180054,256.6539917,176.4949951,157.7599945,4026.080078,40.2242012,744.7659912,238.3070068,159.8410034,360.5,121.7659988,47.00099945,366.4869995,140.9089966,53.23949814,0,1,0,0
159.0630035,3944.199951,43.47480011,821.9869995,260.5979919,171.3919983,190.0449982,3979.469971,58.43470001,656.5570068,253.4839935,164.6950073,361.9429932,109.7519989,47.47900009,348.0669861,120.8219986,46.57279968,0,0,1,0
129.4329987,4048.23999,35.75450134,838.8900146,271.8049927,173.2599945,159.6100006,4068.610107,43.34469986,683.9050293,249.029007,146.7100067,345.7609863,118.2580032,49.2256012,343.1090088,136.4360046,49.79909897,0,1,0,0
154.121994,4023.459961,36.5021019,780.9730225,292.5119934,188.8430023,183.5570068,4057.110107,43.58000183,566.5900269,255.7050018,138.7230072,346.6910095,106.4160004,55.50510025,342.4179993,123.887001,48.68270111,0,1,0,0
116.0049973,4080.360107,37.46220016,861.4940186,274.303009,173.4889984,146.0,4092.600098,44.67060089,721.5570068,255.5279999,157.3289948,349.0429993,123.7539978,47.99499893,352.9349976,141.2039948,51.75989914,0,1,0,0
194.8090057,3943.77002,49.57149887,795.3430176,302.5150146,183.6100006,234.9929962,3956.560059,66.23970032,634.6329956,286.5220032,177.5079956,355.3999939,96.59089661,48.26699829,347.5929871,109.7799988,49.87639999,0,0,0,1
243.220993,3908.72998,62.56600189,779.526001,357.7869873,201.9980011,286.4630127,3928.060059,80.78269958,610.3969727,337.4049988,191.3580017,357.20401,79.1917038,50.36389923,348.053009,97.56310272,51.12549973,0,0,0,1
167.826004,3950.290039,45.87649918,813.065979,294.9179993,177.9320068,207.1609955,4012.280029,61.05049896,624.8519897,279.4859924,164.8560028,357.4039917,102.7819977,49.23880005,346.0910034,114.9850006,48.06790161,0,1,0,0
