Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,Zone_1,Zone_2,Zone_3,Zone_4,PhosphorusTreatment
1.02760005,83.83869934,1.335010052,618.5410156,74.16210175,56.67409897,1.102159977,72.14320374,1.324200034,473.4219971,64.33509827,52.37490082,345.7999878,117.5019989,50.39110184,343.1019897,135.7250061,49.62599945,0,1,0,0,0.0
1.003520012,87.6855011,1.281350017,593.8629761,74.52500153,54.67710114,1.04321003,75.17939758,1.269440055,430.5360107,64.48690033,48.21039963,344.04599,113.8000031,50.21030045,343.2669983,130.7440033,50.00239944,0,1,0,0,6.8
0.989794016,81.00389862,1.30092001,626.8060303,74.38200378,57.64400101,1.064669967,72.50099945,1.434249997,492.5780029,68.13159943,55.45949936,360.5249939,121.5179977,47.22019958,366.5010071,140.9299927,53.24750137,0,1,0,0,0.0
0.952436984,93.30500031,1.330129981,584.5159912,79.4484024,52.25559998,0.984498978,78.88729858,1.327229977,380.5759888,65.39920044,46.5143013,347.6340027,109.6559982,49.85739899,340.7749939,122.0630035,47.57089996,0,1,0,0,0.0
0.982840002,82.73519897,1.280320048,625.992981,75.52839661,57.02429962,1.080150008,73.62480164,1.428859949,494.8380127,68.61569977,54.9905014,351.7489929,122.0709991,46.10440063,352.0390015,141.076004,51.69350052,0,1,0,0,0.0
1.082759976,82.57579803,1.375560045,648.7650146,74.39209747,60.42089844,1.186210036,71.7181015,1.440459967,505.5740051,65.03869629,56.97629929,352.7049866,119.2129974,50.4620018,351.3680115,136.7160034,50.95709991,0,1,0,0,0.0
1.084069967,85.11940002,1.340070009,614.6929932,75.75479889,56.88169861,1.185230017,74.87519836,1.478320003,503.4920044,68.45510101,55.44219971,342.4729919,122.1060028,47.69530106,341.8370056,140.9120026,50.9939003,0,1,0,0,0.0
1.051570058,92.334198,1.330579996,617.6040039,77.36190033,54.52740097,1.063359976,76.1882019,1.332720041,391.4159851,63.42900085,46.03770065,349.4429932,105.2099991,55.3995018,335.2219849,121.9580002,47.05989838,0,1,0,0,0.0
1.05843997,98.66560364,1.42671001,629.5419922,83.56500244,57.19380188,1.111129999,82.34410095,1.437620044,396.7390137,68.28919983,49.39659882,354.04599,104.6640015,53.10369873,336.1530151,119.3769989,46.89670181,0,1,0,0,0.0
0.986414015,94.86599731,1.342990041,624.1950073,79.42520142,55.52299881,1.001569986,80.32240295,1.335620046,402.927002,66.60649872,48.14250183,350.7340088,107.3300018,53.15539932,337.1520081,121.9509964,47.34870148,0,1,0,0,6.8
0.988685012,95.42700195,1.371269941,625.7369995,80.41239929,55.7159996,1.005329967,80.24490356,1.348670006,406.519989,67.00789642,48.95589828,350.973999,105.4140015,53.792099,337.1119995,121.1009979,47.26720047,0,1,0,0,0.0
1.025220037,85.10289764,1.310340047,617.8209839,74.48619843,56.57929993,1.096920013,73.04109955,1.316400051,466.1170044,64.48889923,51.64310074,345.6659851,116.6809998,50.35440063,342.9580078,134.9949951,49.55770111,0,1,0,0,3.4
1.15436995,91.26580048,1.323210001,591.9539795,74.44580078,52.50270081,0.99604702,76.02510071,1.080929995,379.9339905,61.79809952,42.93130112,339.8850098,106.387001,51.54800034,334.9809875,123.3059998,47.43320084,0,1,0,0,0.0
0.98547399,80.85890198,1.307389975,626.2949829,74.69100189,57.03540039,1.084779978,72.24749756,1.430189967,496.8389893,68.12519836,55.03030014,351.8129883,122.5439987,46.53310013,352.0809937,141.6139984,51.51760101,0,1,0,0,0.0
1.021110058,87.28549957,1.265810013,616.6010132,75.06580353,56.40869904,1.088529944,74.91960144,1.304520011,455.0239868,65.00340271,50.52249908,345.4630127,115.8899994,49.90850067,342.7609863,134.2610016,49.47109985,0,1,0,0,10.1
0.981141984,84.32959747,1.281270027,625.125,76.08769989,57.53979874,1.048900008,74.67479706,1.421489954,479.6210022,68.62490082,54.6114006,360.4100037,121.064003,46.49069977,366.4859924,139.5850067,53.51309967,0,1,0,0,0.0
0.986397028,96.03099823,1.352820039,624.7739868,80.55709839,55.54999924,1.002110004,81.99230194,1.344339967,405.4769897,67.917099,48.6108017,350.8710022,108.1829987,52.68349838,337.1669922,121.7720032,47.33560181,0,1,0,0,0.0
0.954331994,119.7450027,1.500710011,590.8460083,99.04850006,56.74610138,1.047580004,105.0960007,1.516880035,388.0690002,85.11730194,50.85409927,357.2799988,99.06079865,48.22489929,346.4200134,111.9990005,48.55939865,0,0,0,1,0.0
0.983202994,99.98329926,1.475460052,617.026001,86.30809784,56.94630051,1.136950016,86.45079803,1.638509989,399.3380127,72.53610229,50.89899826,355.131012,106.9629974,47.90269852,332.2720032,117.3529968,47.22669983,0,1,0,0,3.4
1.007019997,86.16619873,1.28599,591.0180054,74.35410309,54.19789886,1.060109973,75.19529724,1.310709953,448.5480042,65.50789642,50.61970139,343.0589905,117.1279984,48.47999954,347.6669922,134.2910004,50.99940109,0,1,0,0,3.4
0.844464004,93.22180176,1.212599993,601.7999878,76.30690002,52.74340057,0.952170014,79.99909973,1.223649979,385.3049927,64.36920166,43.80569839,343.6440125,110.6320038,49.80220032,336.3850098,124.2229996,47.02099991,0,1,0,0,0.0
1.001180053,89.13349915,1.266299963,592.7719727,74.3259964,54.48630142,1.037209988,75.6989975,1.252869964,417.7179871,63.50989914,46.84519958,343.8540039,112.2330017,50.65589905,343.1430054,129.1869965,49.75569916,0,1,0,0,6.8
0.949171007,91.30139923,1.296659946,582.2119751,77.25340271,52.02320099,0.977801979,76.7888031,1.305570006,373.4429932,63.60480118,45.27959824,347.3080139,110.7770004,50.03490067,340.8980103,123.0250015,47.88589859,0,1,0,0,3.4
1.011839986,84.7220993,1.315320015,593.6560059,74.75279999,54.53250122,1.071259975,74.46179962,1.334130049,469.3529968,66.58519745,52.55160141,343.3850098,119.3310013,47.73059845,347.8389893,136.7649994,51.16400146,0,1,0,0,0.0
0.945007026,91.08789825,1.255110025,584.914978,75.73110199,52.05970001,0.981745005,75.82119751,1.254320025,371.4299927,62.22330093,43.48970032,346.0679932,109.4520035,51.770401,337.70401,123.9029999,47.51779938,0,1,0,0,6.8
0.949944973,92.18009949,1.312369943,583.9810181,78.85739899,52.1875,0.981786013,77.53959656,1.323060036,377.8330078,64.62979889,46.10079956,347.6369934,110.7369995,49.50180054,340.8389893,122.5149994,47.60150146,0,1,0,0,3.4
0.975664973,117.4960022,1.684319973,596.6610107,102.2910004,56.47669983,1.045510054,104.7419968,1.544479966,395.7210083,87.792099,51.32160187,356.8890076,92.78700256,52.80210114,346.553009,108.3580017,50.44300079,0,0,0,1,0.0
1.201679945,81.06300354,1.366000056,628.9130249,74.82969666,58.36629868,1.298789978,72.53029633,1.543650031,505.9259949,67.65239716,56.53099823,345.0669861,125.0090027,47.44260025,344.8399963,142.4810028,51.33969879,1,0,0,0,10.1
1.00624001,106.163002,1.598639965,600.0819702,91.99890137,56.61899948,1.080680013,92.76760101,1.582700014,396.3340149,77.96569824,51.35079956,356.7690125,100.3130035,51.50220108,345.4379883,113.1740036,49.88090134,0,1,0,0,0.0
0.987285972,95.82710266,1.359259963,625.1300049,80.53209686,55.60789871,1.003430009,81.45860291,1.346300006,405.9559937,67.65589905,48.7458992,350.9070129,107.3030014,53.00759888,337.1419983,121.538002,47.30179977,0,1,0,0,6.8
1.040179968,87.65190125,1.326509953,618.3779907,75.22750092,55.41680145,1.091760039,74.62229919,1.311589956,454.5289917,64.48390198,50.05599976,349.8649902,116.1029968,51.35279846,351.3129883,133.871994,50.44110107,1,0,0,0,6.8
0.967325985,96.60700226,1.347919941,609.757019,81.67549896,54.54079819,1.010929942,80.92579651,1.322409987,390.7319946,67.04139709,47.1794014,349.9700012,106.3669968,52.1969986,336.0169983,121.6559982,46.61790085,0,1,0,0,3.4
0.886022985,93.94529724,1.284880042,591.9249878,80.84739685,52.2879982,0.961245,80.15979767,1.420060039,395.5480042,66.91790009,49.03409958,344.3869934,111.3399963,45.34170151,329.8909912,122.6790009,45.50460052,0,1,0,0,3.4
0.974547029,84.00740051,1.242269993,602.1569824,74.42359924,55.16809845,1.082450032,74.15529633,1.411929965,484.9389954,67.16419983,53.57180023,337.8049927,121.2229996,45.39289856,339.9330139,140.1640015,50.55049896,0,1,0,0,3.4
1.121659994,87.5490036,1.328060031,573.710022,72.75479889,52.57550049,1.092689991,73.66880035,1.134760022,400.1119995,60.91770172,44.2132988,343.0870056,108.5830002,52.61930084,338.2200012,124.112999,47.40940094,0,1,0,0,6.8
1.085610032,83.70899963,1.34442997,613.7080078,75.64550018,56.85010147,1.188580036,74.00319672,1.480319977,499.697998,68.2457962,55.08359909,342.3980103,122.4950027,46.88259888,341.7669983,141.1490021,50.79119873,0,1,0,0,0.0
0.999994993,89.37689972,1.261719942,592.7059937,74.55010223,54.48099899,1.035650015,76.22920227,1.255470037,419.5079956,64.06929779,47.08269882,343.92099,113.2220001,50.39030075,343.2539978,129.9420013,49.96220016,0,1,0,0,0.0
0.849034011,93.48349762,1.200670004,563.8200073,74.5515976,52.06389999,0.834150016,78.86869812,1.056409955,369.8039856,63.0007019,42.3614006,341.4289856,111.9670029,54.27730179,340.5440063,127.3830032,51.4518013,0,1,0,0,0.0
1.003499985,87.32209778,1.260800004,590.3900146,75.07740021,54.13389969,1.053900003,75.93099976,1.305480003,443.5339966,66.11540222,50.22119904,343.0209961,117.3119965,48.37770081,347.6640015,134.4170074,51.13019943,0,1,0,0,0.0
0.942700982,90.42430115,1.248010039,584.8179932,75.86859894,52.00400162,0.981154025,75.04989624,1.265580058,368.29599,61.97169876,43.52280045,346.3200073,111.6539993,51.02090073,337.8380127,124.2470016,47.55670166,0,1,0,0,10.1
1.035220027,89.48059845,1.291509986,615.7189941,74.83820343,55.12049866,1.080569983,75.45240021,1.28610003,431.9370117,63.36849976,47.90250015,349.3900146,113.2200012,51.67869949,350.8970032,130.8529968,50.06069946,0,1,0,0,0.0
1.123250008,96.39230347,1.437780023,616.7210083,81.66349792,55.19900131,1.180729985,81.23100281,1.545680046,396.118988,67.19300079,49.32699966,351.1560059,106.2279968,50.18019867,334.2120056,118.7310028,46.52330017,0,1,0,0,10.1
1.073779941,102.4000015,1.449319959,613.7789917,87.71150208,57.00439835,1.244210005,88.96320343,1.658349991,396.7090149,73.51529694,51.3042984,349.4049988,103.7389984,48.50099945,333.2049866,115.1190033,46.90810013,0,1,0,0,0.0
1.023159981,86.06839752,1.286080003,617.3770142,75.04660034,56.52740097,1.093590021,74.41079712,1.31754005,465.3420105,65.57050323,51.59870148,345.618988,117.3840027,49.32519913,342.9559937,135.647995,49.71009827,0,1,0,0,10.1
0.844624996,95.19429779,1.229550004,588.75,76.77619934,53.41719818,0.827475011,81.08699799,1.049080014,386.1610107,65.46499634,44.23220062,343.4849854,111.723999,50.93420029,342.303009,125.598999,48.93640137,0,1,0,0,10.1
1.02670002,84.23809814,1.328150034,618.2769775,74.20680237,56.63880157,1.09995997,72.25869751,1.319949985,469.9530029,64.1772995,52.02360153,345.743988,116.9520035,50.60380173,343.0320129,135.2350006,49.5685997,0,1,0,0,0.0
0.843509018,92.78669739,1.20302999,599.8969727,75.19259644,52.50059891,0.94591701,79.24590302,1.209110022,379.1610107,63.4280014,42.61629868,343.3429871,110.5070038,47.12599945,336.2609863,124.7109985,46.95759964,0,1,0,0,0.0
0.927242994,99.34089661,1.400149941,639.8850098,84.47709656,58.05049896,0.998027027,83.03540039,1.43208003,396.5390015,68.97940063,50.16479874,361.6480103,105.987999,53.43980026,341.5849915,120.8840027,46.92739868,0,1,0,0,0.0
