Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
0.338521987,40.45489883,0.817911029,262.6560059,26.78479958,6.184850216,0.368414015,33.37549973,0.787627995,210.4219971,21.66139984,4.213960171,42.73149872,2008.869995,4.321040154,67.7039032,41.17599869,2.481250048,48.98410034,2018.75,4.875070095,54.10269928,38.11119843,1.624480009,112.2770004,4120.459961,30.14480019,394.6270142,128.9799957,14.13029957,153.4859924,4093.340088,41.96989822,356.0039978,119.098999,8.911879539,221.1080017,96.81700134,104.8929977,215.4660034,109.6920013,45.11399841,0.0
0.404765993,50.66329956,0.868873,273.2539978,32.07089996,6.288370132,0.437146991,40.03710175,0.766273022,205.8619995,26.23530006,3.91031003,41.85810089,2145.679932,4.732039928,64.06500244,41.39339828,4.242849827,48.22000122,2120.600098,4.993249893,49.04410172,38.24539948,1.768949986,140.3249969,4275.109863,32.16040039,396.8680115,129.4620056,14.69279957,179.3029938,4268.359863,42.11040115,346.4389954,117.0660019,7.938029766,232.3670044,99.91280365,36.22650146,207.0429993,111.7590027,30.91889954,0.0
0.337363005,42.43470001,0.865231991,276.0870056,27.36709976,6.50617981,0.346383005,33.9272995,0.699157,215.4279938,22.38089943,4.344500065,36.80450058,2016.699951,4.566410065,68.03600311,41.76910019,2.687880039,42.74209976,2015.329956,4.847249985,53.64459991,38.63370132,1.666739941,98.82460022,4230.600098,30.83760071,402.9249878,125.1529999,14.43770027,137.0570068,4179.419922,42.26259995,349.9960022,116.1470032,8.992050171,231.2200012,96.31069946,40.81560135,233.1649933,114.8050003,41.44350052,22.5
0.387243986,50.79800034,0.679418027,275.6140137,30.16410065,5.962269783,0.522176027,41.85540009,0.859156013,206.4730072,24.11389923,4.117380142,39.68529892,1953.76001,4.652609825,66.97859955,40.08679962,2.479670048,45.99060059,1989.339966,5.059619904,50.83269882,37.74710083,1.508659959,147.6929932,4188.689941,29.9333992,388.7269897,120.2730026,13.86279964,202.3589935,4200.299805,43.52679825,348.3850098,109.8789978,8.838000298,213.9530029,95.98010254,139.7140045,198.9570007,106.2289963,42.48460007,22.5
0.341120005,47.61320114,0.686792016,282.151001,28.02179909,5.659239769,0.548097014,38.03440094,1.079679966,207.6309967,22.96419907,3.974440098,47.56969833,2087.73999,4.507450104,67.78170013,39.72700119,2.299839973,51.43109894,2105.73999,4.945829868,49.84460068,36.03559875,1.572029948,158.5440063,4196.089844,31.06369972,393.0690002,128.7680054,13.16769981,203.1490021,4222.669922,42.4571991,350.6730042,112.7450027,8.515110016,215.3739929,97.75959778,136.7709961,198.0859985,107.3130035,40.65269852,0.0
0.414209008,49.79999924,0.869395971,275.1499939,31.65200043,6.66242981,0.431495994,38.80059814,0.761435986,208.1950073,25.77510071,4.03237009,40.45270157,2120.840088,4.671010017,64.41130066,41.792099,4.83409977,47.1332016,2123.969971,4.986450195,49.375,38.67359924,1.864400029,131.5279999,4279.200195,32.59989929,395.3590088,130.8419952,15.31970024,166.0800018,4291.939941,42.55519867,347.0360107,119.1539993,8.098190308,233.9060059,98.61000061,37.02830124,210.6750031,111.8659973,31.73450089,0.0
0.238034993,45.30720139,0.749477983,250.5359955,27.37619972,5.459589958,0.274055004,34.50590134,0.772183001,200.8090057,21.39719963,3.851059914,60.29499817,1941.579956,4.221620083,66.82800293,39.70750046,1.868250012,65.08260345,1964.98999,4.806270123,50.34909821,35.06409836,1.48743999,202.8609924,4023.52002,30.35790062,397.5759888,135.5269928,12.98840046,264.2290039,3928.0,42.42279816,359.7000122,119.1070023,8.385359764,219.7369995,87.58399963,135.772995,208.2250061,102.3440018,46.27030182,0.0
0.369242013,47.76409912,0.690995991,290.3330078,28.08259964,5.716909885,0.619958997,38.90850067,1.203410029,207.8959961,23.46610069,4.009789944,44.4679985,2129.810059,4.534490108,68.85340118,39.78609848,2.383049965,48.46030045,2146.340088,4.948009968,49.90879822,36.33840179,1.571259975,148.4779968,4230.439941,31.16340065,392.9450073,126.6780014,13.20129967,188.9900055,4269.359863,42.45819855,348.7430115,110.5169983,8.557020187,215.3730011,100.8860016,139.2550049,195.5149994,108.211998,40.68389893,0.0
0.312054992,47.54050064,0.883248985,258.8450012,31.2064991,6.409239769,0.320140988,37.19400024,0.753678024,204.2160034,24.78549957,3.862440109,52.78480148,2005.219971,4.404990196,66.41490173,41.24069977,3.624749899,56.5007019,2026.329956,4.647349834,49.2057991,36.03639984,1.70720005,184.0789948,4172.47998,32.13000107,407.4100037,134.5659943,15.21969986,216.927002,4154.060059,41.38290024,354.9620056,119.6529999,7.866509914,247.6499939,94.40370178,42.2336998,215.9989929,107.3619995,39.7521019,0.0
0.326036006,40.34230042,0.977559984,256.57901,27.94650078,6.451739788,0.312577009,32.60240173,0.786311984,204.625,21.07110023,4.055419922,47.16199875,1954.099976,4.183129787,68.02719879,41.4919014,2.343729973,51.99240112,1977.859985,4.610330105,54.34469986,36.65140152,1.664790034,120.9599991,4045.320068,30.83819962,408.4710083,134.4219971,15.13469982,150.9539948,4010.709961,41.20539856,360.6579895,121.4169998,8.197939873,246.8110046,96.81999969,43.84889984,225.2879944,108.0920029,42.1283989,22.5
