Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
0.315946996,45.28480148,0.889509022,259.6619873,29.51320076,6.394939899,0.338216007,35.34009933,0.793838978,204.5050049,22.74799919,3.920130014,48.15380096,1953.030029,4.35078001,67.09279633,41.16389847,2.393349886,52.50889969,1980.579956,4.636970043,51.96060181,36.14989853,1.659989953,143.9299927,4091.159912,31.87969971,407.9100037,131.6929932,15.18280029,175.0319977,4064.0,41.34880066,356.7650146,118.7770004,7.95927,248.951004,94.68060303,42.54330063,220.3220062,108.7139969,40.38499832
0.349103987,53.01699829,0.883145988,264.4620056,32.47159958,6.466700077,0.356121004,40.59339905,0.781482995,204.7799988,25.75119972,3.767580032,48.92110062,2027.640015,4.528240204,64.99259949,42.09280014,3.553839922,54.26459885,2051.360107,4.762330055,48.89070129,36.43080139,1.726909995,178.3289948,4166.72998,32.9632988,397.8800049,130.25,15.40470028,212.3190002,4170.540039,42.65319824,347.6470032,116.5540009,7.734330177,244.9100037,91.83399963,42.02149963,212.279007,105.2210007,35.08100128
0.329658985,51.55089951,0.873326004,268.4700012,31.93700027,6.545080185,0.369320989,39.97689819,0.774864018,205.0359955,25.3125,3.808569908,44.33720016,2007.339966,4.529270172,65.41300201,42.29100037,3.080869913,49.96210098,2034.790039,4.76252985,49.50640106,37.37009811,1.700979948,157.723999,4206.319824,33.14030075,397.7059937,128.2330017,15.43859959,191.6029968,4201.160156,42.67839813,345.1889954,115.5500031,7.803279877,244.720993,90.20510101,42.2195015,214.2969971,105.5680008,35.19380188
0.226657003,44.80500031,0.68325597,248.0619965,27.37619972,5.590000153,0.256361991,35.35509872,0.715395987,204.7610016,21.26619911,3.858340025,57.58599854,1922.26001,4.22988987,66.95929718,39.37540054,1.798930049,63.02909851,1951.910034,4.763820171,50.2417984,34.86949921,1.487939954,195.5670013,4053.0,30.41559982,401.4320068,133.595993,13.42700005,255.6920013,3975.149902,42.06029892,359.2749939,118.8639984,8.563110352,222.1009979,86.84549713,134.5780029,207.8130035,103.3470001,48.58430099
0.28757,38.50370026,0.966826975,240.0950012,27.69039917,6.095540047,0.284729004,31.28560066,0.774923027,199.6970062,20.64259911,3.885529995,51.20000076,1928.040039,4.302549839,65.31310272,41.44229889,1.919970036,54.50650024,1951.640015,4.678460121,53.00159836,35.89440155,1.615849972,141.7339935,4048.98999,31.41160011,403.7650146,135.1690063,14.60849953,169.2749939,3997.030029,41.7118988,360.5299988,120.848999,7.692259789,245.4600067,95.46230316,43.28609848,222.4250031,106.2669983,37.94309998
0.416491985,29.23570061,1.000550032,256.5090027,22.47509956,6.433509827,0.41535601,24.37369919,0.88846302,207.2089996,18.37339973,4.379869938,38.51119995,1935.089966,3.895610094,71.4332962,42.29729843,1.75988996,47.08750153,1961.47998,4.78621006,59.3492012,37.7798996,1.59721005,41.06999969,4050.419922,29.17790031,409.9049988,133.5149994,14.27420044,79.15339661,3977.179932,42.09889984,363.9119873,123.1640015,8.897310257,231.8760071,111.439003,43.23089981,246.0449982,117.5599976,41.76589966
0.198781997,40.87360001,0.683501005,221.5370026,25.53800011,5.500589848,0.178228006,32.8280983,0.598065019,203.5670013,20.69619942,3.718100071,59.74710083,1896.060059,4.03760004,64.42710114,39.10589981,1.662889957,63.65010071,1921.709961,4.755030155,49.67440033,33.94219971,1.455379963,189.3659973,4015.179932,30.07150078,401.5580139,133.5420074,13.33759975,243.9720001,3938.459961,42.05989838,361.8670044,121.9150009,8.374250412,222.8930054,85.90000153,130.5460052,201.8009949,102.2570038,48.49499893
0.242145002,41.5727005,0.906783998,239.9170074,28.97660065,6.072199821,0.263981014,32.97940063,0.728172004,199.798996,22.50429916,3.822669983,55.57569885,1928.98999,4.401979923,64.51899719,41.35469818,2.220940113,57.21149826,1951.430054,4.681459904,50.73649979,35.33679962,1.608209968,173.6519928,4077.179932,31.95759964,403.5339966,135.7359924,14.62269974,199.6959991,4027.649902,41.71749878,360.0010071,120.4690018,7.622189999,245.076004,92.68939972,42.99280167,216.6139984,104.9260025,37.65610123
0.448143005,44.15969849,0.932559013,263.125,27.98500061,6.344669819,0.446494013,36.78499985,0.757533014,214.9900055,24.3302002,4.308279991,36.74140167,2091.939941,4.489699841,64.65529633,41.42879868,2.948250055,43.16080093,2083.669922,4.99119997,52.85749817,39.68769836,1.818390012,94.51239777,4249.350098,31.26919937,395.5929871,124.2389984,14.28409958,129.7700043,4234.089844,41.69300079,350.5799866,117.677002,9.069919586,226.6150055,98.2779007,40.62879944,217.7920074,113.5459976,40.74599838
0.419447005,46.30009842,0.963141024,276.3789978,30.19610023,6.759729862,0.431410998,36.2397995,0.833701015,213.2019958,24.4015007,4.139560223,38.99499893,2089.179932,4.520679951,67.3219986,42.66490173,4.019690037,45.40990067,2091.149902,4.919939995,51.8146019,38.9292984,1.816609979,111.3949966,4249.720215,31.83499908,401.3859863,129.9559937,15.42380047,145.4850006,4248.140137,42.44879913,347.6650085,118.5100021,8.506839752,239.6430054,100.125,40.68370056,219.2850037,113.6360016,37.81079865
