Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
0.260820001,44.38180161,0.330626011,99.44999695,31.32690048,2.110440016,0.223754004,44.94599915,0.333247006,95.81269836,43.48210144,1.603469968,83.20030212,1899.849976,5.469810009,64.41699982,64.19029999,5.485509872,86.69750214,1905.209961,7.064670086,51.25600052,63.6352005,3.541349888,454.5299988,3472.76001,44.92689896,459.7680054,264.4100037,17.65019989,511.5140076,3492.929932,56.8484993,427.8850098,264.0350037,10.88210011,210.625,62.9836998,38.53480148,202.5879974,67.77400208,41.07830048
0.411377996,63.73189926,0.532169998,160.1679993,50.72869873,4.160429955,0.34979099,52.70399857,0.443177015,119.5329971,45.01750183,2.403369904,80.58059692,1902.540039,5.314650059,64.12860107,63.09769821,4.845759869,79.66519928,1951.050049,5.784379959,51.02080154,65.87640381,2.836560011,378.2160034,3255.389893,42.42879868,436.3859863,245.1369934,16.58429909,435.9609985,3330.159912,54.51490021,397.9140015,253.5700073,9.708640099,209.5859985,64.22810364,38.4681015,191.651001,76.11499786,40.95890045
1.176730037,88.38999939,1.245169997,208.697998,43.6534996,5.210249901,1.240249991,84.30619812,1.255879998,172.7070007,43.73310089,3.732749939,44.22100067,2064.929932,3.793450117,60.84669876,55.20740128,1.963989973,47.71929932,2090.409912,4.096220016,50.0182991,51.91180038,1.350729942,277.6690063,3791.850098,45.74110031,438.1919861,209.602005,13.59469986,331.8150024,3763.5,60.31299973,405.5119934,201.2429962,8.986049652,218.6029968,77.59819794,39.39149857,207.7489929,85.97090149,42.3730011
1.146520019,91.26799774,1.243450046,216.4660034,47.1128006,6.22713995,1.266459942,87.69979858,1.501760006,175.7180023,43.9618988,4.004670143,45.14289856,2086.439941,4.052639961,61.2140007,59.60599899,1.92790997,50.61000061,2087.070068,5.122479916,50.1556015,55.96500015,1.392959952,281.9599915,3779.280029,50.27310181,452.3980103,224.625,15.00020027,346.1570129,3789.540039,63.12049866,412.8999939,217.0359955,9.890449524,219.7839966,83.12999725,39.5060997,215.8240051,92.75859833,42.78490067
1.18888998,88.4036026,1.336130023,206.4120026,43.22570038,5.322720051,1.30388999,86.32450104,1.343880057,175.0240021,43.74739838,3.753999949,43.76530075,2071.73999,3.788409948,60.78369904,54.79539871,1.737849951,48.48270035,2091.159912,4.23472023,50.04539871,52.40499878,1.300570011,274.7789917,3764.389893,46.60699844,437.5939941,206.5299988,13.65939999,322.8900146,3784.129883,60.19839859,405.5280151,201.9210052,9.089349747,218.1289978,75.49299622,39.41820145,203.197998,87.30090332,42.33539963
1.209710002,87.42680359,1.401409984,203.9470062,42.75170135,5.190509796,1.324620008,86.27559662,1.323519945,175.2369995,43.72309875,3.708460093,43.57559967,2071.679932,3.733099937,60.69229889,53.80569839,1.665089965,47.66590118,2091.23999,4.04076004,50.03440094,52.07229996,1.297379971,272.4379883,3750.629883,46.30250168,433.8909912,201.973999,13.37160015,311.7980042,3785.379883,59.65719986,403.8389893,199.322998,9.000969887,217.7599945,73.89409637,39.39770126,200.1399994,86.07550049,42.22800064
1.105880022,90.89279938,1.101709962,220.1499939,48.2256012,6.190259933,1.186419964,85.22730255,1.420339942,173.2200012,44.03889847,3.948909998,47.24110031,2092.850098,4.085070133,61.30810165,60.01879883,2.182579994,51.70899963,2082.169922,5.032979965,50.19599915,57.22869873,1.419469953,286.3500061,3788.179932,50.85889816,451.7049866,226.7489929,14.91670036,343.6600037,3797.840088,63.85229874,413.6069946,222.9140015,9.618709564,219.746994,84.80470276,39.47790146,219.1390076,92.42340088,42.89810181
1.162279963,89.75849915,1.228080034,210.3480072,44.29150009,5.534490108,1.281489968,86.34259796,1.366729975,174.7339935,43.79750061,3.820640087,44.1841011,2071.280029,3.844140053,60.91790009,56.07009888,1.836449981,49.49710083,2090.280029,4.447319984,50.06079865,52.93970108,1.322020054,277.9660034,3780.919922,47.13890076,442.2520142,211.9470062,14.02929974,335.1080017,3777.25,61.09080124,407.8919983,205.1929932,9.230389595,218.8370056,78.01249695,39.44540024,208.923996,88.95850372,42.52149963
0.372074008,57.7439003,0.545746028,140.3650055,44.15480042,3.424540043,0.291862011,49.75,0.43365401,110.1380005,44.51390076,2.133260012,83.57409668,1889.040039,5.448800087,64.17620087,63.66070175,5.120649815,84.6984024,1928.949951,6.327640057,51.10760117,66.63529968,3.070120096,403.4949951,3305.0,43.17449951,446.2049866,254.4779968,16.81159973,470.3569946,3379.97998,55.91120148,409.5549927,265.3779907,10.04839993,209.8150024,64.27189636,38.47949982,194.4049988,74.70269775,41.07080078
1.125970006,90.22859955,1.104099989,216.1100006,46.50540161,5.771039963,1.199399948,84.70050049,1.349789977,172.8220062,43.9280014,3.869400024,45.98500061,2080.98999,3.964400053,61.14500046,58.2057991,2.117949963,50.58769989,2085.580078,4.674870014,50.11759949,55.09339905,1.382259965,283.1019897,3803.580078,48.36100006,447.2369995,220.7740021,14.40310001,341.1300049,3785.810059,62.46640015,410.9309998,215.2559967,9.315569878,219.4559937,82.72740173,39.4435997,216.9470062,89.88739777,42.75880051
