Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
0.788739979,74.89550018,0.981837988,177.470993,47.14789963,4.369450092,0.613218009,75.27850342,0.864997029,161.2220001,49.47040176,3.394059896,63.68899918,1990.219971,4.938610077,62.96360016,62.91830063,3.838210106,62.83499908,2026.099976,5.412700176,49.86510086,63.76169968,2.048779964,321.7659912,3574.139893,42.81539917,441.9729919,238.4429932,16.02260017,398.3269958,3559.879883,58.97359848,402.1480103,239.2359924,9.633390427,222.7669983,69.38339996,40.5503006,203.5209961,83.39769745,43.35279846,27.0
0.983564019,78.7220993,1.058189988,184.970993,44.2723999,4.535590172,0.854956985,74.89790344,0.92700702,158.0780029,43.87049866,3.372839928,55.51179886,2023.72998,4.235340118,61.15230179,58.34360123,3.15602994,54.90219879,2063.610107,4.36330986,50.04380035,59.54510117,1.76699996,301.0369873,3670.699951,43.53879929,435.4679871,222.7559967,14.06719971,356.5180054,3653.600098,59.86500168,402.1329956,227.1849976,8.869110107,217.8200073,75.25800323,39.22330093,206.3190002,82.50279999,42.25529861,9.0
0.932042003,76.98110199,1.032590032,179.6239929,43.97909927,4.485489845,0.780429006,73.91269684,0.915205002,155.7570038,43.88219833,3.33220005,57.25500107,2018.910034,4.398499966,61.25220108,59.58750153,3.335740089,56.47029877,2059.72998,4.670489788,50.06539917,61.44490051,1.829249978,305.17099,3651.360107,43.51959991,437.4190063,227.223999,14.46430016,369.3439941,3635.330078,60.27009964,403.1239929,232.9420013,9.007390022,217.7539978,73.99389648,39.22729874,204.9920044,83.69180298,42.2677002,9.0
0.898796976,78.37059784,0.890559971,195.7870026,51.39049911,4.808390141,0.896197975,75.30930328,0.860186994,169.779007,50.57120132,3.544879913,55.68500137,2007.079956,4.453889847,61.36579895,57.58340073,3.25770998,55.46580124,2055.580078,4.377359867,49.27679825,57.24700165,1.833240032,300.4989929,3613.090088,42.00450134,430.4909973,216.5350037,14.30910015,360.1000061,3583.47998,57.14590073,399.0570068,209.7899933,8.943719864,217.4490051,72.46150208,39.69689941,203.8179932,79.76779938,42.99119949,27.0
0.533150017,73.94439697,0.590080023,195.8040009,60.74290085,5.628640175,0.496421993,59.80870056,0.472375989,140.0070038,47.8783989,3.015059948,63.90100098,1984.050049,4.96807003,63.84140015,61.37559891,4.098370075,61.30189896,2033.329956,5.052569866,50.7132988,61.46009827,2.121609926,331.9750061,3430.780029,40.67060089,424.9119873,227.0509949,16.30200005,379.1560059,3437.51001,53.75759888,390.2839966,222.4450073,9.38877964,210.326004,65.89109802,37.98070145,195.7160034,78.55789948,40.30540085,0.0
0.850037992,76.35540009,0.869198024,187.0910034,49.61569977,4.49616003,0.783809006,74.40550232,0.850989997,166.6829987,51.55789948,3.521290064,61.00159836,1991.540039,4.638800144,62.65800095,59.38999939,3.443959951,60.77410126,2038.910034,4.692920208,49.99309921,60.22710037,1.92324996,311.6289978,3564.47998,42.44039917,433.7890015,224.227005,14.83119965,373.8569946,3559.620117,57.81909943,399.6879883,224.8639984,9.11468029,219.5480042,70.56030273,39.73460007,203.0970001,81.01930237,42.96620178,9.0
0.76226598,73.28440094,0.722446978,184.7079926,51.9978981,4.728380203,0.679934978,65.67459869,0.648887992,152.1670074,50.51689911,3.166749954,64.02649689,1984.099976,4.617060184,61.86059952,59.91139984,3.649950027,62.17499924,2031.02002,4.619979858,49.85789871,59.87749863,2.052360058,326.8619995,3473.800049,41.98529816,429.3150024,225.5559998,14.95660019,370.1159973,3491.320068,55.18000031,393.7200012,220.7100067,9.100179672,212.1089935,69.33149719,38.2132988,198.2460022,79.41349792,41.63710022,0.0
0.839128971,74.96430206,0.779303014,190.1900024,52.34590149,4.916920185,0.760703981,66.64209747,0.686442971,154.5650024,50.48600006,3.263789892,58.97409821,2005.709961,4.489049911,61.83990097,59.15359879,3.351619959,57.37310028,2050.780029,4.338140011,49.8390007,58.07450104,1.888530016,315.8630066,3542.22998,41.97219849,429.5840149,221.0679932,14.7038002,354.3779907,3540.469971,55.42300034,394.303009,212.0460052,9.089810371,212.4579926,71.03240204,38.22669983,200.8439941,79.35569763,41.68569946,27.0
1.063930035,86.48739624,1.191490054,202.2550049,47.32590103,5.567550182,0.965936005,79.69270325,1.135949969,165.3320007,44.09090042,3.678009987,48.51150131,2073.860107,4.263780117,61.27230072,60.1487999,2.64993,50.01509857,2099.100098,4.832670212,50.09629822,60.94409943,1.440400004,285.9840088,3787.72998,46.55599976,445.0799866,228.1000061,14.58069992,352.2879944,3774.689941,63.95930099,409.7650146,233.2440033,8.996020317,219.2709961,81.47530365,39.35960007,215.2050018,87.53029633,42.70920181,0.0
0.627870023,74.05190277,0.663025022,192.0570068,57.22999954,5.285419941,0.594277024,63.4966011,0.552873015,147.3289948,49.61289978,3.144309998,60.49649811,1994.949951,4.771299839,61.95289993,59.79059982,3.72375989,58.27600098,2046.300049,4.520860195,49.48929977,59.59629822,1.937100053,317.9769897,3489.25,40.43650055,423.4710083,219.6759949,15.43739986,356.4519958,3491.649902,53.49530029,390.3150024,213.0780029,9.181280136,209.3809967,67.42919922,37.74309921,198.147995,79.10790253,41.02420044,27.0
1.08502996,85.07520294,1.194479942,199.5090027,45.99449921,5.125309944,0.991283,79.31289673,1.100239992,165.3209991,44.00550079,3.635620117,48.45660019,2063.780029,4.141280174,61.15200043,58.6344986,2.605099916,50.14989853,2090.689941,4.497459888,50.05950165,58.67509842,1.456210017,285.1329956,3790.840088,44.59740067,441.5180054,223.5119934,14.07670021,342.0289917,3771.51001,61.3492012,406.881012,227.1719971,8.872300148,218.8659973,80.63259888,39.31510162,215.8860016,84.41449738,42.64989853,9.0
0.468923986,73.21070099,0.581498027,201.8659973,63.36940002,6.050260067,0.417470008,56.89979935,0.395428985,135.6670074,47.78229904,3.010010004,61.18980026,2004.0,5.051720142,64.02629852,61.6814003,3.983160019,59.18989944,2045.579956,5.056240082,50.75519943,59.42250061,1.98111999,340.368988,3485.080078,39.30419922,427.0629883,228.2120056,16.6072998,383.6159973,3474.560059,50.82899857,389.4219971,216.4850006,9.696209908,211.5189972,65.6006012,38.08069992,200.6620026,77.79260254,40.53110123,0.0
0.554162025,69.1085968,0.595579028,174.7319946,53.29029846,4.678949833,0.488467008,59.34030151,0.514567018,136.177002,47.75019836,2.780420065,71.33350372,1948.349976,4.998139858,62.53239822,61.5469017,4.232940197,68.72669983,2004.530029,5.122189999,49.77059937,63.25059891,2.328779936,340.4700012,3345.0,41.75899887,427.6329956,230.7740021,15.95930004,394.493988,3391.620117,54.71260071,392.2650146,233.3280029,9.236760139,208.2089996,66.11640167,38.46289825,191.0919952,79.86889648,40.67440033,9.0
1.113720059,86.62640381,1.221199989,202.6670074,45.9538002,5.11909008,1.04618001,80.68900299,1.152860045,167.7279968,44.0367012,3.714529991,47.15259933,2069.879883,4.069719791,61.09000015,58.25329971,2.435070038,49.73820114,2090.52002,4.460549831,50.04460144,57.48109818,1.37184,282.5209961,3814.800049,44.17200089,442.3840027,222.6950073,13.89140034,335.6440125,3803.97998,60.13359833,406.8720093,224.727005,8.846340179,219.0269928,81.84600067,39.32229996,220.7590027,83.86070251,42.83599854,9.0
1.152469993,91.40859985,1.282119989,216.5970001,47.38259888,6.336490154,1.270760059,88.20659637,1.534049988,176.1410065,43.9776001,4.042630196,44.94020081,2087.77002,4.091800213,61.25220108,60.18970108,1.915480018,50.34049988,2087.360107,5.251289845,50.16740036,56.35879898,1.407179952,281.6459961,3777.310059,50.63159943,454.1289978,226.6710052,15.18010044,348.3389893,3789.72998,63.30879974,413.605011,218.2680054,10.05539989,219.9019928,83.71749878,39.51819992,216.3049927,93.28559875,42.80530167,27.0
1.072280049,80.74310303,1.129050016,192.576004,44.14899826,4.561910152,0.983717024,76.52829742,0.948157012,161.7740021,43.79529953,3.427789927,52.54970169,2030.27002,3.971199989,60.96770096,56.11619949,2.846070051,51.53730011,2066.679932,3.82220006,50.00870132,55.67060089,1.692700028,294.5289917,3699.310059,43.68119812,431.5339966,214.2359924,13.41349983,337.4349976,3671.780029,59.05540085,400.2980042,212.8840027,8.764579773,217.875,76.22799683,39.22259903,206.4490051,80.66130066,42.16249847,27.0
0.832663,76.88420105,0.965155005,182.4880066,47.8132019,4.479670048,0.684405982,76.08249664,0.864979029,163.2220001,49.47529984,3.411720037,62.20660019,1996.180054,4.763430119,62.89889908,61.80950165,3.68614006,61.49570084,2036.099976,5.127449989,49.84410095,62.9620018,1.977120042,317.7770081,3583.459961,43.09600067,440.7260132,234.2100067,15.65869999,387.2619934,3573.399902,59.40259933,401.5769958,236.9880066,9.345310211,222.779007,70.78949738,40.53659821,204.1799927,82.76940155,43.34569931,18.0
0.753215015,75.19270325,0.712958992,193.095993,54.96360016,5.03978014,0.671365023,66.28759766,0.626563013,154.5460052,52.35509872,3.276410103,59.66339874,1994.640015,4.591800213,62.61109924,59.47269821,3.608880043,57.80540085,2045.790039,4.4365201,49.47249985,58.6548996,1.97044003,313.4129944,3507.060059,41.29679871,427.5270081,219.9799957,15.01449966,357.9330139,3513.22998,54.55419922,392.6059875,210.4609985,9.118100166,212.7920074,68.61650085,37.31549835,199.1940002,79.17050171,41.26340103,27.0
0.953718007,78.59850311,1.104580045,182.3760071,44.46860123,4.770279884,0.789261997,75.17569733,0.976764023,157.4259949,43.93970108,3.417560101,54.25400162,2038.569946,4.473690033,61.31890106,60.54140091,3.182749987,53.89049911,2075.709961,4.912139893,50.08810043,62.49639893,1.711590052,298.3039856,3707.209961,44.10229874,441.1530151,229.9470062,14.74540043,372.1180115,3679.51001,62.03329849,406.631012,235.7980042,9.115180016,218.2230072,75.48719788,39.28120041,206.9530029,85.73370361,42.417099,0.0
0.419577003,63.16540146,0.537132978,158.276001,49.88560104,4.050250053,0.356804013,52.87549973,0.450599015,119.9300003,44.98870087,2.400670052,80.08769989,1904.910034,5.296559811,64.10250092,62.87459946,4.796569824,78.78759766,1955.069946,5.679910183,51.00500107,65.45709991,2.797339916,373.2839966,3257.669922,42.28170013,434.9460144,243.3000031,16.48740005,430.2149963,3329.840088,54.11249924,396.303009,250.5700073,9.633609772,209.3090057,64.24430084,38.4518013,190.6620026,76.75109863,40.89339828,18.0
1.108260036,82.86289978,1.183789968,197.923996,44.76129913,4.765999794,1.019090056,78.15409851,1.023219943,164.2830048,43.83990097,3.537169933,49.53639984,2046.699951,3.983390093,61.01459885,56.74990082,2.657289982,49.47669983,2078.199951,3.986210108,50.02130127,55.60960007,1.582380056,287.8389893,3756.870117,43.98880005,435.4970093,216.6340027,13.55029964,335.8989868,3716.610107,59.78290176,402.9320068,214.5070038,8.825440407,218.3549957,78.68479919,39.2621994,210.5319977,81.61959839,42.31710052,0.0
1.082270026,88.10379791,1.18979001,208.121994,47.87670135,5.736670017,1.026550055,81.16950226,1.204699993,167.6009979,44.09899902,3.760580063,47.88779831,2080.300049,4.20897007,61.28089905,60.16540146,2.509530067,50.08539963,2095.840088,4.840839863,50.11579895,59.8987999,1.406530023,285.473999,3797.01001,47.72529984,446.9169922,228.1109924,14.60239983,346.1579895,3793.949951,63.59960175,410.3049927,231.2519989,9.112950325,219.6649933,82.91220093,39.39030075,218.4499969,88.25540161,42.82350159,0.0
0.876891971,77.53040314,0.899214029,191.6410065,50.30379868,4.682849884,0.84919101,74.7806015,0.849289,167.6589966,50.47940063,3.468590021,57.96760178,2000.939941,4.514760017,61.38800049,58.38729858,3.32198,57.79980087,2048.25,4.53057003,49.2887001,58.64699936,1.869330049,304.9809875,3592.909912,42.24119949,431.7829895,220.4660034,14.4236002,366.8710022,3574.919922,57.5007019,399.2600098,217.3580017,8.925020218,217.3899994,72.2983017,39.69779968,203.2630005,80.39279938,42.99710083,0.0
0.756645977,73.7614975,0.771073997,179.0119934,49.50260162,4.247240067,0.656370997,72.79509735,0.748751998,163.8280029,53.95780182,3.408030033,67.85410309,1964.060059,4.76485014,61.85229874,60.73220062,3.799210072,67.15619659,2009.359985,4.999060154,49.39699936,62.19390106,2.10371995,327.4159851,3465.780029,42.31110001,431.2520142,230.3209991,15.40620041,391.2210083,3486.649902,56.63790131,395.4570007,233.3569946,9.235619545,219.4459991,68.18499756,38.54990005,198.8589935,81.21289825,41.4048996,9.0
0.971657991,76.94509888,1.017449975,188.897995,46.75109863,4.699470043,0.945702016,73.58760071,0.925104022,163.298996,45.02159882,3.464299917,53.88970184,2020.47998,4.310500145,59.69100189,56.52539825,2.89199996,53.73630142,2062.199951,4.25153017,49.50709915,57.22029877,1.707630038,291.7810059,3644.699951,42.30020142,426.3580017,214.2910004,13.42319965,349.8269958,3627.379883,57.5780983,400.7090149,215.9219971,8.823869705,212.197998,74.09069824,38.40679932,202.5390015,80.73490143,41.87829971,27.0
