Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
1.337100029,198.5679932,1.375880003,499.6059875,164.0059967,36.15459824,1.432450056,175.352005,1.627460003,339.1730042,160.0879974,29.91360092,133.9819946,1442.76001,18.80859947,139.6399994,113.1080017,191.6459961,141.0859985,1516.469971,24.19750023,86.90370178,107.1669998,123.2549973,515.0650024,3229.25,76.57060242,751.6539917,476.6679993,217.1699982,560.2479858,3306.47998,89.88030243,557.7280273,463.7900085,158.798996,207.0980072,44.62599945,31.55369949,193.0359955,58.95840073,24.33720016,0.0
1.487810016,173.8609924,1.446079969,478.3609924,167.548996,35.33129883,1.542979956,151.6029968,1.633980036,331.368988,170.8890076,29.21249962,115.9199982,1563.069946,14.07849979,127.1969986,116.5049973,141.4720001,119.7529984,1549.25,16.74600029,85.00260162,110.2190018,90.9076004,455.2489929,3297.030029,57.08869934,657.3540039,450.1690063,186.2890015,489.8779907,3374.5,71.18379974,520.8829956,444.0050049,142.197998,202.621994,47.38610077,27.4965992,192.6369934,61.08560181,22.73130035,11.3
1.380920053,189.6529999,1.404010057,494.0809937,165.1470032,36.15990067,1.490929961,169.7180023,1.629969954,344.5289917,164.3840027,30.29789925,124.7990036,1499.829956,16.50429916,135.0160065,113.6320038,164.2969971,131.6790009,1519.75,21.02070045,86.87840271,107.4089966,109.8479996,486.8039856,3313.459961,66.13439941,717.5689697,466.0369873,201.1880035,529.9060059,3377.600098,81.6155014,556.8880005,457.2340088,152.2189941,206.7059937,46.14099884,28.96240044,191.5480042,59.76670074,23.30430031,0.0
1.565569997,158.298996,1.480389953,471.980011,168.3410034,35.35820007,1.581640005,138.5930023,1.630079985,323.7229919,174.2649994,28.59339905,105.625,1627.050049,11.96469975,121.7770004,117.6470032,118.5210037,108.8909988,1553.219971,13.24009991,84.87380219,110.5699997,79.92160034,430.6340027,3287.699951,50.44670105,615.5319824,428.9830017,174.0659943,456.8930054,3360.070068,63.65269852,487.6749878,424.8169861,138.1260071,202.6889954,48.02859879,25.74790001,197.8630066,60.97510147,22.87639999,0.0
1.545369983,163.6410065,1.463269949,474.322998,166.9360046,35.52679825,1.608369946,146.3139954,1.634760022,339.7349854,170.8809967,30.15010071,105.9660034,1613.109985,12.05529976,122.6029968,116.3050003,119.8720016,111.7190018,1551.48999,15.22869968,84.9763031,110.2929993,88.14450073,448.42099,3350.370117,53.11190033,647.1489868,435.446991,175.0820007,482.4150085,3409.139893,69.46829987,516.03302,433.4979858,141.1549988,202.4320068,48.22489929,25.54260063,193.496994,60.88470078,21.95660019,11.3
1.443600059,182.5399933,1.420549989,481.4159851,166.8430023,35.31140137,1.524170041,160.4819946,1.636250019,337.5499878,167.8869934,29.69239998,121.4290009,1525.5,15.26599979,129.8000031,115.552002,153.1289978,126.0299988,1546.670044,19.23539925,85.08350372,109.9749985,99.74710083,476.0209961,3315.100098,62.38000107,691.0839844,462.256012,192.7599945,517.6030273,3391.98999,77.61440277,542.5310059,455.7260132,145.3540039,202.5390015,47.01499939,28.09729958,189.651001,61.14920044,22.5625,16.9
1.570440054,148.177002,1.816840053,545.257019,147.7460022,33.01279831,1.496659994,129.9980011,1.322149992,411.7879944,143.7259979,25.90789986,73.53800201,1827.550049,6.134339809,159.654007,111.1360016,61.67900085,62.37739944,1677.660034,5.70607996,93.69360352,93.73090363,30.95019913,396.8099976,3551.850098,47.21649933,788.4780273,388.5100098,148.8170013,431.0880127,3654.689941,59.26350021,647.5469971,373.4909973,109.6520004,210.4880066,56.82260132,27.60989952,190.3990021,72.83889771,24.8920002,16.9
1.526360035,155.125,1.811419964,543.684021,147.4589996,32.83399963,1.42750001,134.9029999,1.320260048,402.7009888,143.1679993,24.58709908,73.72699738,1820.420044,6.212900162,160.0140076,111.0049973,62.06890106,64.55780029,1679.560059,5.865550041,93.81999969,93.90209961,30.57360077,398.4370117,3563.47998,47.15930176,791.0230103,391.822998,150.6230011,432.2909851,3672.679932,59.27080154,649.7310181,375.6319885,108.4570007,210.522995,56.90510178,28.43000031,190.7480011,73.30239868,25.24119949,16.9
1.537780046,151.1660004,1.830749989,544.9329834,149.4440002,32.89189911,1.435780048,133.9940033,1.321650028,409.303009,145.9049988,25.21260071,73.41670227,1828.77002,6.107900143,160.8880005,111.3669968,62.88660049,66.34169769,1681.180054,5.949160099,94.00740051,94.1210022,32.51819992,390.2829895,3516.409912,45.66429901,779.7650146,380.0740051,150.0469971,423.118988,3621.040039,58.12329865,640.3120117,364.993988,111.0049973,210.3309937,55.92710114,28.89550018,191.8410034,71.83129883,25.46920013,0.0
1.371039987,192.0709991,1.394500017,497.6279907,164.2380066,36.24200058,1.467110038,169.5220032,1.628559947,339.8439941,161.4609985,29.95149994,127.3040009,1482.219971,17.3980999,137.3670044,113.3649979,176.5110016,134.7149963,1518.439941,22.2147007,86.8690033,107.2900009,116.0139999,500.3789978,3250.159912,72.23400116,732.4710083,466.8320007,209.7590027,542.3660278,3320.27002,85.63420105,548.4970093,455.2669983,155.6499939,207.0339966,45.3708992,30.86230087,194.3359985,59.23550034,24.12330055,5.6
