Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
0.991918981,122.5650024,1.742759943,619.2249756,106.9769974,58.25740051,1.04824996,111.3399963,1.604879975,418.1940002,93.49559784,54.50429916,45.71360016,2051.800049,5.067059994,218.977005,112.0179977,53.46440125,55.0984993,2065.27002,5.801710129,139.1620026,101.5179977,39.53139877,204.7879944,3937.610107,54.97249985,797.7160034,346.4989929,203.9470062,253.5590057,3987.199951,70.32550049,594.15802,324.0939941,183.9329987,360.0809937,89.58149719,53.51760101,347.1570129,105.6330032,50.49129868
0.85483098,154.5050049,1.742570043,582.7089844,122.9589996,57.96009827,0.910829008,141.0800018,1.453459978,425.506012,111.1600037,55.62239838,40.25439835,2001.699951,5.210720062,205.5529938,109.6200027,38.04629898,47.43569946,2025.72998,5.891049862,149.723999,102.7340012,34.31129837,229.177002,3932.310059,56.78519821,792.5780029,329.6229858,192.1620026,271.4630127,3915.659912,74.48370361,639.3049927,309.6359863,190.4649963,357.1239929,84.209198,46.60829926,356.5799866,100.7040024,51.85919952
0.947405994,126.6050034,1.566580057,579.8829956,104.2710037,54.8614006,1.030150056,112.4580002,1.525089979,391.2929993,90.80590057,50.40930176,37.25479889,2044.089966,4.846399784,217.2189941,106.5049973,33.50889969,43.4435997,2071.709961,5.35600996,152.6589966,99.0789032,31.59659958,197.1390076,3940.5,50.54719925,794.1220093,309.8569946,185.5480042,238.9340057,3958.689941,67.0911026,628.835022,293.0159912,178.0950012,355.3980103,95.29460144,48.7845993,347.5849915,109.0400009,49.9673996
1.152999997,149.4069977,1.863309979,584.2639771,126.2300034,56.72060013,1.056980014,137.6080017,1.474149942,406.7839966,111.6729965,53.14870071,50.51810074,1979.709961,5.571770191,198.3800049,114.2949982,57.70949936,59.74919891,1985.01001,6.593629837,134.8970032,105.1539993,44.81669998,246.0910034,3901.629883,63.10340118,771.6329956,364.7080078,207.3090057,291.3989868,3924.159912,81.36239624,602.8720093,345.5920105,195.3679962,354.0780029,79.10320282,51.75490189,350.3479919,97.08260345,52.23289871
0.949923992,133.8500061,1.663550019,579.5380249,111.3249969,54.99029922,1.032699943,120.6610031,1.529010057,394.2070007,97.51270294,51.17589951,42.36330032,2020.920044,5.096930027,209.6380005,110.288002,43.59680176,49.3783989,2044.439941,5.805190086,144.2369995,101.6579971,36.64839935,215.0319977,3921.5,54.85279846,785.8579712,337.9580078,195.4279938,262.4609985,3947.209961,71.57150269,613.0949707,318.6789856,184.3939972,355.3919983,89.28230286,50.00579834,347.7470093,105.1750031,50.52220154
0.974013984,114.2559967,1.613940001,596.565979,98.25959778,56.39550018,1.045729995,100.8590012,1.542369962,394.1140137,84.21569824,50.90919876,37.87779999,2068.98999,4.786340237,228.1459961,107.2170029,38.82799911,44.88850021,2096.870117,5.303030014,150.2510071,98.08940125,31.94039917,184.5670013,3945.360107,49.77059937,799.7340088,316.0690002,190.6300049,228.4649963,3997.850098,65.21649933,611.2440186,296.9750061,174.7299957,356.8110046,96.6760025,51.02050018,346.4129944,110.5579987,50.02030182
1.042160034,151.2259979,1.828459978,594.6469727,124.336998,56.27019882,1.105190039,138.7429962,1.634199977,412.8139954,110.848999,54.00130081,46.40710068,1981.109985,5.392869949,200.2559967,113.4779968,50.84859848,54.16690063,2000.290039,6.324440002,138.3890076,104.586998,40.98820114,241.5339966,3893.51001,60.80279922,775.3540039,361.6520081,203.7949982,288.881012,3922.290039,78.57119751,606.5599976,341.1659851,191.0800018,357.0480042,80.6631012,49.24029922,347.8850098,98.08129883,51.09719849
0.90416801,139.1300049,1.862059951,576.8439941,122.3079987,57.93740082,0.988676012,127.9889984,1.543830037,390.7309875,107.2870026,52.44350052,56.13769913,1982.640015,5.630620003,186.3869934,117.9140015,66.29039764,65.98500061,1977.150024,6.764389992,120.8980026,107.6500015,51.09019852,250.0039978,3883.659912,63.0143013,760.151001,383.678009,223.6889954,311.5339966,3918.969971,80.44039917,579.4160156,361.9339905,205.8339996,360.6270142,79.38040161,57.30339813,357.8120117,98.16770172,54.18650055
0.83633399,156.3580017,1.727789998,537.0020142,125.1080017,54.1230011,0.909361005,141.8910065,1.351289988,389.9129944,111.2939987,50.6012001,41.9294014,2002.099976,5.168360233,199.7949982,110.1139984,38.32720184,49.23720169,2021.22998,5.894470215,145.8430023,102.8639984,36.14590073,230.0579987,3935.719971,57.18709946,775.5570068,333.5889893,194.2400055,270.4089966,3920.820068,75.94709778,630.2139893,312.9519958,191.8339996,357.4020081,82.03399658,48.27470016,361.2709961,99.87989807,52.67770004
0.990180016,130.0180054,1.739949942,617.8300171,111.112999,58.21350098,1.047549963,118.5169983,1.600919962,418.0429993,97.87449646,54.55009842,45.00870132,2031.099976,5.131149769,214.7689972,112.1080017,50.43199921,53.41360092,2047.76001,5.882219791,140.7279968,102.3830032,39.51050186,212.5469971,3921.419922,55.5367012,794.2600098,346.769989,203.5149994,261.5859985,3965.72998,71.67749786,603.257019,326.3330078,186.5039978,359.9670105,88.78440094,52.50519943,347.2640076,104.5019989,50.61750031
0.989500999,138.6069946,1.761839986,615.8460083,116.3059998,58.18239975,1.049389958,126.6819992,1.597519994,415.802002,103.0100021,54.59680176,45.63740158,2006.180054,5.237269878,207.2299957,113.5039978,50.44910049,53.44729996,2026.51001,6.071539879,139.0379944,103.9789963,40.59429932,225.826004,3901.840088,57.24039841,786.3109741,356.9119873,206.0370026,277.3729858,3941.26001,74.07489777,604.2890015,336.9590149,190.3600006,359.7890015,86.05999756,51.42950058,347.4100037,102.4789963,50.88270187
0.948553979,127.1849976,1.594930053,579.9299927,105.5650024,54.8893013,1.031270027,113.4690018,1.527230024,391.8580017,91.94270325,50.56909943,38.88079834,2040.400024,4.916570187,216.0310059,107.5559998,37.02080154,45.35400009,2066.580078,5.481729984,150.0059967,99.60679626,33.05009842,200.6759949,3936.699951,51.71609879,792.2839966,318.3890076,188.102005,244.3419952,3959.469971,68.18180084,622.440979,300.5539856,179.2200012,355.3980103,93.70600128,49.37250137,347.598999,108.0950012,50.10179901
