,PlotID,FieldID,Year,Treatment,PhosphorusTreatment,Relative Yield
0,1,SW16,2018,Medium,18.0,4.021367837382512
1,1,SW16,2019,Medium,18.0,-17.229058472618284
2,1,SW16,2020,Medium,18.0,39.379350993716585
3,1,SW16,2022,Medium,18.0,15.223612984542902
4,10,16A,2018,Low,11.3,16.107875018921437
5,10,16A,2019,Low,11.3,33.22152176915786
6,10,16A,2020,Low,11.3,-13.68962333870805
7,10,16A,2022,Low,11.3,21.924414150756423
8,10,6-12,2018,Low,16.9,-2.8572191645648846
9,10,6-12,2019,Low,16.9,-3.998524841207062
10,10,6-12,2020,Low,16.9,17.04959407658291
11,10,6-12,2022,Low,16.9,8.09803771260512
12,10,Y8,2018,Medium,6.8,-3.604273843800797
13,10,Y8,2019,Medium,6.8,8.633273998095035
14,10,Y8,2020,Medium,6.8,17.160075813905777
15,10,Y8,2022,Medium,6.8,-17.29326358467715
16,11,16A,2018,High,33.8,13.023630092527922
17,11,16A,2019,High,33.8,38.68572918294654
18,11,16A,2020,High,33.8,8.393039023219796
19,11,16A,2022,High,33.8,14.495328338302777
20,11,SW16,2018,Low,9.0,1.8864423707418048
21,11,SW16,2019,Low,9.0,15.76770292814812
22,11,SW16,2020,Low,9.0,55.63135087274007
23,11,SW16,2022,Low,9.0,11.629705077566136
24,12,6-12,2018,High,28.2,-0.7803831957849806
25,12,6-12,2019,High,28.2,6.108434148073534
26,12,6-12,2020,High,28.2,17.10839407719333
27,12,6-12,2022,High,28.2,27.725273249344458
28,12,Y8,2018,Medium,6.8,-0.4590899427722408
29,12,Y8,2019,Medium,6.8,-13.438247264684868
30,12,Y8,2020,Medium,6.8,-35.69566991211517
31,12,Y8,2022,Medium,6.8,1.9335717414956093
32,13,SW16,2018,Low,9.0,-0.8378414764976876
33,13,SW16,2019,Low,9.0,16.957989790918422
34,13,SW16,2020,Low,9.0,42.18544700806369
35,13,SW16,2022,Low,9.0,4.843836278763237
36,13,Y10,2018,Low,5.6,8.555555768100124
37,13,Y10,2019,Low,5.6,0.12744021235078187
38,13,Y10,2020,Low,5.6,3.2789201706132434
39,13,Y10,2022,Low,5.6,3.553522377253909
40,13,Y8,2018,High,10.1,2.18403479403834
41,13,Y8,2019,High,10.1,3.463503100335883
42,13,Y8,2020,High,10.1,4.41337320637284
43,13,Y8,2022,High,10.1,-3.1813629137155552
44,14,16A,2018,Medium,22.5,19.423329012636902
45,14,16A,2019,Medium,22.5,54.07286780337348
46,14,16A,2020,Medium,22.5,16.990156333677906
47,14,16A,2022,Medium,22.5,13.362478835625282
48,14,6-12,2018,Medium,22.5,3.811575975243582
49,14,6-12,2019,Medium,22.5,4.326628876222738
50,14,6-12,2020,Medium,22.5,19.598459360440955
51,14,6-12,2022,Medium,22.5,10.01346634674944
52,15,16A,2018,Medium,22.5,16.64428941916348
53,15,16A,2019,Medium,22.5,34.839252578214605
54,15,16A,2020,Medium,22.5,14.715089961090888
55,15,16A,2022,Medium,22.5,20.969103405021954
56,15,SW16,2018,Medium,18.0,5.944819005206523
57,15,SW16,2019,Medium,18.0,15.39276299521805
58,15,SW16,2020,Medium,18.0,56.18173035426549
59,15,SW16,2022,Medium,18.0,12.369930780914416
60,15,Y10,2018,Medium,11.3,8.704412839563863
61,15,Y10,2019,Medium,11.3,3.031933367152085
62,15,Y10,2020,Medium,11.3,17.234263322542546
63,15,Y10,2022,Medium,11.3,-3.227246127545648
64,15,Y8,2018,High,10.1,-6.71942055511073
65,15,Y8,2019,High,10.1,-1.7485943849041423
66,15,Y8,2020,High,10.1,30.94550695310981
67,15,Y8,2022,High,10.1,1.9335717414956093
68,16,6-12,2018,High,28.2,4.246462306010794
69,16,6-12,2019,High,28.2,10.935676505484942
70,16,6-12,2020,High,28.2,20.63201930174609
71,16,6-12,2022,High,28.2,24.372726663220956
72,17,SW16,2018,High,27.0,8.357624808212082
73,17,SW16,2019,High,27.0,28.629194413500308
74,17,SW16,2020,High,27.0,55.68530129259883
75,17,SW16,2022,High,27.0,26.732572835604113
76,18,16A,2018,Low,11.3,21.32499538695459
77,18,16A,2019,Low,11.3,46.90321000761176
78,18,16A,2020,Low,11.3,27.40318381793413
79,18,16A,2022,Low,11.3,2.9030738438074444
80,18,6-12,2018,Medium,22.5,-1.3206432483620731
81,18,6-12,2019,Medium,22.5,10.778638448670751
82,18,6-12,2020,Medium,22.5,22.305334830831775
83,18,6-12,2022,Medium,22.5,19.251750342146913
84,18,Y8,2018,Medium,6.8,3.8185139220376807
85,18,Y8,2019,Medium,6.8,4.2130406258476265
86,18,Y8,2020,Medium,6.8,9.059051528347595
87,18,Y8,2022,Medium,6.8,-5.171595426029441
88,19,16A,2018,High,33.8,25.051250710768834
89,19,16A,2019,High,33.8,35.100588453436714
90,19,16A,2020,High,33.8,35.36550009324579
91,19,16A,2022,High,33.8,17.28708084208857
92,19,Y10,2018,High,16.9,-6.884300647839746
93,19,Y10,2019,High,16.9,3.8097254839466244
94,19,Y10,2020,High,16.9,14.05524992206629
95,19,Y10,2022,High,16.9,-11.851388066866988
96,20,6-12,2018,Low,16.9,10.907792166597217
97,20,6-12,2019,Low,16.9,-2.7527536076450945
98,20,6-12,2020,Low,16.9,18.655897903930146
99,20,6-12,2022,Low,16.9,12.074757256076454
100,20,Y8,2018,Medium,6.8,-5.699598280155612
101,20,Y8,2019,Medium,6.8,-4.927386888039184
102,20,Y8,2020,Medium,6.8,-34.483434749237404
103,21,Y10,2018,Low,5.6,-2.218938377086156
104,21,Y10,2019,Low,5.6,0.813803801648045
105,21,Y10,2020,Low,5.6,15.059144310926683
106,21,Y10,2022,Low,5.6,0.20438549986413024
107,21,Y8,2018,Low,3.4,3.917296172938568
108,21,Y8,2019,Low,3.4,-0.5253561440528925
109,21,Y8,2020,Low,3.4,-0.7461511005303625
110,21,Y8,2022,Low,3.4,-1.213450990436087
111,23,Y8,2018,Low,3.4,8.503904005175123
112,23,Y8,2019,Low,3.4,-1.849748208157336
